Type,System_variable_name,Custom_variable_name,Text,Characteristic,Value_labels,Color_Category,Comments
rating,-,F1,"There is a lot of discussion about how people are doing in today`s world. Some mainly see positive developments. Others are more pessimistic. Below you will see a series of statements about your own personal situation. For each statement, please indicate how much you agree or disagree with it.",,-,Grey,
,Q3A1_1,F1A1_1,"All things considered, I am currently content with my life.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A2_1,F1A2_1,"Recently, my situation has deteriorated significantly.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A3_1,F1A3_1,I am feeling a sort of doomsday mood.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A4_1,F1A4_1,I don`t feel like I`m able to stop worrying or control this.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A5_1,F1A5_1,I am able to determine my own destiny.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A6_1,F1A6_1,"I feel nervous, anxious, or tense.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A7_1,F1A7_1,"I feel dejected, melancholy, or hopeless.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A8_1,F1A8_1,I have little interest or joy in everyday life.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A9_1,F1A9_1,I feel very angry when I think about the current situation.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A10_1,F1A10_1,I feel like I am treated fairly by politicians.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A11_1,F1A11_1,I am suffering more than others in the current situation.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A12_1,F1A12_1,I feel sorry for others who are struggling in the current situation.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A13_1,F1A13_1,The energy crisis is worsening my situation.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A14_1,F1A14_1,I am able to deal with the energy crisis more easily than I was with past crises.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A15_1,F1A15_1,I feel very angry when I think about how we got into the current situation.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A16_1,F1A16_1,I feel like our political leaders don`t give me enough information.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A17_1,F1A17_1,I believe that our political leaders are handling the current crises well.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A18_1,F1A18_1, Please click on ‘Disagree’ here.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q3A19_1,F1A19_1,"In the US, we are overcoming the current challenges better than other nations.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
table,-,F2,To what extent do the following things cause you concern?,,-,Grey,
,Q4A1,F2A1,No longer being able to pay your bills,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A2,F2A2,Having to limit yourself when shopping,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A3,F2A3,The possibility of losing your job (leave this empty if you do not work),"1,2,3,4,5,0","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned,no job / no answer",,Null/empty to be considered as 0
,Q4A4,F2A4,The situation of young people in the US,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A5,F2A5,The situation of elderly people in the US,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A6,F2A6,The fact that the US is getting more deeply involved in the war in Ukraine,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A7,F2A7,The situation of Ukrainian refugees in the US,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A8,F2A8,The situation of non-Ukrainian refugees in the US,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A9,F2A9,The state of the US health care system,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A10,F2A10,The prosperity of our society.,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A11,F2A11,The environmental situation in your immediate area,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
,Q4A12,F2A12,Global climate change,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,
