Type,System_variable_name,Custom_variable_name,Text,Characteristic,Value_labels,Color_Category,Comments,,
rating,-,F1,"There is a lot of discussion about how people are doing in today's world. Some mainly see positive developments. Others are more pessimistic. Below you will see a series of statements about your own personal situation. For each statement, please indicate how much you agree or disagree with it.",-,-,Grey,,,
,Q3A1_1,F1A1_1,"Please indicate how much you agree or disagree with the statement: ""All things considered, I am currently content with my life.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A2_1,F1A2_1,"Please indicate how much you agree or disagree with the statement:""Recently, my situation has deteriorated significantly. ""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A3_1,F1A3_1,"Please indicate how much you agree or disagree with the statement: ""I am feeling a sort of doomsday mood.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A4_1,F1A4_1,"Please indicate how much you agree or disagree with the statement: ""I don`t feel like I`m able to stop worrying or control this.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A5_1,F1A5_1,"Please indicate how much you agree or disagree with the statement: ""I am able to determine my own destiny.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A6_1,F1A6_1,"Please indicate how much you agree or disagree with the statement: ""I feel nervous, anxious, or tense.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A7_1,F1A7_1,"Please indicate how much you agree or disagree with the statement: ""I feel dejected, melancholy, or hopeless.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A8_1,F1A8_1,"Please indicate how much you agree or disagree with the statement: ""I have little interest or joy in everyday life.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A9_1,F1A9_1,"Please indicate how much you agree or disagree with the statement: ""I feel very angry when I think about the current situation. ""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A10_1,F1A10_1,"Please indicate how much you agree or disagree with the statement: ""I feel like I am treated fairly by politicians.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A11_1,F1A11_1,"Please indicate how much you agree or disagree with the statement: ""I am suffering more than others in the current situation.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A12_1,F1A12_1,"Please indicate how much you agree or disagree with the statement: ""I feel sorry for others who are struggling in the current situation.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
