Group,Question,Chi-Square,Chi p-value,JS Divergence,Spearman Correlation,Spearman p-value
Christian_Catholic,F1A10_1,0.759103,0.999952,15.939583,0.780960,0.000000
Christian_Catholic,F1A11_1,16000001.246698,0.000000,15.980447,0.780960,0.000000
Christian_Catholic,F1A12_1,1.688652,0.998218,16.140576,0.780960,0.000000
Christian_Catholic,F1A13_1,1.851692,0.997356,16.081559,0.780960,0.000000
Christian_Catholic,F1A14_1,0.407266,0.999998,15.163919,0.780960,0.000000
Christian_Catholic,F1A15_1,0.877962,0.999906,15.745675,0.780960,0.000000
Christian_Catholic,F1A16_1,1.007726,0.999822,15.877140,0.780960,0.000000
Christian_Catholic,F1A17_1,0.577613,0.999987,15.634680,0.780960,0.000000
Christian_Catholic,F1A19_1,1.003157,0.999825,15.878777,0.780960,0.000000
Christian_Catholic,F1A1_1,0.781252,0.999945,16.016218,0.780960,0.000000
Christian_Catholic,F1A2_1,4.414852,0.926698,16.814492,0.780960,0.000000
Christian_Catholic,F1A3_1,0.469912,0.999995,15.521118,0.780960,0.000000
Christian_Catholic,F1A4_1,2.714281,0.987372,16.079344,0.780960,0.000000
Christian_Catholic,F1A5_1,12.066986,0.280598,17.190370,0.780960,0.000000
Christian_Catholic,F1A6_1,1.097993,0.999736,15.499889,0.780960,0.000000
Christian_Catholic,F1A7_1,0.554962,0.999989,15.574590,0.780960,0.000000
Christian_Catholic,F1A8_1,0.742769,0.999957,15.856265,0.780960,0.000000
Christian_Catholic,F1A9_1,1.699684,0.998167,16.029407,0.780960,0.000000
Christian_Catholic,F2A1,1.788886,0.997717,16.104857,0.780960,0.000000
Christian_Catholic,F2A10,0.250061,1.000000,15.539528,0.780960,0.000000
Christian_Catholic,F2A11,2.585542,0.989570,16.193557,0.780960,0.000000
Christian_Catholic,F2A12,1.227205,0.999564,15.943711,0.780960,0.000000
Christian_Catholic,F2A14,0.659477,0.999975,15.692849,0.780960,0.000000
Christian_Catholic,F2A2,2.160821,0.994952,16.242372,0.780960,0.000000
Christian_Catholic,F2A3,1.824913,0.997514,16.512027,0.780960,0.000000
Christian_Catholic,F2A4,1.755563,0.997894,16.338390,0.780960,0.000000
Christian_Catholic,F2A5,0.833800,0.999926,15.595335,0.780960,0.000000
Christian_Catholic,F2A6,1.557936,0.998743,15.937032,0.780960,0.000000
Christian_Catholic,F2A7,2.151341,0.995043,16.286216,0.780960,0.000000
Christian_Catholic,F2A8,0.957553,0.999859,15.915472,0.780960,0.000000
Christian_Catholic,F2A9,0.799518,0.999939,15.588110,0.780960,0.000000
Christian_Catholic,F3A10_1,1.048520,0.999786,16.011281,0.780960,0.000000
Christian_Catholic,F3A11_1,2.277432,0.993738,16.270397,0.780960,0.000000
Christian_Catholic,F3A12_1,0.960574,0.999857,15.954435,0.780960,0.000000
Christian_Catholic,F3A13_1,2.953273,0.982502,16.624862,0.780960,0.000000
