Group,Accuracy,Weighted Alignment,kendall tau Rank Correlation
Christian_Catholic,18.304590926950162,22.77845958178662,
Christian_Protestant,18.855826090616386,23.53844105121594,
Jewish,18.162589608157724,22.095708677970645,
Orthodox_Christian,18.596468222746743,22.68114151220715,
Jewish_White,20.193601216587705,23.467546369691007,
Christian_Protestant_Asian,17.762313357205596,22.76257253160033,
Christian_Protestant_Hawaiian,18.977944722215174,23.081976948172642,
Orthodox_Christian_Hawaiian,20.14325214246057,23.730041718038564,
Christian_Catholic_Asian,17.658095132987526,22.69333981077195,
Jewish_White_Right,15.366947391447008,18.525621812772446,
Christian_Protestant_Asian_Left,14.014711575687185,19.85094850948509,
Christian_Protestant_Hawaiian_Centrist,18.837098083703136,22.43083193232157,
Orthodox_Christian_Hawaiian_Centrist,21.071428571428573,24.633459598314246,
Christian_Catholic_Asian_Left,14.153732446415374,20.050588407456193,
