Variable,Standard_Deviation,Mean
F1A1_1,0.880862286255314,3.14
F1A2_1,1.1385633625812155,3.64
F1A3_1,1.2842849197518598,3.94
F1A4_1,1.3402710660953048,4.14
F1A5_1,1.104536101718726,3.62
F1A6_1,1.3881422029137376,3.54
F1A7_1,1.4033487645991785,3.9
F1A8_1,1.5200698157972736,4.66
F1A9_1,1.2687773320671156,3.68
F1A10_1,1.487910464719033,3.48
F1A11_1,1.2422822972748384,3.74
F1A12_1,1.2323861043536974,2.46
F1A13_1,1.233710183279092,3.78
F1A14_1,1.287459133490521,3.66
F1A15_1,1.2163847404233143,3.9
F1A16_1,1.3951812112571245,4.18
F1A17_1,1.4393876248925712,4.36
F1A19_1,1.195399344084116,3.86
F2A1,0.5439837932759934,3.3
F2A2,0.6651683843898749,2.92
F2A3,0.6144518047887592,2.9
F2A4,0.6060915267313264,3.4
F2A5,0.5771145679064044,3.44
F2A6,0.63887656499994,3.2
F2A7,0.5360475154083921,3.28
F2A8,0.6809357307321708,3.16
F2A9,0.5379477252503636,3.42
F2A10,0.558423436734059,2.88
F2A11,0.49487165930539384,3.2
F2A12,0.5771145679064044,3.44
F2A14,0.5424810727442153,3.54
F3A1_1,1.516709650284228,4.16
F3A2_1,0.963835873910457,3.36
F3A3_1,1.4840650186537772,4.04
F3A4_1,1.1911236334671897,2.64
F3A5_1,1.1373079564282944,2.82
F3A6_1,2.5574221714971705,4.48
F3A7_1,2.5169628604364283,4.46
F3A8_1,1.451389200815859,4.66
F3A9_1,2.1893993212192013,4.32
F3A10_1,1.2623269733928297,3.28
F3A11_1,1.2874591334905208,3.66
F3A12_1,1.2224097980160802,3.34
F3A13_1,1.2027180102770971,4.32
F3A14_1,2.541412109478524,2.52
F3A15_1,1.343920551587627,4.1
F3A16_1,1.465382864228837,3.34
F3A17_1,1.4400963686574622,2.74
F3A18_1,1.4603605928757768,4.3
F3A19_1,1.299293371531665,3.16
F3A20_1,0.9858177999477782,3.26
F3A21_1,1.243595839589735,3.62
F3A22_1,0.7071067811865483,0.1
F3A23_1,0.0,0.0
F3A24_1,2.108873381399537,1.04
F3A25_1,2.270035511724386,1.3
F3A26_1,0.848528137423858,0.12
F3A27_1,2.4783964532721225,3.02
F3A28_1,1.4489968380692537,4.68
F3A29_1,0.0,0.0
F3A30_1,1.5354318677193601,4.36
F3A31_1,1.8070158058105026,5.8
F3A32_1,1.3863768666298966,3.42
F3A33_1,3.1382433666896254,2.22
F3A34_1,1.249489691752565,0.3
F3A35_1,0.0,0.0
F3A36_1,1.8080319664864155,4.58
F3B_Hamas,3.947667872637345,6.26
F3B_Israel,2.96482783338808,4.16
F3B_Deutschland,2.4328533680031112,7.14
F3B_USA,2.65029840445431,5.58
F3B_UN,2.403144198922804,4.02
F3B_Iran,2.9886861491229193,5.92
F3B_Katar,3.1356410665060475,5.62
F5A1_1,0.4522054797526977,1.86
F5A2_1,0.8081220356417685,2.6
F5A3_1,0.9091372900969897,2.9
F5A4_1,0.862128358263692,3.46
F5A5_1,0.9806287029560292,3.24
F5A6_1,0.9365590516047863,2.98
F5A7_1,0.8154127538760193,3.22
F5A8_1,0.8668497975016038,2.94
F5A9_1,0.880862286255314,2.86
F5A10_1,0.7879189847507243,2.54
F5A11_1,0.9521190115972362,3.46
F5A12_1,0.7879189847507245,3.54
F5A13_1,0.8953394066281368,3.12
F5A14_1,0.8715456595811228,3.34
F5A15_1,0.8797031039051807,3.04
F5A16_1,0.8609439527611065,3.44
F5aA1_1,0.8571428571428569,3.4
F5aA2_1,0.8103916916390196,3.58
F5aA3_1,0.8675557971822273,3.68
F5bA1_1,1.2047524938461718,2.76
F5bA2_1,0.90913729009699,2.3
F5bA3_1,1.050558646334299,2.28
F5bA4_1,1.1605769149479945,3.2
F5bA5_1,0.8992059989632122,3.26
F5bA6_1,0.9527618286018897,3.52
F5cA1_1,1.32864823126702,3.9
F5cA2_1,1.1111677990074318,3.1
F6a_DemPartyA1,2.3124331209303133,5.86
F6a_RepPartyA1,1.384461878809796,6.04
F6mA1_1,1.01519074311085,6.1
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.395897327444315,3.92
F7g,0.32826072265931605,7.12
F7h,0.0,1.0
F7lA1,0.0,1.0
F7mA1,0.7295511619887831,1.28
F7n,0.0,5.0
