Variable,Standard_Deviation,Mean
F1A1_1,1.0768434597167287,3.94
F1A2_1,1.5238244046892444,3.38
F1A3_1,1.297407147399169,4.48
F1A4_1,1.7906788132562739,3.76
F1A5_1,1.5712986959317232,3.98
F1A6_1,1.385051387833237,4.4
F1A7_1,1.4107459309289723,4.64
F1A8_1,1.4201178450669336,4.94
F1A9_1,1.3130428906372635,3.52
F1A10_1,1.6418009026924163,4.28
F1A11_1,1.359021256460032,3.7
F1A12_1,1.0631105688650895,1.82
F1A13_1,1.1471348514219846,3.52
F1A14_1,1.6299492918117269,3.58
F1A15_1,1.4709430544340436,3.14
F1A16_1,1.4478696524937058,3.16
F1A17_1,1.4982983545287878,5.0
F1A19_1,1.8904701931055161,4.76
F2A1,0.885483840989242,3.54
F2A2,0.9648939880439019,3.26
F2A3,1.1058287131636362,2.04
F2A4,0.6060915267313265,4.0
F2A5,0.4948716593053935,4.0
F2A6,0.5439837932759934,3.9
F2A7,0.4522054797526976,3.86
F2A8,0.6776309271789385,3.7
F2A9,0.49321932861805895,3.96
F2A10,0.7342912729083656,3.54
F2A11,0.5345224838248488,4.0
F2A12,0.558423436734059,4.12
F2A14,0.6391959234627743,3.86
F3A1_1,1.8048686989385583,4.74
F3A2_1,1.0269829003206532,2.92
F3A3_1,1.9192898346492007,4.7
F3A4_1,0.9623525596056739,2.18
F3A5_1,1.072095030816784,1.56
F3A6_1,2.8810428950755504,1.84
F3A7_1,3.1259937195544523,3.94
F3A8_1,2.774813838212338,3.88
F3A9_1,1.9617776195510592,0.78
F3A10_1,0.2398979374820953,1.06
F3A11_1,0.7024737630368142,1.42
F3A12_1,1.143035700337001,1.86
F3A13_1,2.2660763537039808,3.26
F3A14_1,2.113223671482573,0.94
F3A15_1,1.7821106495801378,4.26
F3A16_1,0.9680613912055668,1.96
F3A17_1,1.8653664081715131,2.1
F3A18_1,1.138563362581215,2.36
F3A19_1,0.328260722659316,1.12
F3A20_1,1.9583416557935769,3.96
F3A21_1,2.457807219155036,3.6
F3A22_1,0.0,0.0
F3A23_1,1.1301074538037776,0.22
F3A24_1,0.0,0.0
F3A25_1,0.6141195788629908,0.52
F3A26_1,0.0,0.0
F3A27_1,1.7191597378026375,0.94
F3A28_1,2.0683227948445255,4.26
F3A29_1,0.7071067811865483,0.1
F3A30_1,1.7663521732655698,3.68
F3A31_1,1.4321384039831015,6.5
F3A32_1,2.429495622468136,4.66
F3A33_1,1.2906255404703122,0.26
F3A34_1,0.0,0.0
F3A35_1,1.6035674514745453,0.4
F3A36_1,1.9852517446903095,4.24
F3B_Hamas,4.576604212999961,3.44
F3B_Israel,3.8287846422506826,3.56
F3B_Deutschland,3.8116898603948277,7.04
F3B_USA,3.179269586247887,5.88
F3B_UN,3.1121224465706656,4.78
F3B_Iran,3.7454189705967647,6.18
F3B_Katar,3.7294197174052997,5.36
F5A1_1,0.8081220356417687,2.8
F5A2_1,0.6590035768383311,3.88
F5A3_1,0.7761758689832072,3.64
F5A4_1,0.7690439333539866,3.98
F5A5_1,0.7230886134196435,3.74
F5A6_1,0.7001457574195914,3.86
F5A7_1,0.6047431568147634,3.96
F5A8_1,0.9205144967764004,3.64
F5A9_1,0.762648446573665,3.7
F5A10_1,0.9484681527255904,3.28
F5A11_1,0.6375975315548971,3.96
F5A12_1,0.860943952761106,3.56
F5A13_1,0.9205144967764006,3.36
F5A14_1,0.8253632471802449,3.82
F5A15_1,0.772221814385119,3.66
F5A16_1,0.5499536158548619,3.94
F5aA1_1,0.914508901330241,4.02
F5aA2_1,1.2115094312636683,4.04
F5aA3_1,1.04666623337224,3.92
F5bA1_1,1.309463202060684,2.86
F5bA2_1,1.124858267715973,3.0
F5bA3_1,1.5231546211727818,3.08
F5bA4_1,1.2237446712481175,4.18
F5bA5_1,1.2453996981544782,4.0
F5bA6_1,1.0631105688650895,4.18
F5cA1_1,1.5551100755055172,3.9
F5cA2_1,1.2128563015309213,2.28
F6a_DemPartyA1,2.1092604371762,7.0
F6a_RepPartyA1,2.225639096474337,4.16
F6mA1_1,1.4618970063389747,5.84
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,1.026982900320653,1.92
F7g,0.7848046682754501,7.58
F7h,0.4351870346207949,1.12
F7lA1,0.0,1.0
F7mA1,2.3370136185014467,4.74
F7n,0.0,5.0
