Variable,Standard_Deviation,Mean
F1A1_1,1.2163847404233143,3.5
F1A2_1,1.489555474027094,3.16
F1A3_1,1.6368212099888577,5.12
F1A4_1,1.4880476182856899,4.5
F1A5_1,1.309463202060684,5.14
F1A6_1,1.4880476182856899,4.3
F1A7_1,1.457002794388927,5.14
F1A8_1,1.6664761795905927,4.72
F1A9_1,1.6482520116406805,4.24
F1A10_1,1.7700455430552617,4.36
F1A11_1,1.3656126680664886,3.82
F1A12_1,1.359021256460032,2.1
F1A13_1,1.7944358444926358,4.38
F1A14_1,1.551825784457174,4.2
F1A15_1,1.4165206007132045,4.56
F1A16_1,1.4126252879237413,4.62
F1A17_1,1.6081425462251757,4.84
F1A19_1,1.6393129471749774,4.92
F2A1,0.9899494936611665,3.14
F2A2,1.113186270787323,2.84
F2A3,1.3032142367771984,1.34
F2A4,0.7677159338596798,3.68
F2A5,0.7866228513106402,3.56
F2A6,0.9082389328715618,3.54
F2A7,0.7866228513106402,3.44
F2A8,1.212183053462653,3.0
F2A9,0.8466018508588032,3.76
F2A10,0.9267014137272488,3.28
F2A11,0.6353530273696308,3.62
F2A12,0.8233827686279752,3.34
F2A14,0.8592830423898611,3.58
F3A1_1,1.248018838162375,5.56
F3A2_1,1.3364589215458853,4.36
F3A3_1,1.614222501922918,4.92
F3A4_1,1.4568627181693667,3.4
F3A5_1,0.8762163557254657,0.26
F3A6_1,1.43938762489257,0.36
F3A7_1,3.0280322970266895,3.12
F3A8_1,2.990051531874543,3.72
F3A9_1,1.8170395298565258,0.62
F3A10_1,2.269945607547566,3.52
F3A11_1,1.6758793001202172,3.74
F3A12_1,1.2950455038889008,3.58
F3A13_1,2.9524116741873154,2.76
F3A14_1,2.4048420542984634,1.18
F3A15_1,1.4609194756336552,4.78
F3A16_1,2.0004081216244907,2.72
F3A17_1,2.024442478051371,1.94
F3A18_1,1.2356936414460518,4.94
F3A19_1,1.668923641886884,3.52
F3A20_1,1.385640646055102,5.28
F3A21_1,2.147993843338571,5.28
F3A22_1,0.0,0.0
F3A23_1,1.4813121596360823,0.36
F3A24_1,1.7870280881270726,0.52
F3A25_1,2.1135133724465067,0.68
F3A26_1,1.3856406460551023,0.28
F3A27_1,2.615807519599223,1.88
F3A28_1,2.114671779424381,5.24
F3A29_1,1.1313708498984756,0.16
F3A30_1,2.9081868957149517,4.54
F3A31_1,1.0505586463342997,6.72
F3A32_1,2.1759351731039738,3.6
F3A33_1,2.636401381599161,1.22
F3A34_1,0.9971387638065791,0.16
F3A35_1,0.9899494936611659,0.14
F3A36_1,2.2757819916392235,4.62
F3B_Hamas,4.406349778143688,2.18
F3B_Israel,3.42642790136686,2.88
F3B_Deutschland,4.909632348345277,5.76
F3B_USA,3.6435573556733862,4.3
F3B_UN,3.436954038276406,4.06
F3B_Iran,4.288380123267135,6.24
F3B_Katar,3.7515167000855016,4.74
F5A1_1,0.8907689867497087,2.32
F5A2_1,1.2650723944760263,3.54
F5A3_1,1.0224021334333082,3.34
F5A4_1,1.134972803773783,3.76
F5A5_1,1.110984119727062,3.52
F5A6_1,0.9484681527255903,3.72
F5A7_1,0.9538322275784914,3.78
F5A8_1,0.9897433186107869,3.4
F5A9_1,0.8571428571428572,3.4
F5A10_1,1.1214058232451638,2.74
F5A11_1,1.293626448305345,3.6
F5A12_1,0.7559289460184544,4.0
F5A13_1,0.7824607964359516,3.8
F5A14_1,0.7273098320775918,3.96
F5A15_1,0.8687311883149011,3.98
F5A16_1,0.8320125587749165,3.96
F5aA1_1,1.2974071473991695,4.52
F5aA2_1,1.6581277861196464,4.16
F5aA3_1,1.3739560044050962,4.1
F5bA1_1,1.1988089327089855,3.54
F5bA2_1,1.295045503888901,3.58
F5bA3_1,1.4518109732471431,2.88
F5bA4_1,1.4393876248925712,4.36
F5bA5_1,1.4126252879237413,3.62
F5bA6_1,1.0768434597167282,3.94
F5cA1_1,2.0603150145508513,4.0
F5cA2_1,1.6021669000170378,3.38
F6a_DemPartyA1,3.1102201510110343,2.4
F6a_RepPartyA1,2.373407092028208,4.14
F6mA1_1,1.0497813183356481,6.4
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.9707981147446862,2.42
F7g,0.8571428571428572,7.0
F7h,0.19794866372215747,1.04
F7lA1,0.0,1.0
F7mA1,2.434865792722759,5.1
F7n,0.0,5.0
