Variable,Standard_Deviation,Mean
F1A1_1,1.1471348514219846,3.52
F1A2_1,1.2783918469255484,3.28
F1A3_1,1.132272412596249,4.94
F1A4_1,1.4365491531401753,4.76
F1A5_1,0.9089127840335354,5.48
F1A6_1,1.3648652471424214,4.88
F1A7_1,1.1065666703449764,5.0
F1A8_1,1.3903457212110217,4.84
F1A9_1,1.1842503872035828,4.84
F1A10_1,1.3596217961519406,4.78
F1A11_1,1.3000784905661091,4.06
F1A12_1,0.9889181885643877,1.96
F1A13_1,1.342553157082369,4.44
F1A14_1,1.3286482312670198,3.9
F1A15_1,1.503193878624675,4.16
F1A16_1,1.359021256460032,4.3
F1A17_1,1.0382481320346642,5.06
F1A19_1,1.0682810911908531,4.96
F2A1,0.7655863432556723,3.16
F2A2,0.9905677613348407,2.28
F2A3,0.8053393251117373,2.38
F2A4,0.7174216873994128,3.34
F2A5,0.6417450698633201,3.58
F2A6,0.7559289460184546,3.2
F2A7,0.6131218209678554,3.46
F2A8,0.7253429871306343,3.38
F2A9,0.614451804788759,3.5
F2A10,0.7001457574195913,3.14
F2A11,0.680935730732171,3.16
F2A12,0.5799366608624126,3.48
F2A14,0.8351951989853411,3.42
F3A1_1,0.8907689867497088,5.68
F3A2_1,1.293626448305345,4.2
F3A3_1,0.8675557971822273,5.32
F3A4_1,1.4032033323209914,3.48
F3A5_1,1.3674048114466133,2.74
F3A6_1,0.8253632471802447,5.82
F3A7_1,1.2224097980160802,5.34
F3A8_1,1.4961174241812627,4.92
F3A9_1,1.2650723944760265,5.46
F3A10_1,1.3702375780893485,4.0
F3A11_1,1.6781914463529617,3.6
F3A12_1,1.5354318677193597,3.36
F3A13_1,1.9942775276131597,4.68
F3A14_1,2.242902638301083,3.9
F3A15_1,1.2975644374703539,4.7
F3A16_1,1.522752609652691,3.26
F3A17_1,1.4813121596360816,3.36
F3A18_1,1.102131515542052,5.36
F3A19_1,1.3117988895141708,3.44
F3A20_1,1.6572660052764308,4.78
F3A21_1,1.3425531570823692,4.56
F3A22_1,1.3005493344846915,0.32
F3A23_1,2.3672079480661923,0.78
F3A24_1,1.8999462935481486,0.68
F3A25_1,2.18986533925756,0.98
F3A26_1,1.2942573317607005,0.28
F3A27_1,2.9499913524605184,3.46
F3A28_1,1.2348675877128177,5.16
F3A29_1,1.041192409045063,0.24
F3A30_1,2.1499881347560588,4.5
F3A31_1,1.127757391770889,6.44
F3A32_1,1.7398099825872377,3.44
F3A33_1,3.1196546119657516,4.68
F3A34_1,3.34108622200283,4.02
F3A35_1,2.850635446524088,1.58
F3A36_1,1.7915903321818152,4.88
F3B_Hamas,1.3280336853362407,9.54
F3B_Israel,2.37469654344916,7.44
F3B_Deutschland,2.821274860189042,8.14
F3B_USA,3.3578418725151913,5.52
F3B_UN,3.0458402546986703,3.78
F3B_Iran,3.2885701874144364,6.04
F3B_Katar,3.416645926600399,5.4
F5A1_1,0.5014265364224069,1.44
F5A2_1,1.0349011586442765,3.52
F5A3_1,0.9476070829586857,3.2
F5A4_1,0.8071112509614592,4.04
F5A5_1,0.9071147352221454,3.44
F5A6_1,0.8907689867497083,3.68
F5A7_1,0.7529533687488252,3.62
F5A8_1,0.9638358739104571,3.36
F5A9_1,0.614451804788759,3.7
F5A10_1,1.0343093919941688,2.54
F5A11_1,0.42426406871192884,3.94
F5A12_1,0.4242640687119283,4.06
F5A13_1,0.8675557971822271,3.68
F5A14_1,0.5656854249492378,3.92
F5A15_1,0.8640200300021394,3.78
F5A16_1,0.6848208465261079,3.98
F5aA1_1,0.9689042833036098,3.8
F5aA2_1,0.9741558354989898,3.9
F5aA3_1,1.2879345908096733,4.12
F5bA1_1,1.124858267715973,3.2
F5bA2_1,0.9957050624700934,3.22
F5bA3_1,1.2035661297043168,3.02
F5bA4_1,1.1428571428571428,4.0
F5bA5_1,1.1466010106183493,3.54
F5bA6_1,0.8283250865328127,3.74
F5cA1_1,1.166890163237836,4.84
F5cA2_1,1.4546196641551834,3.08
F6a_DemPartyA1,2.126700999872136,5.74
F6a_RepPartyA1,1.738401799448715,5.72
F6mA1_1,1.469277206725838,6.62
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.6091144458665099,2.42
F7g,0.0,7.0
F7h,0.0,1.0
F7lA1,0.0,1.0
F7mA1,2.1703944906163857,1.94
F7n,0.0,5.0
