Variable,Standard_Deviation,Mean
F1A1_1,1.503193878624675,4.16
F1A2_1,1.9612574059120587,4.48
F1A3_1,1.114651954464638,5.68
F1A4_1,2.009061106739226,4.38
F1A5_1,0.9689042833036098,6.0
F1A6_1,1.4427864197660114,5.6
F1A7_1,1.088155151002402,5.86
F1A8_1,1.9695643359558952,5.28
F1A9_1,1.2975644374703532,5.3
F1A10_1,2.296847884401932,4.7
F1A11_1,1.4967993062749947,4.38
F1A12_1,1.3156824875946573,2.06
F1A13_1,2.72284365159302,4.12
F1A14_1,2.3775308749256,3.02
F1A15_1,1.8888502063532768,4.94
F1A16_1,1.3715773728798235,5.58
F1A17_1,0.9313146293146644,5.9
F1A19_1,1.7142857142857144,5.2
F2A1,1.1649647450214353,2.9
F2A2,1.0151907431108496,2.1
F2A3,1.0567566862232527,0.84
F2A4,0.7708992893275456,3.76
F2A5,0.8081220356417685,3.8
F2A6,0.8283250865328126,3.74
F2A7,0.8144110179279557,3.5
F2A8,0.7559289460184545,3.2
F2A9,0.6942915931555923,3.74
F2A10,0.9391702807939203,3.34
F2A11,0.84972984902646,3.18
F2A12,0.9781281582070682,3.32
F2A14,0.903507902905251,3.6
F3A1_1,0.7669180303696884,5.94
F3A2_1,1.340727795045722,4.28
F3A3_1,1.9361227824111333,4.92
F3A4_1,1.1988089327089857,2.46
F3A5_1,1.261680123761121,0.8
F3A6_1,2.2098111471622315,0.88
F3A7_1,3.051663982358557,2.44
F3A8_1,2.815699427372552,2.48
F3A9_1,1.9509286119639528,0.7
F3A10_1,2.0952813848341836,3.24
F3A11_1,1.587707884508549,4.36
F3A12_1,2.141523394450687,2.84
F3A13_1,2.9565561874917785,2.44
F3A14_1,1.785314240904247,0.58
F3A15_1,2.1484688425357583,4.58
F3A16_1,2.1779038789906338,1.54
F3A17_1,1.964584392876695,1.24
F3A18_1,1.0476406924170916,5.62
F3A19_1,1.7408653724219914,3.3
F3A20_1,2.777460299317654,4.2
F3A21_1,3.1597597428686024,3.66
F3A22_1,0.7071067811865483,0.1
F3A23_1,1.200170055977613,0.22
F3A24_1,1.8783405615878408,0.68
F3A25_1,1.5265005999450683,0.42
F3A26_1,1.8534028274544971,0.56
F3A27_1,1.3055611038623838,0.64
F3A28_1,3.2415667665560766,3.32
F3A29_1,1.9811355226696823,0.56
F3A30_1,3.070332030173642,2.96
F3A31_1,0.23989793748209537,6.94
F3A32_1,2.6668792432277812,4.3
F3A33_1,2.2978250586152122,0.84
F3A34_1,1.1876919823329442,0.24
F3A35_1,1.7870280881270726,0.52
F3A36_1,2.489488104090511,3.92
F3B_Hamas,4.1169138431398755,1.9
F3B_Israel,3.9382996434543487,2.6
F3B_Deutschland,3.6284589408885815,2.76
F3B_USA,3.931245842929569,3.88
F3B_UN,3.582497133883811,3.68
F3B_Iran,4.929875603845167,6.32
F3B_Katar,3.471457965777962,3.9
F5A1_1,0.9691148917798074,2.14
F5A2_1,1.6597270491110938,2.98
F5A3_1,1.1717769516805645,2.88
F5A4_1,1.4885961061842594,3.78
F5A5_1,1.6849877368899122,3.24
F5A6_1,1.0879675865519862,3.6
F5A7_1,0.9391702807939204,3.66
F5A8_1,0.981668716720542,3.66
F5A9_1,1.051529498261597,3.58
F5A10_1,1.0301575072754254,3.2
F5A11_1,1.038248132034664,4.06
F5A12_1,0.7730142433410673,4.12
F5A13_1,0.958101864977555,3.98
F5A14_1,0.6700593942604899,4.2
F5A15_1,0.8806305718527109,4.2
F5A16_1,0.7001457574195913,4.14
F5aA1_1,1.4433521074645819,4.28
F5aA2_1,1.5877078845085484,3.64
F5aA3_1,1.6192716931776858,4.52
F5bA1_1,1.8384776310850235,3.74
F5bA2_1,1.788968463463039,4.06
F5bA3_1,2.001631987215656,3.56
F5bA4_1,1.9798989873223327,4.28
F5bA5_1,1.4984345572793556,3.86
F5bA6_1,1.4205489022464066,4.32
F5cA1_1,2.3057160559384235,1.7
F5cA2_1,1.5877078845085484,3.36
F6a_DemPartyA1,2.1285234893930487,1.0
F6a_RepPartyA1,2.7351827159800357,3.22
F6mA1_1,1.4609194756336552,5.78
F7d,0.27404751561786994,1.92
F7e,0.2740475156178697,1.92
F7f,0.3030457633656632,1.9
einkommen,1.0554039752722215,2.22
F7g,1.142857142857143,7.4
F7h,0.5480950312357397,1.16
F7lA1,0.0,1.0
F7mA1,2.7273370431501083,4.48
F7n,0.2398979374820953,1.06
