Variable,Standard_Deviation,Mean
F1A1_1,1.0303555954432548,3.14
F1A2_1,1.0631105688650893,3.82
F1A3_1,1.4961174241812627,4.08
F1A4_1,1.176122997871587,3.62
F1A5_1,1.2328828005937953,3.48
F1A6_1,1.1358715075362413,3.66
F1A7_1,1.2823766201543008,4.22
F1A8_1,1.6591121303951977,4.32
F1A9_1,1.1823532398033463,3.5
F1A10_1,1.7660055238317012,3.94
F1A11_1,0.9940640146922743,3.46
F1A12_1,1.0768434597167287,3.06
F1A13_1,0.9527618286018897,3.48
F1A14_1,1.0926470386270257,3.3
F1A15_1,1.2381684960011685,3.76
F1A16_1,0.9971387638065795,3.84
F1A17_1,1.6980180523547004,4.12
F1A19_1,1.2974071473991688,3.52
F2A1,0.4677344441069971,3.16
F2A2,0.5345224838248491,2.8
F2A3,0.5439837932759934,2.9
F2A4,0.5573259772323192,3.34
F2A5,0.4903143514780145,3.38
F2A6,0.4797958749641905,3.12
F2A7,0.4882287854467157,3.08
F2A8,0.5656854249492377,3.08
F2A9,0.4712120714991612,3.32
F2A10,0.40406101782088427,3.0
F2A11,0.45220547975269754,3.14
F2A12,0.4629100498862757,3.3
F2A14,0.5225526045191966,3.18
F3A1_1,2.101117292668598,3.44
F3A2_1,0.9521190115972359,3.46
F3A3_1,1.4646863563401482,3.76
F3A4_1,1.1111677990074318,2.5
F3A5_1,1.0583005244258363,2.68
F3A6_1,1.9463204426060277,4.74
F3A7_1,2.072561266665387,4.52
F3A8_1,2.0232324107119037,4.22
F3A9_1,1.752432711450932,4.48
F3A10_1,1.0887176504718654,3.28
F3A11_1,1.1322724125962491,3.06
F3A12_1,1.1993195349608776,3.52
F3A13_1,1.5173822786601396,3.94
F3A14_1,1.45980149615051,3.46
F3A15_1,1.2348675877128175,4.16
F3A16_1,1.0388376550113054,3.68
F3A17_1,1.4463183379511848,2.9
F3A18_1,1.475791036587995,4.16
F3A19_1,1.178030178747903,3.0
F3A20_1,1.1109841197270618,3.48
F3A21_1,1.150687460891558,3.32
F3A22_1,1.6781914463529617,0.6
F3A23_1,1.400291514839183,0.28
F3A24_1,1.635823452377101,3.24
F3A25_1,2.269945607547567,1.48
F3A26_1,2.4744407737622542,1.14
F3A27_1,1.7515008141707546,3.56
F3A28_1,1.2480188381623747,4.56
F3A29_1,0.1979486637221575,0.04
F3A30_1,1.0946996606096002,4.16
F3A31_1,1.56609484426215,5.42
F3A32_1,1.2553558727894405,3.66
F3A33_1,2.4193944258336844,4.94
F3A34_1,2.776651926037425,1.62
F3A35_1,1.6567733578204573,0.5
F3A36_1,1.8012467337703533,3.98
F3B_Hamas,3.1574337293286208,7.5
F3B_Israel,2.455813593936491,5.64
F3B_Deutschland,2.2929350231544205,6.74
F3B_USA,2.249716535431946,5.2
F3B_UN,2.3582248598884537,5.3
F3B_Iran,1.9336968928633533,7.34
F3B_Katar,2.4660966430902955,5.6
F5A1_1,0.551065757771026,2.32
F5A2_1,0.7982122882685142,2.66
F5A3_1,0.7461465632686054,2.88
F5A4_1,0.8144110179279557,3.5
F5A5_1,0.8033094811148311,3.26
F5A6_1,0.8864052604279186,2.9
F5A7_1,0.8390957231764811,3.3
F5A8_1,0.8241260058203402,2.88
F5A9_1,0.7690439333539867,3.02
F5A10_1,0.7295511619887829,2.72
F5A11_1,0.8053393251117376,3.62
F5A12_1,0.8134080483135291,3.46
F5A13_1,0.8808622862553139,3.14
F5A14_1,0.8144110179279557,3.5
F5A15_1,0.7082603003566024,3.22
F5A16_1,0.752953368748825,3.62
F5aA1_1,0.7309485031694877,3.58
F5aA2_1,0.9553287712743133,3.16
F5aA3_1,0.7824607964359516,3.6
F5bA1_1,1.1286618408630673,2.46
F5bA2_1,0.943506270054764,2.74
F5bA3_1,1.358871080067899,2.48
F5bA4_1,0.9091372900969903,3.3
F5bA5_1,0.95276182860189,3.48
F5bA6_1,0.9435062700547635,3.74
F5cA1_1,1.4234192808092743,3.88
F5cA2_1,1.0101525445522106,3.2
F6a_DemPartyA1,1.1111677990074318,6.5
F6a_RepPartyA1,1.2650723944760265,6.46
F6mA1_1,0.6942915931555924,6.26
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.39589732744431505,3.92
F7g,0.23989793748209537,7.06
F7h,0.0,1.0
F7lA1,0.0,2.0
F7mA1,0.40456577881446565,1.14
F7n,0.0,5.0
