Variable,Standard_Deviation,Mean
F1A1_1,0.9258200997725516,3.8
F1A2_1,1.0690449676496976,3.6
F1A3_1,1.1277573917708887,4.56
F1A4_1,1.4068346290411633,3.98
F1A5_1,1.0690449676496976,3.8
F1A6_1,1.261680123761121,4.2
F1A7_1,1.3767752917893443,4.32
F1A8_1,1.4033487645991787,4.5
F1A9_1,1.163387032657276,3.56
F1A10_1,1.5042796092672215,4.32
F1A11_1,1.006914867811777,3.92
F1A12_1,0.7655863432556723,1.84
F1A13_1,1.0528871870107588,3.56
F1A14_1,0.8827138117585948,3.58
F1A15_1,1.2817398889233114,3.5
F1A16_1,1.3341664064126333,3.34
F1A17_1,1.7129756899284105,4.62
F1A19_1,1.8080319664864153,4.42
F2A1,0.5345224838248488,3.6
F2A2,0.7284313590846836,3.4
F2A3,0.6605501726683939,2.82
F2A4,0.5802884574739972,3.9
F2A5,0.48822878544671583,3.92
F2A6,0.48697315854455187,3.74
F2A7,0.63887656499994,3.8
F2A8,0.5746338674605361,3.58
F2A9,0.5480950312357397,3.84
F2A10,0.6131218209678555,3.54
F2A11,0.4629100498862757,3.7
F2A12,0.493219328618059,3.96
F2A14,0.5869325309764039,3.68
F3A1_1,1.8599978055725488,4.36
F3A2_1,1.0184021097498066,3.06
F3A3_1,1.2817398889233118,4.7
F3A4_1,0.7824607964359516,1.8
F3A5_1,0.5869325309764039,1.68
F3A6_1,1.370237578089349,5.8
F3A7_1,1.9098028533792462,5.16
F3A8_1,1.664025117549833,4.92
F3A9_1,2.5542281872716575,4.08
F3A10_1,0.30304576336566325,1.1
F3A11_1,0.6114552731152199,1.44
F3A12_1,1.0567566862232527,1.84
F3A13_1,1.1830434635864797,3.78
F3A14_1,1.7172593257387585,4.1
F3A15_1,1.1563489339913178,3.64
F3A16_1,0.9606545387688247,2.34
F3A17_1,1.1621584422521567,2.42
F3A18_1,1.0745668325195141,2.78
F3A19_1,0.3880879344916036,1.18
F3A20_1,1.1073041357186342,3.72
F3A21_1,1.4858516420022616,4.58
F3A22_1,1.7010201021020008,0.62
F3A23_1,0.8964783708421277,0.18
F3A24_1,2.48464673298944,1.7
F3A25_1,1.2936264483053457,1.8
F3A26_1,2.1946130708196003,0.8
F3A27_1,1.3797367391599584,3.12
F3A28_1,1.4285714285714286,4.0
F3A29_1,0.0,0.0
F3A30_1,1.0984218735280618,3.76
F3A31_1,0.7406560798180407,6.32
F3A32_1,1.838477631085024,4.26
F3A33_1,2.3394574637060184,5.58
F3A34_1,2.7470949405226053,5.38
F3A35_1,2.877711675932096,1.62
F3A36_1,2.026759754396365,4.12
F3B_Hamas,4.186908654560385,6.98
F3B_Israel,2.211380582720363,5.74
F3B_Deutschland,3.4773318413251673,6.9
F3B_USA,2.695423180587601,6.6
F3B_UN,3.1379832337841136,5.3
F3B_Iran,2.5857537487122775,7.74
F3B_Katar,3.069534299584634,5.08
F5A1_1,0.8184106049944286,2.94
F5A2_1,0.735124590301063,3.52
F5A3_1,0.9010198303555131,3.62
F5A4_1,0.5146823867043381,3.98
F5A5_1,0.6502746672423455,3.84
F5A6_1,0.7708992893275455,3.76
F5A7_1,0.49528388066742046,3.86
F5A8_1,0.7583548251421145,3.58
F5A9_1,0.7889543583705186,3.5
F5A10_1,0.8998866141727784,3.08
F5A11_1,0.5656854249492378,3.92
F5A12_1,0.5602477586036455,3.82
F5A13_1,0.7059513771774766,3.54
F5A14_1,0.6006798869036751,3.92
F5A15_1,0.7174216873994128,3.66
F5A16_1,0.377424137532083,4.02
F5aA1_1,0.712569366476567,3.68
F5aA2_1,1.0879675865519867,3.4
F5aA3_1,0.7082603003566026,3.78
F5bA1_1,1.1471348514219848,2.52
F5bA2_1,1.0783585409580352,3.02
F5bA3_1,1.4982983545287882,2.8
F5bA4_1,1.1691615694634356,4.02
F5bA5_1,0.9946797248873837,3.52
F5bA6_1,0.8533248298896042,4.08
F5cA1_1,1.0806271799472826,3.66
F5cA2_1,1.3192453006417368,2.88
F6a_DemPartyA1,1.091899673944078,7.46
F6a_RepPartyA1,1.6035674514745464,4.8
F6mA1_1,1.4463183379511848,5.5
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.9082389328715618,2.46
F7g,0.48822878544671605,7.08
F7h,0.8283250865328123,1.26
F7lA1,0.0,2.0
F7mA1,2.6146369787433676,4.98
F7n,0.0,5.0
