Variable,Standard_Deviation,Mean
F1A1_1,1.0887176504718656,3.72
F1A2_1,1.1183077594731958,3.88
F1A3_1,1.0577218491664437,5.06
F1A4_1,1.4957081457098698,4.74
F1A5_1,1.202208851426814,5.06
F1A6_1,1.2249114920129154,4.64
F1A7_1,1.355261854357877,4.8
F1A8_1,1.2975644374703537,4.5
F1A9_1,1.353604409699962,4.38
F1A10_1,1.8826815439469227,4.08
F1A11_1,1.1919800025716087,3.74
F1A12_1,1.1214058232451638,2.26
F1A13_1,1.2394863979133632,4.12
F1A14_1,1.1945454263066784,3.96
F1A15_1,1.516709650284228,4.16
F1A16_1,1.401020036565196,4.58
F1A17_1,1.2163847404233141,4.9
F1A19_1,1.6217903938649578,4.32
F2A1,0.752953368748825,3.38
F2A2,0.8253632471802451,2.82
F2A3,0.9722685444099172,2.44
F2A4,0.6468132241526726,3.3
F2A5,0.8233827686279753,3.34
F2A6,0.6712765785411845,3.28
F2A7,0.5405967979549856,3.44
F2A8,0.7182745765700876,3.12
F2A9,0.5345224838248489,3.6
F2A10,0.6064281507654607,3.14
F2A11,0.5674864018868913,3.38
F2A12,0.5252793231671498,3.36
F2A14,0.7059513771774765,3.46
F3A1_1,1.8974741535170663,4.54
F3A2_1,1.1430357003370009,4.14
F3A3_1,1.4637106884872557,3.98
F3A4_1,1.158641005485235,2.62
F3A5_1,1.1952286093343936,2.4
F3A6_1,1.774651446087947,5.56
F3A7_1,1.6801360489130466,5.44
F3A8_1,1.6364471221745813,5.34
F3A9_1,1.6113120525249736,5.34
F3A10_1,1.1994896874104761,3.7
F3A11_1,1.1821806208901262,3.48
F3A12_1,1.2337101832790922,3.78
F3A13_1,2.349207421707177,4.46
F3A14_1,2.16992429097686,3.84
F3A15_1,1.441229633730467,4.38
F3A16_1,1.2616801237611208,3.6
F3A17_1,1.6011475476631614,3.74
F3A18_1,1.138563362581216,4.64
F3A19_1,1.1358715075362413,3.34
F3A20_1,1.3401187885209798,4.2
F3A21_1,1.470249180602126,4.96
F3A22_1,1.5140161485133459,0.44
F3A23_1,2.468164649024427,1.1
F3A24_1,2.353373609722599,4.18
F3A25_1,2.475100492703194,1.42
F3A26_1,3.1157270583349903,1.92
F3A27_1,1.909054686466149,3.78
F3A28_1,1.3915195042155344,5.32
F3A29_1,2.000408121624491,0.72
F3A30_1,1.1430357003370009,4.14
F3A31_1,0.7329003050503236,6.44
F3A32_1,1.2427750383389455,3.92
F3A33_1,2.4327694808466296,5.4
F3A34_1,3.2989794340253846,2.88
F3A35_1,3.163826151729476,2.52
F3A36_1,1.6903085094570334,4.4
F3B_Hamas,4.150239727523986,8.6
F3B_Israel,2.8870576788170212,6.46
F3B_Deutschland,3.574284572341945,8.2
F3B_USA,3.113433697343675,5.02
F3B_UN,3.3508451568680586,5.42
F3B_Iran,2.9109925370945913,8.66
F3B_Katar,3.137918197188209,6.48
F5A1_1,0.7253429871306344,2.62
F5A2_1,0.8953394066281368,3.12
F5A3_1,0.8889342392059453,3.16
F5A4_1,0.8171628369185767,3.84
F5A5_1,0.9847821679779477,3.64
F5A6_1,0.7743331561638658,3.82
F5A7_1,0.7439552323595169,3.76
F5A8_1,0.838852471765897,3.52
F5A9_1,0.813408048313529,3.46
F5A10_1,0.9529760045804526,3.1
F5A11_1,0.8935140440635366,3.76
F5A12_1,0.82412600582034,3.88
F5A13_1,0.97415583549899,3.7
F5A14_1,0.6565214453186321,3.76
F5A15_1,0.8171628369185767,3.84
F5A16_1,0.6047431568147634,3.96
F5aA1_1,0.9091372900969898,4.3
F5aA2_1,1.1473127431577868,3.3
F5aA3_1,1.1876919823329444,3.76
F5bA1_1,1.0961900624714784,3.32
F5bA2_1,1.029364773408676,3.04
F5bA3_1,1.6473850645858144,2.98
F5bA4_1,1.2094863136295273,3.92
F5bA5_1,0.9948848769417232,3.3
F5bA6_1,0.9133924207511877,3.68
F5cA1_1,1.3981036719610676,4.38
F5cA2_1,1.170382808472231,3.24
F6a_DemPartyA1,2.7045690742798607,4.46
F6a_RepPartyA1,1.7984119979264246,5.52
F6mA1_1,1.0738068841694934,6.5
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.7406560798180409,2.32
F7g,0.5699982098074285,7.04
F7h,0.14142135623730945,1.02
F7lA1,0.0,2.0
F7mA1,2.679019010224238,5.08
F7n,0.0,5.0
