Variable,Standard_Deviation,Mean
F1A1_1,1.1528137715332578,3.76
F1A2_1,1.2414606275657387,3.64
F1A3_1,1.038248132034664,4.94
F1A4_1,1.185628224071225,4.68
F1A5_1,1.1036118809044553,5.08
F1A6_1,1.3733617327490935,4.46
F1A7_1,1.006306643734647,5.26
F1A8_1,1.0554039752722215,5.22
F1A9_1,1.1435712054965432,4.28
F1A10_1,0.8571428571428568,4.8
F1A11_1,1.0093440990088969,3.96
F1A12_1,1.1563489339913173,2.64
F1A13_1,1.1373079564282944,4.18
F1A14_1,1.1823532398033465,3.7
F1A15_1,1.1551128578133458,4.18
F1A16_1,1.198808932708986,4.46
F1A17_1,1.3944496390757062,4.88
F1A19_1,1.2389923489740875,4.66
F2A1,0.6375975315548971,3.04
F2A2,0.5046720495044484,2.48
F2A3,0.5788799882672805,2.54
F2A4,0.6157789160643518,3.22
F2A5,0.5050762722761054,3.5
F2A6,0.4848732213850612,3.36
F2A7,0.45355736761107285,3.28
F2A8,0.5066899385990915,3.22
F2A9,0.4535573676110728,3.28
F2A10,0.4882287854467159,3.08
F2A11,0.5126959555693247,3.32
F2A12,0.40406101782088427,3.2
F2A14,0.5405967979549856,3.44
F3A1_1,1.8192844522963825,4.58
F3A2_1,1.2512850537404678,3.84
F3A3_1,1.4568627181693674,4.6
F3A4_1,1.098421873528062,2.76
F3A5_1,1.1506874608915585,2.32
F3A6_1,0.6700593942604898,5.6
F3A7_1,0.8630747123996123,5.5
F3A8_1,1.211509431263668,5.04
F3A9_1,1.3013336957733406,4.98
F3A10_1,1.1823532398033467,3.3
F3A11_1,1.2069526477362529,3.82
F3A12_1,1.1988089327089855,3.46
F3A13_1,1.180798761129819,4.56
F3A14_1,1.2631350696111767,4.42
F3A15_1,1.1293848786315643,4.7
F3A16_1,1.2330483215451478,3.7
F3A17_1,1.6690459207925603,3.5
F3A18_1,0.8171628369185768,4.84
F3A19_1,1.0956313993608005,3.06
F3A20_1,1.3997084244475304,4.0
F3A21_1,1.0546302185881005,4.1
F3A22_1,2.7181175959303383,2.86
F3A23_1,2.1309191271680428,0.9
F3A24_1,1.9484164161216264,3.86
F3A25_1,2.699130623450629,2.98
F3A26_1,3.4004201421084934,3.22
F3A27_1,1.49570814570987,4.26
F3A28_1,1.3715773728798228,4.42
F3A29_1,0.28284271247461873,0.04
F3A30_1,1.1293848786315643,4.1
F3A31_1,0.633744943223395,6.08
F3A32_1,1.2610329423265092,3.96
F3A33_1,1.5825579913287116,5.84
F3A34_1,2.0127146862293395,5.3
F3A35_1,2.6600598428131166,5.16
F3A36_1,1.4574229422693543,4.72
F3B_Hamas,2.5948142947983395,9.04
F3B_Israel,2.162387191819943,5.24
F3B_Deutschland,3.0556738793828866,6.64
F3B_USA,2.512743033224927,5.18
F3B_UN,3.4655741344880577,4.7
F3B_Iran,2.9941439442992173,7.12
F3B_Katar,3.171878989893942,5.98
F5A1_1,0.8154127538760193,2.78
F5A2_1,0.8907689867497084,3.32
F5A3_1,0.9733174912511898,3.54
F5A4_1,0.6518419740885621,4.06
F5A5_1,0.83397254396151,3.72
F5A6_1,0.6502746672423454,3.84
F5A7_1,0.5095015571464863,3.84
F5A8_1,0.662709343128183,3.64
F5A9_1,0.6833291853200798,3.68
F5A10_1,0.8806305718527107,3.4
F5A11_1,0.5146823867043379,4.02
F5A12_1,0.44446711960297236,4.08
F5A13_1,0.5602477586036452,3.82
F5A14_1,0.30304576336566313,4.1
F5A15_1,0.6642473107178668,3.74
F5A16_1,0.2398979374820953,4.06
F5aA1_1,0.762648446573665,3.5
F5aA2_1,0.7024737630368143,3.58
F5aA3_1,0.5345224838248491,3.8
F5bA1_1,0.9655282999266172,3.08
F5bA2_1,0.8687311883149009,3.02
F5bA3_1,1.2422822972748382,2.74
F5bA4_1,0.8769148144698745,3.92
F5bA5_1,0.8369039151929605,3.44
F5bA6_1,0.882713811758595,3.58
F5cA1_1,1.1994896874104761,4.5
F5cA2_1,1.025391911138649,3.36
F6a_DemPartyA1,1.5470841566492437,6.88
F6a_RepPartyA1,1.3822489807910725,6.26
F6mA1_1,0.8302937763840224,6.38
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.7068181072487417,2.52
F7g,0.0,7.0
F7h,0.14142135623730948,1.02
F7lA1,0.0,2.0
F7mA1,1.9154580631892555,1.62
F7n,0.0,5.0
