Variable,Standard_Deviation,Mean
F1A1_1,0.9313146293146642,3.1
F1A2_1,0.9897433186107869,3.2
F1A3_1,1.174734012447073,4.26
F1A4_1,1.1214058232451638,4.26
F1A5_1,1.2525891552447417,3.68
F1A6_1,1.0926470386270257,3.7
F1A7_1,1.8110770276274837,4.16
F1A8_1,1.4049475260736277,4.16
F1A9_1,1.2715088257175213,3.66
F1A10_1,1.8761663039293717,3.48
F1A11_1,1.2403093754941852,3.82
F1A12_1,0.9133924207511878,2.68
F1A13_1,1.0621503025966343,3.88
F1A14_1,1.127757391770888,3.44
F1A15_1,1.0834562986204879,3.64
F1A16_1,1.1890658312391318,4.12
F1A17_1,1.8223107107545111,3.84
F1A19_1,1.355261854357877,3.8
F2A1,0.4763809143009449,3.24
F2A2,0.4677344441069971,3.16
F2A3,0.4948716593053935,3.0
F2A4,0.527218345349884,3.26
F2A5,0.4763809143009451,3.24
F2A6,0.4948716593053939,3.2
F2A7,0.600679886903675,3.08
F2A8,0.5345224838248488,3.0
F2A9,0.49031435147801455,3.38
F2A10,0.5345224838248488,3.0
F2A11,0.47979587496419057,3.12
F2A12,0.38808793449160356,3.18
F2A14,0.5699982098074285,3.04
F3A1_1,1.9154580631892555,3.62
F3A2_1,0.9987747595970589,3.68
F3A3_1,1.1979574453278072,3.56
F3A4_1,1.0796824930109248,2.76
F3A5_1,1.1428571428571428,3.0
F3A6_1,2.194985007619293,4.28
F3A7_1,1.7738462763849907,4.42
F3A8_1,1.3881422029137376,4.54
F3A9_1,1.843355414366277,4.3
F3A10_1,1.0239977678547103,3.18
F3A11_1,1.233710183279092,3.22
F3A12_1,1.0476406924170916,3.38
F3A13_1,1.1890658312391322,4.12
F3A14_1,1.4874989281423,3.54
F3A15_1,1.1111677990074318,4.1
F3A16_1,1.1823532398033465,3.7
F3A17_1,1.2817398889233114,3.7
F3A18_1,1.098421873528062,4.24
F3A19_1,1.0909647481163873,2.56
F3A20_1,1.1994896874104763,3.9
F3A21_1,1.2224097980160802,3.66
F3A22_1,2.356406811487458,1.28
F3A23_1,2.038506856520632,0.74
F3A24_1,1.6432918679483892,4.44
F3A25_1,2.572698099312098,2.44
F3A26_1,2.756513621758249,1.44
F3A27_1,1.5152288168283161,3.9
F3A28_1,1.401020036565196,4.58
F3A29_1,0.5656854249492377,0.08
F3A30_1,1.252589155244742,4.32
F3A31_1,1.2707060547392617,5.76
F3A32_1,1.1994896874104761,3.5
F3A33_1,1.8752958950196508,5.44
F3A34_1,3.1249489791753366,2.5
F3A35_1,3.0274930694741955,2.24
F3A36_1,1.6067459827431418,4.1
F3B_Hamas,2.9881398213331205,8.64
F3B_Israel,2.280708804968583,5.68
F3B_Deutschland,2.147613768338987,6.8
F3B_USA,2.3495548861997895,5.5
F3B_UN,2.2263725415746465,5.32
F3B_Iran,1.977010730514994,7.64
F3B_Katar,2.7282348333899797,6.16
F5A1_1,0.7329003050503236,2.56
F5A2_1,0.914508901330241,2.98
F5A3_1,0.880862286255314,3.14
F5A4_1,0.8053393251117377,3.62
F5A5_1,0.9510466844053278,3.44
F5A6_1,0.7835033829029764,3.28
F5A7_1,0.6773296909216969,3.52
F5A8_1,0.7899883750113424,3.22
F5A9_1,0.7216760537322909,3.36
F5A10_1,0.7637180802642093,2.78
F5A11_1,0.6246631745450131,3.76
F5A12_1,0.7602362683228612,3.44
F5A13_1,0.6869037302955037,3.24
F5A14_1,0.8806305718527109,3.4
F5A15_1,0.8091315576289312,3.28
F5A16_1,0.6468132241526726,3.7
F5aA1_1,0.6417450698633199,3.58
F5aA2_1,0.8053393251117374,3.62
F5aA3_1,0.8332380897952963,3.86
F5bA1_1,1.0621503025966343,3.12
F5bA2_1,0.9741558354989899,2.7
F5bA3_1,1.0546302185881002,2.9
F5bA4_1,0.9260405068938201,3.86
F5bA5_1,0.9313146293146645,3.3
F5bA6_1,1.0411924090450628,3.76
F5cA1_1,1.1313708498984754,3.84
F5cA2_1,1.0528871870107583,3.44
F6a_DemPartyA1,1.068281091190853,6.96
F6a_RepPartyA1,1.155112857813346,6.82
F6mA1_1,0.7570080742566724,6.28
F7d,0.5046720495044485,1.52
F7e,0.4040610178208843,1.8
F7f,0.38808793449160356,1.82
einkommen,0.2740475156178698,2.92
F7g,0.7835033829029764,6.72
F7h,0.0,1.0
F7lA1,0.0,2.0
F7mA1,2.3647064796066926,4.8
F7n,0.0,8.0
