Variable,Standard_Deviation,Mean
F1A1_1,0.9313146293146641,3.5
F1A2_1,1.628822035855911,3.4
F1A3_1,1.0879675865519869,5.0
F1A4_1,1.6067459827431414,4.3
F1A5_1,1.2545427657200083,4.24
F1A6_1,1.238992348974087,4.34
F1A7_1,1.7980715293029352,4.54
F1A8_1,1.0350983390135313,5.1
F1A9_1,1.331103577748132,4.06
F1A10_1,0.9529760045804526,3.9
F1A11_1,1.3851987258888454,4.14
F1A12_1,0.9391702807939203,2.66
F1A13_1,1.2128563015309213,3.72
F1A14_1,1.1204955172072901,3.36
F1A15_1,1.28428491975186,3.94
F1A16_1,1.1141025490482996,3.94
F1A17_1,1.2182288917330193,3.84
F1A19_1,1.1168468734681176,3.76
F2A1,0.46467017049401693,3.22
F2A2,0.6223720260226278,3.02
F2A3,0.631163486696415,2.64
F2A4,0.5050762722761053,3.3
F2A5,0.4629100498862757,3.3
F2A6,0.3730732816343027,3.06
F2A7,0.545482374058194,3.22
F2A8,0.534522483824849,3.2
F2A9,0.4629100498862757,3.3
F2A10,0.5345224838248488,3.0
F2A11,0.4314191105869,3.24
F2A12,0.40406101782088427,3.2
F2A14,0.5802884574739972,3.3
F3A1_1,1.5031938786246752,4.16
F3A2_1,0.6966391622992348,3.38
F3A3_1,1.293626448305345,3.6
F3A4_1,0.7889543583705186,2.9
F3A5_1,0.7938539422542743,2.68
F3A6_1,1.2936264483053455,5.2
F3A7_1,2.0365036063742945,4.34
F3A8_1,1.6132107672563545,4.36
F3A9_1,1.1780301787479035,4.6
F3A10_1,0.7814168189244197,2.96
F3A11_1,0.9091372900969897,3.1
F3A12_1,1.0349011586442765,3.48
F3A13_1,1.1183077594731956,4.12
F3A14_1,0.9897433186107869,4.2
F3A15_1,1.1293848786315641,3.9
F3A16_1,1.002853072844814,4.12
F3A17_1,1.0263865683820603,3.26
F3A18_1,1.0592642806809498,4.02
F3A19_1,0.8545197959278957,2.62
F3A20_1,1.2501428489805249,4.22
F3A21_1,1.0879675865519869,3.8
F3A22_1,2.6502984044543103,2.58
F3A23_1,2.5999215058794944,1.34
F3A24_1,1.2610329423265092,4.04
F3A25_1,1.8276783533393692,3.92
F3A26_1,3.273642419977714,2.76
F3A27_1,1.6664761795905925,3.72
F3A28_1,1.5649215928719034,4.4
F3A29_1,1.5252968931473296,0.4
F3A30_1,0.8270922757788645,3.64
F3A31_1,2.5985867430633296,4.68
F3A32_1,0.9689042833036096,3.6
F3A33_1,1.90691544925627,5.42
F3A34_1,1.9387561760582694,5.58
F3A35_1,3.2727071737168845,3.94
F3A36_1,1.731932976975349,4.02
F3B_Hamas,1.9294706898155112,9.54
F3B_Israel,2.609558567721243,6.08
F3B_Deutschland,2.92246750649697,6.9
F3B_USA,2.5423755563228174,5.16
F3B_UN,2.8165690519654927,5.16
F3B_Iran,1.672832133520508,8.76
F3B_Katar,2.9717032840045228,5.16
F5A1_1,0.5424810727442152,2.54
F5A2_1,0.6788345354580986,2.78
F5A3_1,0.7365113574085854,3.22
F5A4_1,0.6417450698633201,3.58
F5A5_1,0.6833291853200797,3.32
F5A6_1,0.6942915931555923,3.26
F5A7_1,0.6311634866964151,3.36
F5A8_1,0.6824326235712105,3.06
F5A9_1,0.6942915931555922,3.26
F5A10_1,0.8071112509614593,3.04
F5A11_1,0.4646701704940171,3.78
F5A12_1,0.631163486696415,3.64
F5A13_1,0.5573259772323189,3.34
F5A14_1,0.6388765649999399,3.6
F5A15_1,0.762648446573665,3.5
F5A16_1,0.488228785446716,3.92
F5aA1_1,0.6764251772429554,3.54
F5aA2_1,0.6700593942604899,3.4
F5aA3_1,0.8332380897952962,3.86
F5bA1_1,0.9655282999266172,3.08
F5bA2_1,0.8390957231764811,3.3
F5bA3_1,1.2777531299998797,3.4
F5bA4_1,0.9971387638065795,3.84
F5bA5_1,0.9864386572361185,3.08
F5bA6_1,1.1111677990074322,3.7
F5cA1_1,1.4020393310154622,3.56
F5cA2_1,1.109513590797005,3.44
F6a_DemPartyA1,1.1264899430695041,6.42
F6a_RepPartyA1,1.026982900320653,6.08
F6mA1_1,0.8329931278350428,6.2
F7d,0.5014265364224069,1.56
F7e,0.3703280399090206,1.84
F7f,0.32826072265931605,1.88
einkommen,0.8241260058203402,2.88
F7g,0.7284313590846834,6.8
F7h,0.1979486637221575,1.04
F7lA1,0.0,2.0
F7mA1,2.354674031775602,6.08
F7n,0.0,8.0
