Variable,Standard_Deviation,Mean
F1A1_1,1.1293848786315643,4.1
F1A2_1,1.5433861526936574,2.84
F1A3_1,1.0654116766848047,4.26
F1A4_1,1.3372222198670356,4.26
F1A5_1,1.1807987611298187,4.44
F1A6_1,1.2879345908096735,4.12
F1A7_1,1.2163847404233143,4.7
F1A8_1,1.1293848786315641,4.5
F1A9_1,1.2123514005301215,3.86
F1A10_1,0.8270922757788646,5.36
F1A11_1,0.989743318610787,4.0
F1A12_1,1.1082252773268269,2.58
F1A13_1,1.2783918469255486,4.28
F1A14_1,0.9476070829586857,4.2
F1A15_1,1.1586410054852352,3.62
F1A16_1,1.2488361929151055,4.46
F1A17_1,0.6502746672423456,5.16
F1A19_1,1.098421873528062,4.76
F2A1,0.5714285714285714,3.4
F2A2,0.7795864942652715,3.38
F2A3,1.0309496315810698,2.72
F2A4,0.5252793231671496,3.64
F2A5,0.6605501726683937,3.18
F2A6,0.6439672954048368,3.44
F2A7,0.6776309271789385,2.7
F2A8,0.7827215732458701,2.86
F2A9,0.49651849134236486,3.72
F2A10,0.6391959234627741,3.14
F2A11,0.4948716593053936,3.4
F2A12,0.5714285714285717,3.2
F2A14,0.5955618167335953,3.18
F3A1_1,0.8687311883149011,5.02
F3A2_1,1.2855555457561878,3.98
F3A3_1,1.006914867811777,5.08
F3A4_1,1.4461772268392872,3.52
F3A5_1,1.3486198538521081,2.76
F3A6_1,0.8843307166024094,5.56
F3A7_1,0.9741558354989899,5.1
F3A8_1,1.2035661297043168,5.02
F3A9_1,1.0887176504718656,5.28
F3A10_1,1.5265005999450678,3.58
F3A11_1,1.321100345336787,3.36
F3A12_1,1.1598733217248252,4.04
F3A13_1,1.6368212099888573,5.12
F3A14_1,1.4851647335276603,4.72
F3A15_1,1.2616801237611213,4.6
F3A16_1,1.2942573317607002,4.28
F3A17_1,1.4355543620952194,3.98
F3A18_1,1.1691615694634354,4.98
F3A19_1,1.3493762731464536,2.66
F3A20_1,1.6288220358559113,3.8
F3A21_1,1.0924602453888672,5.52
F3A22_1,2.618692616632996,1.86
F3A23_1,2.324316884504314,0.84
F3A24_1,2.0199009876724157,5.04
F3A25_1,3.0543378319754892,3.24
F3A26_1,1.9562563164141376,0.64
F3A27_1,2.1722742714040693,4.66
F3A28_1,0.9697464427701225,5.28
F3A29_1,1.6913947873073905,0.42
F3A30_1,2.130919127168042,5.1
F3A31_1,0.6455499158682859,6.46
F3A32_1,1.3951812112571242,3.82
F3A33_1,1.0490034143249043,6.04
F3A34_1,1.8599978055725477,5.64
F3A35_1,2.255243323674762,5.34
F3A36_1,1.2330483215451482,5.1
F3B_Hamas,1.7266222776843576,9.28
F3B_Israel,2.7722384678178362,6.22
F3B_Deutschland,2.525381361380527,8.1
F3B_USA,2.6802375770419595,7.0
F3B_UN,3.2940267523045343,6.08
F3B_Iran,2.3208021132745444,7.96
F3B_Katar,3.129908390130971,6.14
F5A1_1,0.8514093957572194,3.36
F5A2_1,0.9178501945262291,3.88
F5A3_1,0.6590035768383309,3.88
F5A4_1,0.7001457574195914,4.14
F5A5_1,0.6388765649999399,4.0
F5A6_1,0.5115003939990904,3.94
F5A7_1,0.303045763365663,4.1
F5A8_1,0.328260722659316,4.12
F5A9_1,0.3187987657774485,3.98
F5A10_1,0.4797958749641906,3.88
F5A11_1,0.7515969393123372,4.08
F5A12_1,0.47979587496419057,4.12
F5A13_1,0.7182745765700876,3.88
F5A14_1,0.5345224838248492,4.2
F5A15_1,0.48191793695522817,4.18
F5A16_1,0.38808793449160367,4.18
F5aA1_1,0.8449127475783565,4.02
F5aA2_1,1.006914867811777,4.08
F5aA3_1,1.1480240344493968,4.22
F5bA1_1,1.2779128391599308,3.14
F5bA2_1,1.164964745021435,3.3
F5bA3_1,1.3554124306434763,3.14
F5bA4_1,1.4234192808092743,4.12
F5bA5_1,1.2969351627304007,3.46
F5bA6_1,1.233710183279092,4.22
F5cA1_1,1.164789549179401,4.48
F5cA2_1,1.2751950631097941,3.08
F6a_DemPartyA1,2.1092604371762005,6.4
F6a_RepPartyA1,1.5628336378488392,5.92
F6mA1_1,1.2803060858518904,6.56
F7d,0.4848732213850611,1.64
F7e,0.4535573676110727,1.72
F7f,0.3880879344916036,1.82
einkommen,0.5938459911664713,1.12
F7g,1.236189008730511,5.68
F7h,0.0,7.0
F7lA1,0.0,2.0
F7mA1,3.492791410424432,1.62
F7n,0.0,8.0
