Variable,Standard_Deviation,Mean
F1A1_1,1.0350983390135313,3.5
F1A2_1,1.21956834116646,3.68
F1A3_1,1.2427750383389458,5.08
F1A4_1,1.4176727120063177,4.52
F1A5_1,1.3024310080047405,4.76
F1A6_1,1.3881422029137378,4.46
F1A7_1,1.349376273146453,4.66
F1A8_1,1.0946996606096002,5.16
F1A9_1,1.3093073414159542,4.2
F1A10_1,1.5398118093336162,4.42
F1A11_1,1.1717769516805643,4.12
F1A12_1,0.9940640146922746,2.46
F1A13_1,1.3445278360974222,4.22
F1A14_1,1.0654116766848047,4.26
F1A15_1,1.26232697339283,4.28
F1A16_1,1.3401187885209802,4.4
F1A17_1,1.0811935959099714,4.88
F1A19_1,1.44504784187449,4.44
F2A1,0.7559289460184544,3.2
F2A2,0.8390957231764811,2.7
F2A3,0.9127218768550448,1.94
F2A4,0.5928141120356125,3.34
F2A5,0.6141195788629906,3.52
F2A6,0.7602362683228612,3.44
F2A7,0.7420325093268885,2.98
F2A8,0.9529760045804524,2.9
F2A9,0.545482374058194,3.22
F2A10,0.8290638930598232,3.08
F2A11,0.5746338674605361,3.42
F2A12,0.45175395145262576,3.2
F2A14,0.7795864942652718,3.38
F3A1_1,1.4708043058552858,5.0
F3A2_1,1.0476406924170916,3.62
F3A3_1,1.340271066095304,4.14
F3A4_1,0.9127218768550449,2.94
F3A5_1,1.05926428068095,2.98
F3A6_1,1.3044664246584596,5.82
F3A7_1,1.0544366906997682,5.48
F3A8_1,1.6664761795905925,5.28
F3A9_1,1.4831020992280652,5.62
F3A10_1,1.1073041357186344,3.28
F3A11_1,1.3130428906372638,3.48
F3A12_1,1.1856282240712246,3.68
F3A13_1,2.014640293006194,5.32
F3A14_1,2.1285234893930496,4.4
F3A15_1,1.1738650619528077,4.36
F3A16_1,1.1816626128520122,4.54
F3A17_1,1.4321384039831015,3.9
F3A18_1,1.2598995748771051,4.38
F3A19_1,1.0528871870107586,2.56
F3A20_1,1.2089800052363253,4.26
F3A21_1,1.4178166600913722,5.1
F3A22_1,2.49284690951645,1.3
F3A23_1,2.761321777552135,1.26
F3A24_1,2.509166867178614,4.5
F3A25_1,2.966204198456131,2.24
F3A26_1,3.522522287410844,3.2
F3A27_1,2.084343972553083,4.68
F3A28_1,1.3075916481713044,5.38
F3A29_1,1.7866854502007847,0.54
F3A30_1,1.5227526096526915,4.74
F3A31_1,0.40406101782088427,6.8
F3A32_1,1.3130428906372635,3.52
F3A33_1,1.4085743262792558,6.34
F3A34_1,2.9399430787214995,4.36
F3A35_1,3.2691507978029266,3.08
F3A36_1,1.9713250490417835,4.46
F3B_Hamas,3.447625624829295,9.54
F3B_Israel,3.277692070058206,5.54
F3B_Deutschland,4.129584650755461,7.26
F3B_USA,3.1943828249996997,6.0
F3B_UN,3.732100136460895,5.7
F3B_Iran,3.366339985497481,8.88
F3B_Katar,3.5913728828504383,6.0
F5A1_1,0.6388765649999399,2.6
F5A2_1,0.8628382211738,3.52
F5A3_1,0.9310954706743044,3.48
F5A4_1,0.8806305718527109,4.0
F5A5_1,0.989743318610787,4.0
F5A6_1,1.010960343597379,3.72
F5A7_1,0.6788345354580987,3.78
F5A8_1,0.9722685444099173,3.44
F5A9_1,0.7295511619887829,3.72
F5A10_1,1.0350983390135318,3.3
F5A11_1,0.8485281374238569,3.88
F5A12_1,0.8184106049944285,3.94
F5A13_1,0.680935730732171,3.84
F5A14_1,0.651841974088562,3.94
F5A15_1,0.7515969393123371,3.92
F5A16_1,0.654341856605645,3.98
F5aA1_1,1.1293848786315643,4.1
F5aA2_1,1.2501428489805249,3.78
F5aA3_1,1.2937841980100109,4.14
F5bA1_1,1.4546196641551834,3.92
F5bA2_1,1.1073041357186342,3.28
F5bA3_1,1.4468826447763836,3.78
F5bA4_1,1.2121830534626532,4.4
F5bA5_1,0.9278018789216869,3.58
F5bA6_1,1.0796824930109248,4.24
F5cA1_1,1.633951014678025,3.94
F5cA2_1,1.3272651027813638,3.44
F6a_DemPartyA1,2.276768207215604,5.0
F6a_RepPartyA1,1.467470404388143,5.64
F6mA1_1,0.9741558354989901,6.7
F7d,0.49031435147801455,1.62
F7e,0.27404751561786983,1.92
F7f,0.3282607226593161,1.88
einkommen,0.9638358739104571,2.64
F7g,1.010152544552211,6.6
F7h,0.4045657788144653,1.14
F7lA1,0.0,2.0
F7mA1,2.6649654437396615,6.0
F7n,0.0,8.0
