Variable,Standard_Deviation,Mean
F1A1_1,1.1030569767140554,3.74
F1A2_1,1.1959114020832198,3.72
F1A3_1,0.9764575708934319,4.84
F1A4_1,1.1807987611298187,4.56
F1A5_1,1.079682493010925,4.76
F1A6_1,1.1633870326572762,4.56
F1A7_1,1.1668901632378361,5.16
F1A8_1,0.9822921964383475,5.12
F1A9_1,1.1528137715332574,4.24
F1A10_1,1.0879675865519869,4.8
F1A11_1,1.0738068841694939,4.1
F1A12_1,0.9707981147446861,2.42
F1A13_1,1.149267734921072,4.16
F1A14_1,1.3187811317536307,3.66
F1A15_1,1.0738068841694934,4.5
F1A16_1,1.1807987611298185,4.44
F1A17_1,1.3915195042155344,4.68
F1A19_1,0.9707981147446861,4.42
F2A1,0.6590035768383312,3.12
F2A2,0.6605501726683939,2.82
F2A3,0.4351870346207949,2.88
F2A4,0.6833291853200798,3.32
F2A5,0.5424810727442152,3.46
F2A6,0.5360475154083921,3.28
F2A7,0.6180945043652555,3.16
F2A8,0.6688399948982643,3.04
F2A9,0.5046720495044485,3.48
F2A10,0.5714285714285714,3.0
F2A11,0.4430874976934521,3.26
F2A12,0.4314191105869001,3.24
F2A14,0.5454823740581939,3.22
F3A1_1,1.0101525445522108,5.2
F3A2_1,1.3606721028332178,4.16
F3A3_1,1.2361890087305112,4.68
F3A4_1,0.8081220356417685,3.0
F3A5_1,1.224911492012915,2.64
F3A6_1,1.373956004405096,5.5
F3A7_1,0.9741558354989898,5.1
F3A8_1,0.7824607964359516,5.4
F3A9_1,0.808374534331149,5.14
F3A10_1,1.2069526477362529,3.18
F3A11_1,1.34011878852098,3.8
F3A12_1,1.1428571428571428,3.4
F3A13_1,1.4262838827827065,4.92
F3A14_1,1.204752493846172,4.76
F3A15_1,1.2950455038889008,4.58
F3A16_1,1.1823532398033467,4.1
F3A17_1,1.5702593052468388,3.94
F3A18_1,0.8283250865328127,4.74
F3A19_1,1.0909647481163873,2.56
F3A20_1,1.054436690699768,4.48
F3A21_1,1.0263865683820603,4.74
F3A22_1,2.6341555592265387,2.6
F3A23_1,2.9569013013833336,1.54
F3A24_1,1.2224097980160804,4.66
F3A25_1,2.8805470002081495,3.22
F3A26_1,3.3285407723910176,2.68
F3A27_1,1.562833637848839,4.92
F3A28_1,1.538618516324144,5.0
F3A29_1,0.8485281374238574,0.12
F3A30_1,1.1168468734681178,4.76
F3A31_1,0.6091144458665098,6.42
F3A32_1,1.4874989281422994,3.54
F3A33_1,1.3763305250868028,6.06
F3A34_1,1.7700455430552622,5.64
F3A35_1,1.966660901640347,5.36
F3A36_1,0.9321907486328829,5.22
F3B_Hamas,1.7506849971321718,9.42
F3B_Israel,2.336576948601243,6.36
F3B_Deutschland,2.3822472669343813,8.28
F3B_USA,2.7701027756664733,6.8
F3B_UN,3.008084345322025,4.18
F3B_Iran,3.1412983147165137,7.64
F3B_Katar,3.1494087556562236,4.86
F5A1_1,0.8081220356417688,2.8
F5A2_1,0.8806305718527109,3.4
F5A3_1,0.7835033829029764,3.72
F5A4_1,0.651841974088562,4.06
F5A5_1,0.8762163557254659,3.74
F5A6_1,0.7637180802642094,3.78
F5A7_1,0.7284313590846836,3.6
F5A8_1,0.761577310586391,3.54
F5A9_1,0.6667006794044591,3.62
F5A10_1,0.7824607964359516,3.4
F5A11_1,0.5499536158548618,3.94
F5A12_1,0.40406101782088427,4.0
F5A13_1,0.6605501726683938,3.82
F5A14_1,0.2466096643090295,4.02
F5A15_1,0.6590035768383312,3.88
F5A16_1,0.35050983275386544,4.14
F5aA1_1,0.9424241429983218,3.64
F5aA2_1,0.8571428571428572,3.6
F5aA3_1,1.136410388648648,3.88
F5bA1_1,0.9697464427701222,3.28
F5bA2_1,1.1864885595912065,3.02
F5bA3_1,1.347560153517066,3.02
F5bA4_1,1.0411924090450628,4.24
F5bA5_1,0.9847821679779475,3.64
F5bA6_1,0.7398289929270884,3.94
F5cA1_1,1.217055664214221,4.22
F5cA2_1,1.2777531299998797,3.6
F6a_DemPartyA1,1.4107459309289723,6.36
F6a_RepPartyA1,1.4630133845133846,6.32
F6mA1_1,1.0133798771981832,6.56
F7d,0.37032803990902047,1.84
F7e,0.471212071499161,1.68
F7f,0.35050983275386544,1.86
einkommen,0.6388765649999399,2.2
F7g,0.0,4.0
F7h,0.19794866372215744,1.04
F7lA1,0.0,2.0
F7mA1,3.0135070084199107,7.02
F7n,0.0,8.0
