Variable,Standard_Deviation,Mean
F1A1_1,0.9529760045804525,3.1
F1A2_1,1.3516429911445562,3.64
F1A3_1,1.3703865088629077,4.14
F1A4_1,1.3546593818433939,3.96
F1A5_1,1.1021315155420517,3.36
F1A6_1,1.0887176504718656,3.72
F1A7_1,1.6473850645858148,4.02
F1A8_1,1.3588710800678987,4.48
F1A9_1,1.3231070421163809,3.38
F1A10_1,1.9999999999999996,3.8
F1A11_1,1.2328828005937955,3.48
F1A12_1,1.1953993440841157,2.86
F1A13_1,1.1677643038677603,4.06
F1A14_1,1.2315578321287028,3.56
F1A15_1,1.1885508239972282,3.66
F1A16_1,1.3505856628341133,3.82
F1A17_1,2.1730257284087853,3.82
F1A19_1,1.6374444997605009,3.82
F2A1,0.5799366608624125,3.48
F2A2,0.49487165930539373,3.2
F2A3,0.5699982098074285,3.04
F2A4,0.5405967979549856,3.56
F2A5,0.562791874388349,3.36
F2A6,0.43752550946038726,3.18
F2A7,0.600679886903675,3.08
F2A8,0.6391959234627742,3.14
F2A9,0.5034574339058886,3.46
F2A10,0.5345224838248491,3.2
F2A11,0.3854496446637728,3.12
F2A12,0.4517539514526257,3.2
F2A14,0.6262945776223711,3.34
F3A1_1,2.110807950544443,3.44
F3A2_1,1.0583005244258363,3.32
F3A3_1,1.39620476832807,3.64
F3A4_1,1.367404811446613,2.74
F3A5_1,1.367852480409809,2.92
F3A6_1,1.8561535826673876,5.06
F3A7_1,2.88054700020815,3.78
F3A8_1,2.080423818674003,4.28
F3A9_1,2.2667967149567643,4.38
F3A10_1,1.3180071536766622,3.24
F3A11_1,1.2936264483053455,3.8
F3A12_1,1.0538558938004565,3.54
F3A13_1,1.6728321335205079,3.76
F3A14_1,1.9183326093250876,3.44
F3A15_1,0.9946797248873837,4.48
F3A16_1,1.1119022127022886,3.78
F3A17_1,1.4708043058552855,3.4
F3A18_1,1.1008345628176281,3.82
F3A19_1,1.2855555457561878,2.98
F3A20_1,1.0707616972253433,3.58
F3A21_1,1.5211435011268355,3.82
F3A22_1,2.626474318728202,1.86
F3A23_1,1.4393876248925708,0.36
F3A24_1,1.8170395298565258,3.38
F3A25_1,2.153402623092779,1.34
F3A26_1,2.48497525959844,1.22
F3A27_1,1.6938062438888148,3.78
F3A28_1,1.7142857142857137,4.2
F3A29_1,0.0,0.0
F3A30_1,1.4337050617479292,4.16
F3A31_1,2.2058364140874738,5.46
F3A32_1,1.3498299212591676,3.88
F3A33_1,2.6322954985785194,4.64
F3A34_1,2.0666447222885873,0.88
F3A35_1,1.818274580193981,0.6
F3A36_1,2.0332943009524507,3.78
F3B_Hamas,2.321153829895989,8.2
F3B_Israel,2.487601910536757,5.66
F3B_Deutschland,2.43352436115329,6.42
F3B_USA,1.913325985432334,5.82
F3B_UN,2.268596617348465,5.58
F3B_Iran,2.176028961391903,7.86
F3B_Katar,2.7217191445924063,5.98
F5A1_1,0.6773296909216967,2.52
F5A2_1,0.8526070463643869,2.74
F5A3_1,0.9354688882139943,3.32
F5A4_1,0.8815570640309435,3.72
F5A5_1,0.8329931278350428,3.6
F5A6_1,0.857142857142857,3.4
F5A7_1,0.7623808036643617,3.48
F5A8_1,0.7309485031694878,3.42
F5A9_1,0.7889543583705187,3.3
F5A10_1,0.8703740692415896,3.24
F5A11_1,0.6144518047887592,3.9
F5A12_1,0.5174505793221382,3.76
F5A13_1,0.8121525944886797,3.44
F5A14_1,0.8514093957572194,3.64
F5A15_1,0.7889543583705189,3.3
F5A16_1,0.7406560798180409,3.68
F5aA1_1,0.7354021529276429,3.7
F5aA2_1,0.7024737630368142,3.58
F5aA3_1,0.9638358739104567,3.64
F5bA1_1,1.2123514005301215,2.86
F5bA2_1,0.7835033829029763,2.28
F5bA3_1,1.3280336853362402,2.46
F5bA4_1,0.9940640146922746,3.46
F5bA5_1,1.050558646334299,3.28
F5bA6_1,0.8873257230439737,3.78
F5cA1_1,1.4603605928757766,3.5
F5cA2_1,0.9655282999266172,3.08
F6a_DemPartyA1,1.349376273146453,6.66
F6a_RepPartyA1,1.3303367687797498,6.16
F6mA1_1,0.8561899465012403,6.04
F7d,0.3282607226593161,1.88
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.2740475156178697,2.92
F7g,0.7230886134196437,6.74
F7h,0.0,1.0
F7lA1,0.0,2.0
F7mA1,2.4099284433444947,5.78
F7n,0.0,2.0
