Variable,Standard_Deviation,Mean
F1A1_1,1.1649647450214353,3.7
F1A2_1,1.0736168130317683,3.48
F1A3_1,0.9791708278967879,4.98
F1A4_1,1.358420451277505,4.46
F1A5_1,1.0230007879981804,5.12
F1A6_1,1.417240780026961,4.46
F1A7_1,1.2348675877128175,5.16
F1A8_1,0.7889543583705189,5.3
F1A9_1,1.2163847404233143,4.3
F1A10_1,0.9249379460707803,5.04
F1A11_1,1.0151907431108498,3.9
F1A12_1,1.2414606275657385,2.64
F1A13_1,1.1782034057437292,4.14
F1A14_1,1.1952286093343936,3.8
F1A15_1,1.2121830534626532,4.4
F1A16_1,1.0350983390135315,4.7
F1A17_1,1.177337015887801,5.04
F1A19_1,1.0149896953332356,4.52
F2A1,0.5674864018868913,3.62
F2A2,0.6375975315548971,2.96
F2A3,0.5714285714285714,2.6
F2A4,0.5439837932759934,3.5
F2A5,0.5910903104450631,3.76
F2A6,0.6565214453186321,3.24
F2A7,0.6246631745450131,3.24
F2A8,0.63887656499994,3.2
F2A9,0.5014265364224069,3.56
F2A10,0.631163486696415,3.36
F2A11,0.6468132241526728,3.1
F2A12,0.49856938190328975,3.42
F2A14,0.5938459911664722,3.12
F3A1_1,1.2204047505242026,5.02
F3A2_1,1.2929952570268297,4.04
F3A3_1,1.2303973142933986,4.58
F3A4_1,1.208980005236325,2.74
F3A5_1,1.328494621435734,2.48
F3A6_1,1.0052921191862396,5.64
F3A7_1,1.1988089327089857,5.46
F3A8_1,1.3249566800773644,5.14
F3A9_1,0.7938539422542742,5.68
F3A10_1,1.1542291358128085,3.12
F3A11_1,1.5254306852525954,3.86
F3A12_1,1.1506874608915583,3.32
F3A13_1,1.1717769516805643,4.88
F3A14_1,1.0926470386270253,4.9
F3A15_1,1.1885508239972282,4.66
F3A16_1,1.3315634511692624,4.32
F3A17_1,1.5238244046892444,3.62
F3A18_1,0.9897433186107869,4.8
F3A19_1,1.3903457212110215,3.16
F3A20_1,1.2777531299998799,4.0
F3A21_1,1.2328828005937955,4.48
F3A22_1,2.9845862530744216,3.52
F3A23_1,1.6442850937072189,0.48
F3A24_1,1.632451518172492,3.78
F3A25_1,2.814031895733252,3.14
F3A26_1,3.304974605478406,2.66
F3A27_1,1.7147618386427033,4.28
F3A28_1,1.451389200815859,4.66
F3A29_1,1.0101525445522104,0.2
F3A30_1,1.2001700559776127,4.78
F3A31_1,1.3997084244475304,6.0
F3A32_1,1.4574229422693543,3.72
F3A33_1,1.5989792662437965,5.88
F3A34_1,1.3552618543578767,5.6
F3A35_1,2.049290569132326,5.62
F3A36_1,1.8735538640862868,4.4
F3B_Hamas,2.1567170819160713,8.96
F3B_Israel,2.515584080349158,5.72
F3B_Deutschland,2.903621946494286,7.24
F3B_USA,2.8402356901338663,6.12
F3B_UN,3.075976699043936,4.74
F3B_Iran,2.1949850076192927,7.72
F3B_Katar,3.176508158596898,5.54
F5A1_1,1.08496214548843,2.92
F5A2_1,0.7795864942652715,3.62
F5A3_1,0.8526070463643869,3.74
F5A4_1,0.4948716593053935,4.0
F5A5_1,0.6047431568147634,3.96
F5A6_1,0.6006798869036751,3.92
F5A7_1,0.8390957231764811,3.7
F5A8_1,0.7230886134196434,3.74
F5A9_1,0.5910903104450633,3.76
F5A10_1,0.7284313590846836,3.6
F5A11_1,0.377424137532083,4.02
F5A12_1,0.4444671196029727,4.08
F5A13_1,0.6047431568147634,4.04
F5A14_1,0.4020356365562939,4.04
F5A15_1,0.3730732816343027,3.94
F5A16_1,0.2398979374820954,4.06
F5aA1_1,0.6627093431281831,3.64
F5aA2_1,0.8437041748704801,3.32
F5aA3_1,1.0319389319061827,3.42
F5bA1_1,1.0224021334333082,3.34
F5bA2_1,1.0319389319061827,2.58
F5bA3_1,1.0811935959099712,2.12
F5bA4_1,1.2262436419357106,3.92
F5bA5_1,0.8339725439615098,3.28
F5bA6_1,0.9707981147446862,3.58
F5cA1_1,1.2493263490900257,4.48
F5cA2_1,1.3261883388885913,3.58
F6a_DemPartyA1,1.523154621172782,6.08
F6a_RepPartyA1,1.634949914978987,5.98
F6mA1_1,0.8861749953869043,6.52
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.5050762722761054,2.3
F7g,0.0,7.0
F7h,0.0,1.0
F7lA1,0.0,2.0
F7mA1,2.5714285714285716,2.2
F7n,0.0,2.0
