Variable,Standard_Deviation,Mean
F1A1_1,1.179588305905315,3.58
F1A2_1,1.6762445878711578,4.08
F1A3_1,1.1408911661772232,5.38
F1A4_1,1.3733617327490937,4.46
F1A5_1,0.8998866141727783,5.92
F1A6_1,1.2937841980100109,4.86
F1A7_1,0.8703740692415897,5.76
F1A8_1,1.2328828005937955,5.48
F1A9_1,1.4874989281423,4.54
F1A10_1,0.8302937763840222,5.38
F1A11_1,1.403348764599179,4.1
F1A12_1,1.155112857813346,2.18
F1A13_1,1.746833870586602,5.64
F1A14_1,1.7660055238317014,3.94
F1A15_1,1.4147906746445655,4.72
F1A16_1,1.2204047505242024,5.02
F1A17_1,0.7071067811865476,5.5
F1A19_1,1.5200698157972734,4.34
F2A1,0.7515969393123371,2.92
F2A2,0.9874725519305975,2.38
F2A3,1.0515294982615968,1.42
F2A4,0.5979557010416102,3.64
F2A5,0.5674864018868913,3.62
F2A6,0.530306034093445,3.38
F2A7,0.5405967979549856,3.44
F2A8,0.8780776777502463,3.38
F2A9,0.5439837932759934,3.3
F2A10,0.8640200300021397,3.22
F2A11,0.5272183453498841,3.26
F2A12,0.6180945043652556,3.16
F2A14,0.7329003050503236,3.56
F3A1_1,1.3588710800678987,5.48
F3A2_1,1.28428491975186,3.94
F3A3_1,1.55458505520848,4.46
F3A4_1,1.0879675865519869,2.2
F3A5_1,0.9833304508201729,2.18
F3A6_1,2.2190271815940106,5.12
F3A7_1,2.0448042668666155,5.68
F3A8_1,1.5004761149143864,5.44
F3A9_1,3.1431168723847005,2.72
F3A10_1,1.3414886644078263,3.58
F3A11_1,1.2370141800451007,3.98
F3A12_1,1.546028486682135,3.76
F3A13_1,2.4037385847203656,4.76
F3A14_1,2.0801295093119085,4.14
F3A15_1,1.3797367391599584,4.12
F3A16_1,2.099562636671296,4.6
F3A17_1,1.7515008141707546,3.56
F3A18_1,0.7125693664765667,5.68
F3A19_1,1.2081356863923414,3.64
F3A20_1,1.8133293317282775,4.76
F3A21_1,2.1849204907777326,5.04
F3A22_1,1.7623036871419988,0.58
F3A23_1,2.574284128745349,1.16
F3A24_1,2.692468710143544,3.66
F3A25_1,2.31728201097047,1.24
F3A26_1,2.5058299370606525,1.08
F3A27_1,2.02997939066647,3.04
F3A28_1,1.653814391283473,4.86
F3A29_1,0.903507902905251,0.2
F3A30_1,1.2282391577259815,3.96
F3A31_1,0.27404751561786983,6.92
F3A32_1,1.449700883996842,4.98
F3A33_1,3.3642174697354923,3.78
F3A34_1,2.680922777473366,1.42
F3A35_1,2.945837603072083,1.66
F3A36_1,1.7842851423995427,4.6
F3B_Hamas,4.969129189099351,7.04
F3B_Israel,3.2703990894203763,4.28
F3B_Deutschland,3.4791507291174337,5.76
F3B_USA,2.957177363497779,4.9
F3B_UN,3.26696513977266,4.98
F3B_Iran,3.2440840976542296,8.92
F3B_Katar,3.3288473214907173,5.98
F5A1_1,0.6480740698407861,2.78
F5A2_1,1.2525891552447415,3.32
F5A3_1,0.9741558354989901,3.3
F5A4_1,0.9398219544799156,3.88
F5A5_1,0.7835033829029763,4.28
F5A6_1,0.7420325093268885,4.02
F5A7_1,0.8935140440635366,3.76
F5A8_1,0.8780776777502463,3.62
F5A9_1,1.0151907431108496,3.5
F5A10_1,0.8946553321057819,3.34
F5A11_1,0.6327781311528601,4.26
F5A12_1,0.6951728606055105,4.08
F5A13_1,0.880630571852711,4.2
F5A14_1,0.7182745765700874,4.12
F5A15_1,0.8184106049944286,3.94
F5A16_1,0.7082603003566021,4.22
F5aA1_1,1.1111677990074322,3.7
F5aA2_1,1.2289036095775183,3.8
F5aA3_1,1.2879345908096735,3.88
F5bA1_1,1.216216951645301,3.52
F5bA2_1,1.1277573917708885,3.56
F5bA3_1,1.6752703102021766,3.36
F5bA4_1,1.619901735492947,4.22
F5bA5_1,0.9258200997725513,3.4
F5bA6_1,1.0382481320346642,3.94
F5cA1_1,2.0627898683133785,3.7
F5cA2_1,1.216216951645301,3.48
F6a_DemPartyA1,2.9291637031753615,2.54
F6a_RepPartyA1,1.896183061859174,5.58
F6mA1_1,1.0999072317097232,6.88
F7d,0.30304576336566336,1.9
F7e,0.2740475156178699,1.92
F7f,0.23989793748209526,1.94
einkommen,1.147312743157787,2.7
F7g,1.266362297838875,6.78
F7h,0.36421567954234163,1.1
F7lA1,0.0,2.0
F7mA1,3.3199459056325797,5.28
F7n,0.1979486637221575,1.04
