Variable,Standard_Deviation,Mean
F1A1_1,1.104536101718726,2.62
F1A2_1,1.0343093919941682,0.46
F1A3_1,1.1876919823329444,3.76
F1A4_1,1.7640398903352152,3.52
F1A5_1,1.3703865088629077,3.14
F1A6_1,1.4497008839968417,2.98
F1A7_1,2.0627898683133785,2.9
F1A8_1,2.1132236714825723,3.94
F1A9_1,1.5258319911792788,3.28
F1A10_1,1.9968342291676369,3.18
F1A11_1,2.138089935299395,2.0
F1A12_1,1.3991250910508906,3.04
F1A13_1,2.0945994697735197,1.98
F1A14_1,1.70006002294997,2.74
F1A15_1,1.641427949769868,3.14
F1A16_1,1.19112363346719,3.36
F1A17_1,2.1327380121738884,3.32
F1A19_1,1.6621844491082032,1.82
F2A1,0.7102744511232034,3.16
F2A2,0.8002550613806237,2.82
F2A3,0.5714285714285714,3.0
F2A4,0.4712120714991613,3.32
F2A5,0.41845195759648035,3.22
F2A6,1.0946996606096009,2.84
F2A7,1.0184021097498066,3.06
F2A8,1.2834901397266396,2.84
F2A9,0.6998542122237652,3.4
F2A10,0.7708992893275456,2.76
F2A11,0.7420325093268885,3.02
F2A12,0.7024737630368142,3.42
F2A14,0.9648939880439018,3.26
F3A1_1,2.167383450247824,1.58
F3A2_1,1.4376852143324714,2.88
F3A3_1,2.0559520362864023,1.76
F3A4_1,1.1563489339913173,2.64
F3A5_1,0.9570362413968141,0.32
F3A6_1,0.28284271247461884,0.04
F3A7_1,0.0,0.0
F3A8_1,0.9971387638065795,0.16
F3A9_1,0.8485281374238576,0.12
F3A10_1,1.1293848786315643,1.9
F3A11_1,1.7408653724219914,1.3
F3A12_1,1.6087769470334048,3.06
F3A13_1,1.9188644601238858,2.46
F3A14_1,0.9391702807939204,0.34
F3A15_1,1.8758399479177539,3.46
F3A16_1,1.8161407838983123,1.26
F3A17_1,1.4775876644458183,0.98
F3A18_1,2.058432135666089,2.26
F3A19_1,1.4602208387635016,1.52
F3A20_1,1.854393569392453,2.5
F3A21_1,1.8304677666918796,1.58
F3A22_1,0.7071067811865481,0.1
F3A23_1,0.0,0.0
F3A24_1,0.5345224838248488,0.4
F3A25_1,0.0,0.0
F3A26_1,0.7071067811865486,0.1
F3A27_1,1.261841867255633,1.14
F3A28_1,2.0995626366712954,3.0
F3A29_1,0.4430874976934521,0.26
F3A30_1,1.8788837328671124,1.02
F3A31_1,1.6792855623746668,0.42
F3A32_1,0.6060915267313259,0.2
F3A33_1,0.0,0.0
F3A34_1,0.0,0.0
F3A35_1,0.8485281374238577,0.12
F3A36_1,0.3642156795423416,0.1
F3B_Hamas,4.144137733114142,5.36
F3B_Israel,2.484318162936035,1.54
F3B_Deutschland,2.6768851835135337,3.76
F3B_USA,2.9433425397195023,3.7
F3B_UN,2.5143668818067364,3.62
F3B_Iran,3.6776212365037915,6.16
F3B_Katar,2.9485382057928993,5.0
F5A1_1,1.5545850552084797,2.54
F5A2_1,0.9133924207511877,2.32
F5A3_1,1.1563489339913176,2.64
F5A4_1,0.9233921492109891,3.38
F5A5_1,1.3117988895141708,2.56
F5A6_1,0.8381222939355787,2.54
F5A7_1,0.9899494936611665,3.14
F5A8_1,0.7623808036643617,2.48
F5A9_1,0.857142857142857,2.6
F5A10_1,0.6700593942604899,2.4
F5A11_1,0.838852471765897,3.48
F5A12_1,1.1065666703449764,3.0
F5A13_1,0.8121525944886797,2.56
F5A14_1,0.9037337516534122,3.14
F5A15_1,0.9638358739104569,2.64
F5A16_1,1.0690449676496976,3.2
F5aA1_1,0.8417668492946421,3.16
F5aA2_1,1.0592642806809498,2.98
F5aA3_1,0.8854838409892419,3.46
F5bA1_1,1.0214035960982557,1.76
F5bA2_1,0.8154127538760191,1.78
F5bA3_1,1.0631105688650893,1.82
F5bA4_1,0.9858177999477781,2.74
F5bA5_1,1.0372648491812195,2.84
F5bA6_1,1.0881551510024023,3.14
F5cA1_1,2.181929496232776,1.88
F5cA2_1,0.9899494936611664,3.14
F6a_DemPartyA1,3.3224038506687856,3.68
F6a_RepPartyA1,2.831023468209159,4.84
F6mA1_1,0.8533248298896042,6.08
F7d,0.37032803990902047,1.16
F7e,0.5014265364224069,1.44
F7f,0.49856938190328975,1.42
einkommen,0.4797958749641905,3.88
F7g,0.3475864303027554,7.04
F7h,0.0,1.0
F7lA1,0.0,4.0
F7mA1,0.5955618167335948,1.18
F7n,0.0,1.0
