Variable,Standard_Deviation,Mean
F1A1_1,0.0,0.0
F1A2_1,0.0,0.0
F1A3_1,2.4931743555850523,1.78
F1A4_1,2.132450922946531,0.94
F1A5_1,1.6482520116406807,0.76
F1A6_1,2.626474318728202,1.86
F1A7_1,2.769808068205066,2.04
F1A8_1,2.483332191936915,1.42
F1A9_1,1.900483289769703,0.98
F1A10_1,2.203985258663987,1.14
F1A11_1,1.6192716931776852,0.52
F1A12_1,1.4033487645991787,0.5
F1A13_1,0.0,0.0
F1A14_1,0.0,0.0
F1A15_1,1.9770107305149942,1.64
F1A16_1,2.4162713727846836,1.72
F1A17_1,2.4462382616280576,1.34
F1A19_1,0.5656854249492379,0.08
F2A1,1.1104328995890729,0.46
F2A2,1.2315578321287035,0.56
F2A3,1.2480188381623747,0.56
F2A4,1.5887358599380401,0.92
F2A5,1.4713592216667126,0.72
F2A6,0.959591749928381,0.24
F2A7,1.265717510476382,0.5
F2A8,0.5938459911664712,0.12
F2A9,1.8187234814673765,1.28
F2A10,0.959591749928381,0.24
F2A11,0.7439552323595165,0.24
F2A12,0.9010198303555127,0.38
F2A14,1.3887301496588265,0.7
F3A1_1,0.8485281374238572,0.12
F3A2_1,0.28284271247461895,0.04
F3A3_1,0.42426406871192884,0.06
F3A4_1,0.38544964466377274,0.12
F3A5_1,0.0,0.0
F3A6_1,0.0,0.0
F3A7_1,0.0,0.0
F3A8_1,0.0,0.0
F3A9_1,0.0,0.0
F3A10_1,0.0,0.0
F3A11_1,0.0,0.0
F3A12_1,1.7483519937007967,0.62
F3A13_1,1.7242567165273843,0.92
F3A14_1,0.0,0.0
F3A15_1,2.038006228585944,1.36
F3A16_1,0.0,0.0
F3A17_1,0.5656854249492379,0.08
F3A18_1,0.7295511619887829,0.28
F3A19_1,0.0,0.0
F3A20_1,0.0,0.0
F3A21_1,0.0,0.0
F3A22_1,0.0,0.0
F3A23_1,0.0,0.0
F3A24_1,0.4903143514780145,0.62
F3A25_1,0.0,0.0
F3A26_1,0.0,0.0
F3A27_1,0.35050983275386544,0.14
F3A28_1,0.4164965639175213,0.1
F3A29_1,0.4535573676110727,0.72
F3A30_1,0.0,0.0
F3A31_1,0.0,0.0
F3A32_1,0.41845195759648035,0.22
F3A33_1,0.0,0.0
F3A34_1,0.0,0.0
F3A35_1,0.0,0.0
F3A36_1,0.0,0.0
F3B_Hamas,5.24536724653483,4.42
F3B_Israel,1.0253919111386502,0.36
F3B_Deutschland,3.8957852683564136,3.08
F3B_USA,3.200765214629726,2.6
F3B_UN,3.1954048640036157,1.56
F3B_Iran,5.183805236956138,6.16
F3B_Katar,4.8908077042549944,4.28
F5A1_1,0.959591749928381,0.24
F5A2_1,0.99303698268473,0.44
F5A3_1,1.0879675865519862,0.4
F5A4_1,1.4581229197086196,0.58
F5A5_1,1.296935162730401,0.54
F5A6_1,1.8445728447507392,1.16
F5A7_1,1.6777049435317937,1.04
F5A8_1,1.7847425927704477,1.28
F5A9_1,1.49570814570987,0.74
F5A10_1,1.5419309389230644,0.9
F5A11_1,1.676244587871158,0.92
F5A12_1,1.4010200365651952,0.58
F5A13_1,2.1460927952244484,2.08
F5A14_1,1.5419309389230635,0.7
F5A15_1,1.9934586905728462,1.16
F5A16_1,1.3815105604270377,0.64
F5aA1_1,2.0874747951551815,3.36
F5aA2_1,1.108225277326827,0.42
F5aA3_1,1.6157389160684217,0.96
F5bA1_1,1.1111677990074322,1.3
F5bA2_1,1.4982983545287878,2.0
F5bA3_1,1.616749068662298,1.28
F5bA4_1,1.9352793396429835,2.36
F5bA5_1,1.8599978055725481,2.36
F5bA6_1,1.7641555764612096,1.9
F5cA1_1,0.5656854249492375,0.08
F5cA2_1,2.242902638301084,1.9
F6a_DemPartyA1,1.1111677990074327,0.3
F6a_RepPartyA1,3.633236596103439,3.94
F6mA1_1,2.101991281366023,7.3
F7d,0.4535573676110727,1.28
F7e,0.3880879344916036,1.82
F7f,0.4712120714991612,1.68
einkommen,1.821526608005897,0.78
F7g,2.7703974517776904,1.28
F7h,0.377424137532083,0.98
F7lA1,0.0,4.0
F7mA1,0.639195923462774,0.14
F7n,0.0,1.0
