Variable,Standard_Deviation,Mean
F1A1_1,1.3566164392580922,0.58
F1A2_1,1.2157134463653312,0.54
F1A3_1,2.41838198566137,3.22
F1A4_1,2.140093455903269,1.46
F1A5_1,2.3574458679698593,2.56
F1A6_1,2.4462382616280576,3.34
F1A7_1,2.371686732935797,1.74
F1A8_1,2.769808068205065,2.96
F1A9_1,2.055952036286402,1.76
F1A10_1,2.2139631101400994,1.58
F1A11_1,2.4641097245646093,1.64
F1A12_1,1.3822489807910727,2.26
F1A13_1,1.2874591334905214,0.34
F1A14_1,0.9806287029560297,0.24
F1A15_1,2.1300570079560917,2.44
F1A16_1,2.263192615825381,2.98
F1A17_1,2.4878480168816672,1.88
F1A19_1,1.5042796092672215,0.68
F2A1,1.6324515181724921,1.22
F2A2,1.7224804136797032,1.82
F2A3,1.0690449676496974,1.4
F2A4,1.6274432182326446,1.38
F2A5,1.7261494247992244,1.6
F2A6,1.8006801436101412,1.32
F2A7,1.4785541751926417,0.76
F2A8,1.0476406924170916,0.38
F2A9,1.5076674780898454,2.82
F2A10,1.3910794516548386,1.06
F2A11,1.4950257659372714,1.36
F2A12,1.4315682851691154,2.46
F2A14,1.8029454359181147,2.12
F3A1_1,1.3075916481713037,0.38
F3A2_1,1.3991250910508906,0.96
F3A3_1,1.373956004405096,0.5
F3A4_1,1.73605228925295,1.92
F3A5_1,1.2657175104763834,0.3
F3A6_1,0.9971387638065788,0.16
F3A7_1,0.0,0.0
F3A8_1,1.4427864197660105,0.4
F3A9_1,0.0,0.0
F3A10_1,0.757008074256672,0.28
F3A11_1,1.214873807169675,0.44
F3A12_1,1.635823452377101,1.24
F3A13_1,1.9691498217271746,1.0
F3A14_1,0.395897327444315,0.08
F3A15_1,2.131972354991728,1.16
F3A16_1,0.6605501726683936,0.18
F3A17_1,0.3854496446637727,0.12
F3A18_1,1.8848482859966447,1.28
F3A19_1,0.803309481114831,0.26
F3A20_1,1.1586410054852345,0.38
F3A21_1,0.3958973274443149,0.08
F3A22_1,0.0,0.0
F3A23_1,0.0,0.0
F3A24_1,0.5034574339058886,0.46
F3A25_1,0.0,0.0
F3A26_1,1.3856406460551025,0.28
F3A27_1,0.4535573676110727,0.72
F3A28_1,1.8065639953756847,0.96
F3A29_1,0.7024737630368141,0.42
F3A30_1,0.5050762722761052,0.1
F3A31_1,1.918332609325089,0.56
F3A32_1,0.3282607226593161,0.12
F3A33_1,1.2494896917525657,0.3
F3A34_1,0.0,0.0
F3A35_1,0.9899494936611654,0.14
F3A36_1,0.0,0.0
F3B_Hamas,4.9363292980488565,3.6
F3B_Israel,1.9361227824111331,0.92
F3B_Deutschland,3.7484146308670225,2.52
F3B_USA,3.2008289742579152,2.86
F3B_UN,2.7112012549602365,1.58
F3B_Iran,5.139880090716006,6.1
F3B_Katar,3.4838402456402706,2.84
F5A1_1,2.1112913158558113,1.54
F5A2_1,1.5634864233239654,1.38
F5A3_1,1.7506849971321716,1.58
F5A4_1,1.7248484109672728,1.38
F5A5_1,1.7090395918557915,1.24
F5A6_1,1.483102099228065,2.38
F5A7_1,1.6752703102021766,2.36
F5A8_1,1.4603605928757768,2.3
F5A9_1,1.5979578804696644,2.24
F5A10_1,1.0505586463342993,2.28
F5A11_1,1.7815379734994168,2.64
F5A12_1,1.412625287923741,3.38
F5A13_1,1.761261143705422,2.8
F5A14_1,1.775226343717491,2.46
F5A15_1,1.5512996526283684,2.96
F5A16_1,1.5702593052468392,3.06
F5aA1_1,1.265717510476382,3.5
F5aA2_1,1.9086270308410547,1.7
F5aA3_1,1.4658006101006467,3.12
F5bA1_1,1.3590212564600321,2.3
F5bA2_1,1.1816626128520125,2.54
F5bA3_1,1.8295756171242306,2.14
F5bA4_1,1.7732709313351884,3.28
F5bA5_1,1.4813121596360819,3.36
F5bA6_1,1.3286482312670194,3.3
F5cA1_1,0.7071067811865476,0.1
F5cA2_1,2.0101781827814698,2.6
F6a_DemPartyA1,1.9059520091609046,0.8
F6a_RepPartyA1,3.02540265493534,3.1
F6mA1_1,1.449700883996842,5.98
F7d,0.49031435147801455,1.38
F7e,0.49487165930539356,1.6
F7f,0.4629100498862757,1.7
einkommen,2.0860078071350947,1.66
F7g,1.7706219361615076,6.74
F7h,0.0,1.0
F7lA1,0.0,4.0
F7mA1,2.1069370359527566,1.36
F7n,0.0,1.0
