Variable,Standard_Deviation,Mean
F1A1_1,1.1293848786315643,3.3
F1A2_1,1.5784259790780724,3.72
F1A3_1,1.1953993440841157,3.86
F1A4_1,1.4708043058552862,4.6
F1A5_1,1.63195137982798,3.9
F1A6_1,1.5628336378488397,3.92
F1A7_1,1.3685982699425703,4.62
F1A8_1,1.0926470386270257,5.3
F1A9_1,1.1293848786315646,3.3
F1A10_1,1.01438631291867,4.54
F1A11_1,1.204752493846172,4.24
F1A12_1,1.3286482312670198,2.9
F1A13_1,1.7623036871419993,3.42
F1A14_1,1.688375623165047,3.08
F1A15_1,1.5748015748023618,3.36
F1A16_1,1.4840650186537774,3.96
F1A17_1,1.1421426337889538,5.04
F1A19_1,1.320018552745315,3.82
F2A1,0.6388765649999398,3.4
F2A2,0.7690439333539867,2.98
F2A3,0.76771593385968,2.68
F2A4,0.5046720495044484,3.52
F2A5,0.5436085025840128,3.48
F2A6,0.7329003050503236,3.44
F2A7,0.530306034093445,3.38
F2A8,1.103056976714055,3.26
F2A9,0.4848732213850612,3.64
F2A10,0.6197431989566817,2.94
F2A11,0.5699982098074285,3.04
F2A12,0.4985693819032898,3.42
F2A14,0.6439672954048369,3.44
F3A1_1,1.1953993440841155,5.14
F3A2_1,1.2834901397266396,3.16
F3A3_1,1.3785529236359788,4.76
F3A4_1,1.0707616972253433,2.42
F3A5_1,1.5928411274018688,1.56
F3A6_1,2.693605428432612,1.36
F3A7_1,2.420659380568586,1.24
F3A8_1,2.5778491271695834,2.74
F3A9_1,1.4995237339140148,0.42
F3A10_1,1.0999072317097234,1.88
F3A11_1,1.6258121989093475,3.64
F3A12_1,1.090964748116387,2.44
F3A13_1,2.084833473504514,2.98
F3A14_1,1.908199279372026,2.46
F3A15_1,1.6690459207925603,4.3
F3A16_1,1.7686614332048185,3.12
F3A17_1,1.5123977448989767,1.72
F3A18_1,1.6274432182326448,3.38
F3A19_1,0.7117096404046368,2.06
F3A20_1,2.060315014550851,3.8
F3A21_1,2.139616597354178,2.44
F3A22_1,1.7161894191635658,0.56
F3A23_1,0.0,0.0
F3A24_1,0.1414213562373094,0.98
F3A25_1,0.0,0.0
F3A26_1,0.0,0.0
F3A27_1,0.14142135623730948,1.02
F3A28_1,1.6442850937072178,3.52
F3A29_1,0.30304576336566313,0.1
F3A30_1,1.8844151368961313,4.0
F3A31_1,3.2119674179352367,4.36
F3A32_1,0.4218520874352399,0.84
F3A33_1,1.7967090096357066,0.58
F3A34_1,1.4393876248925714,0.36
F3A35_1,3.3211751055360894,3.52
F3A36_1,2.536348009341343,3.34
F3B_Hamas,5.065932635693822,6.36
F3B_Israel,2.8686198060803965,3.34
F3B_Deutschland,2.953793824758877,3.36
F3B_USA,3.155106001000762,4.38
F3B_UN,2.922188165308557,3.54
F3B_Iran,3.7764576858560495,6.94
F3B_Katar,3.0439635815354773,3.86
F5A1_1,0.7989789402348317,3.88
F5A2_1,1.1065666703449761,2.8
F5A3_1,0.932190748632883,3.22
F5A4_1,0.6703638975228611,3.86
F5A5_1,0.8907689867497084,3.32
F5A6_1,0.9655282999266173,3.08
F5A7_1,0.8141603913585715,3.48
F5A8_1,0.9478224237370497,3.14
F5A9_1,0.8091315576289311,3.28
F5A10_1,1.0350983390135313,2.9
F5A11_1,0.49321932861805895,3.96
F5A12_1,0.7354021529276429,3.7
F5A13_1,0.8329931278350432,3.2
F5A14_1,0.8020382198638971,3.64
F5A15_1,0.8121525944886798,3.56
F5A16_1,0.6388765649999396,3.8
F5aA1_1,0.8797031039051805,3.04
F5aA2_1,0.9529760045804527,3.3
F5aA3_1,1.1703828084722305,3.24
F5bA1_1,0.9680613912055671,1.96
F5bA2_1,0.9957050624700928,2.22
F5bA3_1,1.1994896874104761,2.5
F5bA4_1,0.9258200997725513,3.4
F5bA5_1,0.8722478584270713,3.12
F5bA6_1,0.8687311883149009,3.02
F5cA1_1,2.0519776423971967,3.44
F5cA2_1,1.3248026422136718,3.4
F6a_DemPartyA1,2.4128905520819903,5.12
F6a_RepPartyA1,2.082384818090125,5.52
F6mA1_1,0.9689042833036099,6.6
F7d,0.41845195759648013,1.22
F7e,0.5046720495044484,1.48
F7f,0.4948716593053936,1.6
einkommen,1.568048312458542,4.48
F7g,0.0,7.0
F7h,0.0,1.0
F7lA1,0.0,4.0
F7mA1,0.0,1.0
F7n,0.0,1.0
