Variable,Standard_Deviation,Mean
F1A1_1,1.3528503544859107,2.92
F1A2_1,1.456302278557104,3.04
F1A3_1,1.2229105462304397,4.12
F1A4_1,1.940439672458018,4.5
F1A5_1,1.651344535676975,3.26
F1A6_1,1.6324515181724921,4.22
F1A7_1,1.5096965501283321,4.92
F1A8_1,1.4982983545287878,4.8
F1A9_1,1.2715088257175218,3.66
F1A10_1,1.4078497136862764,4.24
F1A11_1,1.6132107672563547,4.36
F1A12_1,1.3455899244933271,2.84
F1A13_1,1.47302271481717,3.56
F1A14_1,1.5810097522579338,3.52
F1A15_1,1.5103723017176651,3.62
F1A16_1,1.3893178475901955,3.78
F1A17_1,1.864928734207683,4.54
F1A19_1,1.845457744223445,3.68
F2A1,0.7071067811865478,3.3
F2A2,0.9055385138137418,2.58
F2A3,0.6207303137828692,2.68
F2A4,0.7494215456345146,3.36
F2A5,0.4535573676110728,3.72
F2A6,1.026982900320653,2.92
F2A7,0.8154127538760193,3.22
F2A8,1.5602197647401195,2.12
F2A9,0.5405967979549856,3.44
F2A10,0.9258200997725511,2.6
F2A11,0.665168384389875,2.92
F2A12,0.6060915267313264,3.4
F2A14,1.0768434597167287,3.06
F3A1_1,1.7018597270669062,4.96
F3A2_1,1.3364589215458855,3.36
F3A3_1,1.592841127401869,4.56
F3A4_1,1.1621584422521565,2.58
F3A5_1,0.876216355725466,0.74
F3A6_1,1.212856301530922,0.28
F3A7_1,1.5598273059828756,0.66
F3A8_1,2.0579363548993266,1.36
F3A9_1,1.023997767854711,0.18
F3A10_1,1.321100345336787,2.36
F3A11_1,1.7004201161561725,3.08
F3A12_1,1.5004761149143861,2.56
F3A13_1,1.8643814972657655,2.44
F3A14_1,1.891873059554839,1.82
F3A15_1,1.9567778596040828,3.74
F3A16_1,1.8379225184086159,2.64
F3A17_1,1.2094863136295269,1.08
F3A18_1,1.8674439586706506,3.32
F3A19_1,1.42126704035519,2.02
F3A20_1,2.349554886199789,3.3
F3A21_1,1.7847425927704477,2.28
F3A22_1,0.7071067811865481,0.1
F3A23_1,0.0,0.0
F3A24_1,0.4314191105869,0.76
F3A25_1,1.2494896917525657,0.3
F3A26_1,0.0,0.0
F3A27_1,0.19794866372215747,1.04
F3A28_1,1.6188935500923507,3.54
F3A29_1,0.443087497693452,0.26
F3A30_1,1.977836377128775,3.08
F3A31_1,3.3493221976503658,2.92
F3A32_1,0.5126959555693246,0.68
F3A33_1,1.9183326093250888,0.56
F3A34_1,1.4880476182856905,0.3
F3A35_1,1.618263115257863,0.44
F3A36_1,1.9154580631892555,1.38
F3B_Hamas,4.822608321272646,3.26
F3B_Israel,2.988139821333121,2.36
F3B_Deutschland,3.314100980073246,3.58
F3B_USA,3.171364220711359,4.06
F3B_UN,3.1235772271351876,3.72
F3B_Iran,3.9054645128620087,6.82
F3B_Katar,3.3014529887209796,4.72
F5A1_1,0.8806305718527109,3.8
F5A2_1,0.9648939880439018,2.74
F5A3_1,0.9529760045804526,3.1
F5A4_1,0.9313146293146641,3.5
F5A5_1,0.857142857142857,3.4
F5A6_1,1.030355595443255,2.86
F5A7_1,0.8827138117585945,3.42
F5A8_1,1.006306643734647,2.74
F5A9_1,0.9171829096728301,3.34
F5A10_1,1.0079277589921507,2.38
F5A11_1,0.8369039151929604,3.56
F5A12_1,0.9258200997725514,3.4
F5A13_1,0.8889342392059456,3.16
F5A14_1,0.7216760537322908,3.64
F5A15_1,0.9100347604933137,3.22
F5A16_1,0.9510466844053276,3.56
F5aA1_1,0.832993127835043,3.2
F5aA2_1,0.994884876941723,3.1
F5aA3_1,0.9529760045804524,3.5
F5bA1_1,0.8369039151929606,1.56
F5bA2_1,0.9365590516047863,1.98
F5bA3_1,1.2494896917525642,2.1
F5bA4_1,0.8526070463643869,3.26
F5bA5_1,1.2370141800451009,2.98
F5bA6_1,1.009344099008897,3.04
F5cA1_1,2.4065387118075976,2.62
F5cA2_1,1.2494896917525649,3.3
F6a_DemPartyA1,3.471399176830282,3.52
F6a_RepPartyA1,2.6235977790283425,5.12
F6mA1_1,1.2739141034061685,6.64
F7d,0.3703280399090205,1.16
F7e,0.4629100498862757,1.3
F7f,0.5014265364224069,1.56
einkommen,1.7360522892529504,4.92
F7g,0.38808793449160367,7.18
F7h,0.0,1.0
F7lA1,0.0,4.0
F7mA1,0.0,1.0
F7n,0.0,1.0
