Variable,Standard_Deviation,Mean
F1A1_1,1.7496355305594127,3.2
F1A2_1,2.2978250586152114,2.84
F1A3_1,1.6689236418868838,4.48
F1A4_1,2.119780504617188,3.42
F1A5_1,1.526500599945068,4.42
F1A6_1,1.8774711606796188,3.84
F1A7_1,1.9063802648699748,4.28
F1A8_1,1.7018597270669062,4.96
F1A9_1,1.5680483124585423,3.48
F1A10_1,1.7356995884151414,4.26
F1A11_1,1.9923322401401933,3.5
F1A12_1,1.2779128391599306,1.86
F1A13_1,2.351638595029571,2.98
F1A14_1,2.178184977433819,2.48
F1A15_1,1.9811355226696816,3.44
F1A16_1,1.5681784571500106,4.3
F1A17_1,1.8539533050060504,4.54
F1A19_1,2.4911271115128355,2.28
F2A1,1.030355595443255,3.14
F2A2,0.9563962973323458,3.06
F2A3,1.1967643452071859,1.58
F2A4,0.8861749953869043,3.48
F2A5,0.7406560798180409,3.32
F2A6,1.4427864197660112,2.8
F2A7,1.5130722901110967,2.42
F2A8,1.568698927943349,1.22
F2A9,0.7284313590846836,3.4
F2A10,1.0427592909082661,2.88
F2A11,0.84972984902646,3.18
F2A12,0.752953368748825,3.62
F2A14,1.0738068841694934,3.5
F3A1_1,2.6073678963542477,3.76
F3A2_1,1.9716355998955566,2.52
F3A3_1,2.4327694808466287,3.0
F3A4_1,1.091899673944078,2.54
F3A5_1,1.8365895634272225,1.12
F3A6_1,1.313198307917875,0.3
F3A7_1,2.897500682326345,2.82
F3A8_1,2.8156994273725533,1.52
F3A9_1,1.2874591334905212,0.34
F3A10_1,1.5598273059828753,2.34
F3A11_1,1.4709430544340436,2.86
F3A12_1,1.5877078845085486,2.36
F3A13_1,2.099562636671296,2.6
F3A14_1,1.6393129471749777,0.92
F3A15_1,1.8608753700495753,4.08
F3A16_1,1.7248484109672726,1.38
F3A17_1,1.7506849971321718,1.58
F3A18_1,1.7613770123377432,3.14
F3A19_1,1.831805176344262,2.46
F3A20_1,2.3162249370869987,2.32
F3A21_1,2.372977119182413,1.96
F3A22_1,0.8253632471802457,0.18
F3A23_1,0.0,0.0
F3A24_1,0.4712120714991611,0.68
F3A25_1,0.0,0.0
F3A26_1,1.6792855623746668,0.42
F3A27_1,0.5205962045225315,0.88
F3A28_1,2.091869586601167,3.54
F3A29_1,0.0,0.0
F3A30_1,2.004993765576342,3.02
F3A31_1,2.9780832076751547,5.22
F3A32_1,0.6391959234627742,0.86
F3A33_1,2.5555062599997593,1.2
F3A34_1,0.8485281374238577,0.12
F3A35_1,1.918332609325089,0.56
F3A36_1,1.986587680482515,1.18
F3B_Hamas,4.470355873155184,2.34
F3B_Israel,2.2190271815940115,1.12
F3B_Deutschland,4.349478035773197,4.02
F3B_USA,3.6118286396850254,3.66
F3B_UN,3.579761706811085,3.96
F3B_Iran,5.263040170541612,6.12
F3B_Katar,4.257046978786099,3.8
F5A1_1,1.098421873528062,4.24
F5A2_1,1.0546302185881,3.5
F5A3_1,0.9741558354989899,3.1
F5A4_1,1.2655562623057202,3.52
F5A5_1,1.3991250910508906,2.96
F5A6_1,1.3036839481771239,3.12
F5A7_1,0.7969328960560776,3.76
F5A8_1,1.1830434635864797,3.22
F5A9_1,1.0301575072754254,3.4
F5A10_1,1.1313708498984756,2.84
F5A11_1,0.9435062700547636,3.74
F5A12_1,0.8526070463643869,3.74
F5A13_1,0.9233921492109892,3.62
F5A14_1,0.9160696881075086,3.76
F5A15_1,1.2777531299998797,3.4
F5A16_1,1.0546302185881002,3.3
F5aA1_1,1.2866663141940224,3.76
F5aA2_1,1.9059520091609048,3.0
F5aA3_1,1.5624418356521046,3.74
F5bA1_1,1.3903457212110215,2.84
F5bA2_1,1.1717769516805645,2.88
F5bA3_1,1.5177857126049636,2.32
F5bA4_1,1.6030583016120614,4.04
F5bA5_1,1.7468338705866024,3.64
F5bA6_1,1.3401187885209795,3.4
F5cA1_1,2.2076860173087125,2.06
F5cA2_1,1.709994629422286,3.12
F6a_DemPartyA1,2.641968962724581,1.14
F6a_RepPartyA1,3.0220955022119655,2.36
F6mA1_1,1.1952286093343936,6.2
F7d,0.4314191105869,1.76
F7e,0.35050983275386544,1.86
F7f,0.3505098327538656,1.86
einkommen,1.5173822786601394,2.94
F7g,1.2874591334905208,6.66
F7h,0.762648446573665,1.3
F7lA1,0.0,4.0
F7mA1,2.8838749442161236,4.64
F7n,3.224966381726375,3.26
