Variable,Standard_Deviation,Mean
F1A1_1,0.9689042833036097,3.6
F1A2_1,1.216216951645301,3.48
F1A3_1,1.2783918469255484,4.28
F1A4_1,1.2719902451172607,4.12
F1A5_1,1.1612800818800897,3.72
F1A6_1,1.0263865683820605,3.74
F1A7_1,1.521143501126835,4.18
F1A8_1,1.2295677023628582,4.72
F1A9_1,1.2215747615103971,3.76
F1A10_1,1.4803474495633013,3.82
F1A11_1,1.376775291789344,3.68
F1A12_1,1.1408911661772232,2.62
F1A13_1,1.2089800052363253,3.74
F1A14_1,1.0528871870107586,3.56
F1A15_1,1.1717769516805643,3.88
F1A16_1,1.1473127431577868,4.1
F1A17_1,1.9373872580759646,4.04
F1A19_1,1.1787229339849297,3.72
F2A1,0.4819179369552287,3.18
F2A2,0.5115003939990904,2.94
F2A3,0.6700593942604901,2.8
F2A4,0.6262945776223708,3.34
F2A5,0.5066899385990915,3.22
F2A6,0.6091144458665099,3.42
F2A7,0.5360475154083921,3.28
F2A8,0.5095015571464862,3.16
F2A9,0.5050762722761054,3.3
F2A10,0.5439837932759934,2.9
F2A11,0.5225526045191969,3.18
F2A12,0.555492059863531,3.24
F2A14,0.5225526045191969,3.18
F3A1_1,1.2811028412254497,3.54
F3A2_1,0.9055385138137418,3.42
F3A3_1,1.5327712664001898,3.76
F3A4_1,1.0707616972253435,3.42
F3A5_1,1.5281040674038948,2.54
F3A6_1,2.6942114820860077,3.08
F3A7_1,2.2610273987634883,4.1
F3A8_1,1.3032142367771984,4.34
F3A9_1,1.949986917800178,4.44
F3A10_1,1.2163847404233143,3.5
F3A11_1,1.1428571428571428,3.2
F3A12_1,1.014989695333235,3.52
F3A13_1,1.3997084244475302,3.8
F3A14_1,2.1793090086314146,2.84
F3A15_1,1.0993504575754853,4.34
F3A16_1,1.1471348514219848,3.52
F3A17_1,1.8251083277885904,3.66
F3A18_1,1.3666583706401592,4.36
F3A19_1,0.9216223495022462,2.74
F3A20_1,1.0119691856242765,3.42
F3A21_1,1.53543186771936,3.64
F3A22_1,0.0,0.0
F3A23_1,1.1994896874104766,0.3
F3A24_1,1.3117988895141717,0.44
F3A25_1,0.8964783708421279,0.18
F3A26_1,1.2906255404703122,0.26
F3A27_1,2.3922493897704613,2.54
F3A28_1,1.6062378404209012,4.46
F3A29_1,0.0,0.0
F3A30_1,1.4229890931358797,3.66
F3A31_1,1.7398099825872377,5.56
F3A32_1,1.5628336378488394,2.92
F3A33_1,2.7041917574803187,1.56
F3A34_1,0.848528137423858,0.12
F3A35_1,1.0239977678547105,0.18
F3A36_1,1.889174314836176,4.32
F3B_Hamas,3.721366876373711,7.22
F3B_Israel,2.854927712727235,5.18
F3B_Deutschland,2.590091007777801,6.84
F3B_USA,2.2936469489724463,5.38
F3B_UN,2.4756776025639393,5.44
F3B_Iran,2.7078118283882255,7.12
F3B_Katar,2.705700708971821,6.16
F5A1_1,0.4499433070863891,2.04
F5A2_1,0.8900813996254408,2.94
F5A3_1,0.7814168189244198,2.96
F5A4_1,0.7125693664765671,3.68
F5A5_1,1.0200040015927907,2.98
F5A6_1,0.6468132241526727,3.1
F5A7_1,0.8091315576289311,3.28
F5A8_1,0.7284313590846836,3.0
F5A9_1,0.7384484561897194,3.16
F5A10_1,0.7461465632686054,2.88
F5A11_1,0.7010196655077311,3.72
F5A12_1,0.7866228513106404,3.44
F5A13_1,0.7669180303696884,3.06
F5A14_1,0.8630747123996123,3.5
F5A15_1,0.8081220356417688,3.2
F5A16_1,0.6998542122237653,3.6
F5aA1_1,0.7024737630368144,3.58
F5aA2_1,0.9055385138137418,3.42
F5aA3_1,1.021403596098256,3.76
F5bA1_1,1.1551128578133458,2.82
F5bA2_1,1.0052921191862387,2.64
F5bA3_1,1.3303367687797498,2.84
F5bA4_1,1.01519074311085,3.7
F5bA5_1,1.1008345628176284,3.18
F5bA6_1,1.1293848786315648,3.7
F5cA1_1,1.2590894020874688,4.08
F5cA2_1,1.1682884743006214,3.32
F6a_DemPartyA1,2.103544142437632,5.94
F6a_RepPartyA1,1.3738074605910067,5.52
F6mA1_1,0.7475128829686357,5.82
F7d,0.4848732213850611,1.36
F7e,0.49856938190328975,1.58
F7f,0.45355736761107274,1.72
einkommen,0.1979486637221575,2.96
F7g,0.7196938124462856,6.82
F7h,0.0,1.0
F7lA1,0.0,3.0
F7mA1,2.418044411401537,3.5
F7n,0.0,8.0
