Variable,Standard_Deviation,Mean
F1A1_1,1.1065666703449761,3.8
F1A2_1,1.4234192808092743,4.12
F1A3_1,1.0849621454884304,5.08
F1A4_1,1.2323861043536972,4.46
F1A5_1,1.0993504575754853,4.34
F1A6_1,1.14446315727827,4.42
F1A7_1,1.1473127431577865,4.9
F1A8_1,1.3702375780893483,4.8
F1A9_1,1.4563022785571036,4.04
F1A10_1,1.1952286093343936,3.6
F1A11_1,1.2237446712481177,3.82
F1A12_1,1.1292041625925435,2.48
F1A13_1,1.1141025490482994,3.94
F1A14_1,1.0350983390135315,3.3
F1A15_1,1.2249114920129152,4.36
F1A16_1,0.9581018649775549,4.02
F1A17_1,0.9563962973323455,4.06
F1A19_1,0.9655282999266174,3.92
F2A1,0.5714285714285714,3.4
F2A2,0.7365113574085852,2.78
F2A3,0.7827215732458701,2.14
F2A4,0.6144518047887592,3.3
F2A5,0.5424810727442152,3.46
F2A6,0.5480950312357393,3.16
F2A7,0.5728553615932407,3.28
F2A8,0.5714285714285716,3.2
F2A9,0.6064281507654607,3.14
F2A10,0.6288960200872897,3.18
F2A11,0.5379477252503635,3.42
F2A12,0.5360475154083921,3.28
F2A14,0.5510657577710261,3.32
F3A1_1,1.9166296949998198,3.4
F3A2_1,0.78480466827545,3.42
F3A3_1,1.396935421352244,3.74
F3A4_1,0.8889342392059456,3.16
F3A5_1,0.8628382211737999,2.52
F3A6_1,1.9192898346492004,4.9
F3A7_1,1.417816660091372,4.7
F3A8_1,1.442786419766011,4.2
F3A9_1,1.923962747316388,4.18
F3A10_1,0.7239348262468527,2.92
F3A11_1,0.938083151964686,3.24
F3A12_1,1.1292041625925433,3.52
F3A13_1,0.8919137873593119,4.02
F3A14_1,1.551825784457174,3.8
F3A15_1,1.1301074538037776,4.22
F3A16_1,1.373956004405096,3.5
F3A17_1,1.32803368533624,3.46
F3A18_1,1.0184021097498064,4.06
F3A19_1,0.8668497975016037,2.94
F3A20_1,1.1782034057437292,4.14
F3A21_1,1.2906255404703122,4.26
F3A22_1,0.7071067811865481,0.1
F3A23_1,1.4813121596360823,0.36
F3A24_1,1.6980180523547004,1.12
F3A25_1,2.0272631596236708,1.18
F3A26_1,2.3003105380423268,0.88
F3A27_1,2.166535841157586,3.0
F3A28_1,1.4298565648058437,4.58
F3A29_1,0.14142135623730948,0.02
F3A30_1,1.0230007879981802,3.88
F3A31_1,2.073053549816831,4.78
F3A32_1,1.0879675865519869,3.2
F3A33_1,3.0871028621723404,2.98
F3A34_1,2.095281384834183,0.76
F3A35_1,1.2906255404703122,0.26
F3A36_1,1.6243051889773594,4.12
F3B_Hamas,5.219117135442486,4.16
F3B_Israel,2.721719144592406,5.98
F3B_Deutschland,3.128277872724799,6.64
F3B_USA,2.7021533363340478,5.38
F3B_UN,3.1152030103860593,4.36
F3B_Iran,3.2717092830282244,7.7
F3B_Katar,3.4967039874015935,5.76
F5A1_1,0.46291004988627565,2.1
F5A2_1,0.6907552802135191,2.82
F5A3_1,0.6700593942604899,3.0
F5A4_1,0.712569366476567,3.32
F5A5_1,0.6788345354580986,3.22
F5A6_1,0.6047431568147634,2.96
F5A7_1,0.6502746672423456,3.16
F5A8_1,0.7102744511232034,3.16
F5A9_1,0.6337449432233949,3.08
F5A10_1,0.7071067811865477,2.9
F5A11_1,0.6455499158682859,3.46
F5A12_1,0.7059513771774766,3.54
F5A13_1,0.6157789160643516,3.22
F5A14_1,0.7570080742566722,3.72
F5A15_1,0.6833291853200797,3.32
F5A16_1,0.672794962246664,3.58
F5aA1_1,1.0427592909082664,3.88
F5aA2_1,1.1328130058056576,3.68
F5aA3_1,1.069044967649697,3.6
F5bA1_1,1.1598733217248252,3.04
F5bA2_1,1.0200040015927905,3.02
F5bA3_1,1.259899574877105,3.38
F5bA4_1,1.0505586463342993,3.72
F5bA5_1,1.029364773408676,2.96
F5bA6_1,1.1430357003370004,4.14
F5cA1_1,1.34011878852098,3.8
F5cA2_1,1.1993195349608776,3.52
F6a_DemPartyA1,0.7384484561897194,6.16
F6a_RepPartyA1,1.1337134216586566,6.02
F6mA1_1,0.6703638975228611,5.86
F7d,0.4785181206984063,1.34
F7e,0.49856938190328975,1.58
F7f,0.47121207149916106,1.68
einkommen,0.939821954479916,2.88
F7g,0.7102744511232034,7.16
F7h,0.65807387464463,1.34
F7lA1,0.0,3.0
F7mA1,2.4479062273623113,5.26
F7n,0.0,8.0
