Variable,Standard_Deviation,Mean
F1A1_1,1.2777531299998797,4.2
F1A2_1,1.2887266298678757,2.18
F1A3_1,1.313198307917874,4.1
F1A4_1,1.2855555457561878,4.02
F1A5_1,1.2929952570268297,4.96
F1A6_1,1.4020393310154624,4.56
F1A7_1,1.2803060858518904,4.56
F1A8_1,1.3231070421163813,4.62
F1A9_1,1.2330483215451478,3.9
F1A10_1,1.049781318335648,5.2
F1A11_1,0.9452350965527577,3.62
F1A12_1,1.0303555954432546,2.86
F1A13_1,1.0528871870107588,3.56
F1A14_1,1.3755889276812254,4.16
F1A15_1,1.2022088514268139,4.06
F1A16_1,1.2739141034061687,4.36
F1A17_1,1.0999072317097232,4.88
F1A19_1,1.0554039752722215,4.78
F2A1,0.8141603913585718,3.48
F2A2,0.7795864942652716,3.38
F2A3,1.4568627181693672,2.0
F2A4,0.600679886903675,4.08
F2A5,0.5225526045191969,3.82
F2A6,0.5050762722761054,3.7
F2A7,0.7082603003566025,3.22
F2A8,0.7507819053411948,3.26
F2A9,0.5345224838248489,3.6
F2A10,0.7835033829029764,3.72
F2A11,0.5436085025840129,3.52
F2A12,0.7824607964359516,3.6
F2A14,0.8270922757788646,3.36
F3A1_1,0.602376246923086,5.62
F3A2_1,1.2975644374703539,3.9
F3A3_1,0.9529760045804528,5.3
F3A4_1,1.2103296902842933,3.62
F3A5_1,1.3516429911445562,2.64
F3A6_1,1.0309496315810696,5.72
F3A7_1,1.3763305250868028,4.94
F3A8_1,1.3915195042155344,4.32
F3A9_1,0.9739463170891037,5.52
F3A10_1,1.261680123761121,4.0
F3A11_1,1.5103723017176656,2.62
F3A12_1,1.3125765283811621,3.54
F3A13_1,2.3695345276131805,4.24
F3A14_1,1.3674048114466133,5.26
F3A15_1,1.30243100800474,4.76
F3A16_1,1.32803368533624,4.46
F3A17_1,1.935806534438685,3.74
F3A18_1,1.015994536382546,5.22
F3A19_1,1.4279998856685485,2.96
F3A20_1,1.3590212564600321,4.7
F3A21_1,0.9707981147446861,5.58
F3A22_1,0.7071067811865485,0.1
F3A23_1,1.7871422861709718,0.5
F3A24_1,2.0453032308492674,1.02
F3A25_1,2.614246681988086,1.32
F3A26_1,0.9899494936611661,0.14
F3A27_1,2.258408325185086,1.04
F3A28_1,1.2618418672556329,5.14
F3A29_1,1.131370849898475,0.16
F3A30_1,1.4646863563401478,4.76
F3A31_1,0.6262945776223708,6.66
F3A32_1,1.5825579913287118,1.84
F3A33_1,3.3963365617700974,3.34
F3A34_1,3.032140753827304,2.1
F3A35_1,1.6792855623746668,0.42
F3A36_1,1.8489931071272503,4.64
F3B_Hamas,2.6835857826909915,8.68
F3B_Israel,2.6193160035647876,6.42
F3B_Deutschland,2.5734119335216885,7.7
F3B_USA,3.140323654189361,6.66
F3B_UN,3.349626844888845,5.38
F3B_Iran,2.6793998718872456,7.38
F3B_Katar,3.0458402546986707,6.78
F5A1_1,0.9476070829586855,2.4
F5A2_1,0.9091372900969898,3.9
F5A3_1,0.7001457574195913,3.86
F5A4_1,0.4444671196029725,4.08
F5A5_1,0.9741558354989902,3.7
F5A6_1,0.8889342392059453,3.84
F5A7_1,0.4242640687119286,4.06
F5A8_1,0.7384484561897194,3.84
F5A9_1,0.6518419740885618,3.94
F5A10_1,0.615778916064352,3.78
F5A11_1,0.6688399948982642,3.96
F5A12_1,0.7239348262468527,3.92
F5A13_1,0.7196938124462854,3.82
F5A14_1,0.8290638930598232,4.08
F5A15_1,0.44994330708638913,3.96
F5A16_1,0.6064281507654607,4.14
F5aA1_1,0.9971387638065795,3.84
F5aA2_1,1.0301575072754257,4.4
F5aA3_1,1.147312743157786,4.1
F5bA1_1,1.3439205515876276,3.7
F5bA2_1,1.125039681839839,3.14
F5bA3_1,1.5732457026212803,3.12
F5bA4_1,1.497753419666418,4.04
F5bA5_1,1.498843091269029,3.28
F5bA6_1,1.6339510146780252,4.06
F5cA1_1,1.5200698157972738,4.34
F5cA2_1,1.5497201854080707,3.08
F6a_DemPartyA1,2.2879453397209955,5.3
F6a_RepPartyA1,2.09849314256391,5.38
F6mA1_1,1.6812288994199742,5.7
F7d,0.4535573676110727,1.28
F7e,0.5034574339058886,1.54
F7f,0.5034574339058886,1.54
einkommen,0.4242640687119289,1.06
F7g,1.5764853701982073,5.38
F7h,0.0,7.0
F7lA1,0.0,3.0
F7mA1,0.0,0.0
F7n,0.0,8.0
