Variable,Standard_Deviation,Mean
F1A1_1,1.410745930928972,3.64
F1A2_1,1.3093073414159542,4.0
F1A3_1,1.1842503872035828,5.16
F1A4_1,1.4982983545287882,4.6
F1A5_1,1.4846149779161804,4.8
F1A6_1,1.3997084244475304,4.8
F1A7_1,1.476896912379439,4.68
F1A8_1,1.3486198538521084,5.24
F1A9_1,1.3138197931906765,4.78
F1A10_1,1.6439127043708366,4.46
F1A11_1,1.178030178747903,3.6
F1A12_1,0.9946797248873837,2.52
F1A13_1,1.091899673944078,4.46
F1A14_1,1.3981036719610678,3.62
F1A15_1,1.4178166600913717,4.9
F1A16_1,1.3107094199987537,4.42
F1A17_1,1.4078497136862766,5.24
F1A19_1,1.373956004405096,4.5
F2A1,1.1313708498984756,2.84
F2A2,1.1293848786315641,2.5
F2A3,0.8715456595811227,0.66
F2A4,0.7886956423909863,3.48
F2A5,0.7623808036643618,3.52
F2A6,0.6114552731152199,3.56
F2A7,0.6388765649999398,3.4
F2A8,0.8514093957572195,3.36
F2A9,0.7626484465736652,3.3
F2A10,0.798978940234832,3.12
F2A11,0.63887656499994,3.2
F2A12,0.6749149606295838,3.44
F2A14,0.8329931278350429,3.2
F3A1_1,1.4463183379511848,4.7
F3A2_1,1.261032942326509,4.04
F3A3_1,1.1480240344493966,4.78
F3A4_1,1.1795883059053152,3.42
F3A5_1,1.513072290111097,1.58
F3A6_1,3.020271646115053,3.02
F3A7_1,2.096547210076995,4.82
F3A8_1,1.5654431464917402,5.28
F3A9_1,2.9496454300924553,2.44
F3A10_1,1.3775162505060197,3.02
F3A11_1,1.3223355960464154,2.92
F3A12_1,1.2779128391599306,3.14
F3A13_1,2.7096953665664776,3.62
F3A14_1,2.2028738187250974,1.38
F3A15_1,1.3439205515876271,4.7
F3A16_1,1.9567778596040823,3.74
F3A17_1,2.1763103020048047,2.28
F3A18_1,1.2545427657200083,4.76
F3A19_1,1.6859563990779347,3.12
F3A20_1,1.2974071473991693,4.52
F3A21_1,2.378560703536523,4.66
F3A22_1,0.0,0.0
F3A23_1,2.9571773634977787,1.5
F3A24_1,1.7961409880573385,0.72
F3A25_1,0.5656854249492377,0.08
F3A26_1,2.1170830915026757,0.74
F3A27_1,2.4402241449405873,1.62
F3A28_1,1.7553417017196165,5.02
F3A29_1,1.9394928855402445,0.56
F3A30_1,1.771543775055749,4.62
F3A31_1,0.4351870346207949,6.88
F3A32_1,1.5123977448989772,2.28
F3A33_1,3.2122850916760295,2.26
F3A34_1,2.0705909636563935,0.72
F3A35_1,1.6035674514745457,0.4
F3A36_1,2.241446326070081,4.58
F3B_Hamas,4.320289105972385,2.22
F3B_Israel,3.552808604413111,3.7
F3B_Deutschland,4.890682519874304,5.86
F3B_USA,3.8134563036164235,4.78
F3B_UN,3.714780186866337,4.42
F3B_Iran,4.682969579405,5.78
F3B_Katar,4.256136026673845,4.26
F5A1_1,0.6468132241526724,1.7
F5A2_1,1.200170055977613,3.22
F5A3_1,0.904410959505395,3.28
F5A4_1,0.79179465488863,4.16
F5A5_1,1.1823532398033465,3.1
F5A6_1,1.0143863129186703,3.54
F5A7_1,0.8827138117585949,3.42
F5A8_1,0.9987747595970592,3.32
F5A9_1,0.8134080483135291,3.54
F5A10_1,0.9581018649775549,2.98
F5A11_1,0.8290638930598231,3.92
F5A12_1,0.7561988724494884,3.86
F5A13_1,0.9495433918790782,3.42
F5A14_1,0.8889342392059453,3.84
F5A15_1,0.6776309271789385,4.1
F5A16_1,0.6986868148935704,3.96
F5aA1_1,0.8864052604279183,3.9
F5aA2_1,1.4922931265372104,4.24
F5aA3_1,1.1656652650757344,3.78
F5bA1_1,1.1899236813119316,3.18
F5bA2_1,1.193348914883263,3.62
F5bA3_1,1.4961174241812627,3.08
F5bA4_1,1.5433861526936576,4.16
F5bA5_1,1.5565529682144268,3.16
F5bA6_1,1.2453996981544782,4.2
F5cA1_1,1.728040060004279,4.44
F5cA2_1,1.2303973142933986,3.42
F6a_DemPartyA1,2.4723780174610224,4.36
F6a_RepPartyA1,2.385414865727271,4.06
F6mA1_1,1.8070158058105026,6.0
F7d,0.41845195759648024,1.22
F7e,0.5034574339058886,1.46
F7f,0.4903143514780145,1.62
einkommen,1.0269829003206532,1.92
F7g,1.4681655915058194,6.74
F7h,0.7406560798180408,1.32
F7lA1,0.9897433186107867,3.2
F7mA1,2.6344654416532594,5.28
F7n,0.0,8.0
