Variable,Standard_Deviation,Mean
F1A1_1,1.2123514005301215,3.86
F1A2_1,1.367852480409809,3.92
F1A3_1,1.3272651027813638,4.56
F1A4_1,1.2453996981544782,4.8
F1A5_1,1.171254342443979,5.34
F1A6_1,1.303683948177124,4.88
F1A7_1,1.2115094312636678,5.04
F1A8_1,1.3844618788097958,4.96
F1A9_1,1.2969351627304007,4.54
F1A10_1,1.2330483215451478,4.5
F1A11_1,1.171254342443979,4.34
F1A12_1,1.4880476182856899,2.7
F1A13_1,1.2195683411664602,4.68
F1A14_1,1.3528503544859105,4.08
F1A15_1,1.2969351627304007,4.54
F1A16_1,1.286666314194023,4.24
F1A17_1,0.624663174545013,5.24
F1A19_1,1.3032142367771982,4.34
F2A1,0.7284313590846836,3.2
F2A2,0.857142857142857,2.4
F2A3,0.76771593385968,2.32
F2A4,0.645549915868286,3.46
F2A5,0.5788799882672805,3.46
F2A6,0.5050762722761053,3.7
F2A7,0.5424810727442151,3.46
F2A8,0.652780551931192,3.32
F2A9,0.6327781311528601,3.26
F2A10,0.5886685079439006,3.02
F2A11,0.5066899385990915,3.22
F2A12,0.5303060340934451,3.38
F2A14,0.670363897522861,3.14
F3A1_1,0.7010196655077312,5.28
F3A2_1,1.2447440520452548,4.04
F3A3_1,0.914508901330241,4.98
F3A4_1,1.1277573917708887,3.56
F3A5_1,1.426999134762262,2.62
F3A6_1,0.9160696881075084,5.76
F3A7_1,1.1823532398033465,5.1
F3A8_1,1.1864885595912067,5.02
F3A9_1,1.0738068841694934,5.5
F3A10_1,1.2969351627304004,3.46
F3A11_1,1.3991250910508906,3.04
F3A12_1,1.2315578321287028,3.56
F3A13_1,1.4847524359024862,4.86
F3A14_1,1.2403093754941852,4.82
F3A15_1,1.1364103886486479,4.88
F3A16_1,1.3940105114820507,4.34
F3A17_1,1.7525491637693282,3.5
F3A18_1,1.0388376550113056,5.32
F3A19_1,1.1301074538037779,2.78
F3A20_1,1.4874989281422994,4.54
F3A21_1,1.324956680077365,5.14
F3A22_1,0.2828427124746187,0.04
F3A23_1,2.1923801249429578,0.64
F3A24_1,2.80298674521974,2.02
F3A25_1,1.606618962229662,0.52
F3A26_1,1.4002915148391828,0.28
F3A27_1,2.6821404793597985,3.9
F3A28_1,1.2094863136295273,5.08
F3A29_1,1.58358930977726,0.32
F3A30_1,1.2493263490900257,4.48
F3A31_1,0.5728553615932407,6.72
F3A32_1,1.6319513798279803,2.5
F3A33_1,2.072659732649559,5.9
F3A34_1,2.906712849910829,4.8
F3A35_1,2.2624711070429346,0.94
F3A36_1,1.2719902451172607,5.12
F3B_Hamas,1.6768532239566696,9.62
F3B_Israel,2.827633322070178,5.62
F3B_Deutschland,3.368582333679186,7.14
F3B_USA,2.9760952365713798,6.0
F3B_UN,3.2756990218322337,3.62
F3B_Iran,2.9804807172874725,7.88
F3B_Katar,3.1646001133715167,5.16
F5A1_1,0.8573809193213519,1.86
F5A2_1,0.8369039151929606,3.44
F5A3_1,0.9495433918790781,3.42
F5A4_1,0.6848208465261073,4.02
F5A5_1,0.8369039151929605,3.44
F5A6_1,0.9089127840335354,3.48
F5A7_1,0.7583548251421145,3.58
F5A8_1,0.6401530429259451,3.72
F5A9_1,0.6833291853200799,3.68
F5A10_1,0.8843307166024093,3.44
F5A11_1,0.49528388066742074,4.14
F5A12_1,0.46291004988627565,4.1
F5A13_1,0.7159979477795241,3.76
F5A14_1,0.6848208465261076,3.98
F5A15_1,0.6388765649999399,3.8
F5A16_1,0.549953615854862,4.06
F5aA1_1,0.6327781311528599,3.74
F5aA2_1,0.8808622862553139,3.86
F5aA3_1,1.0567566862232525,3.84
F5bA1_1,1.055403975272222,3.22
F5bA2_1,1.0239977678547103,3.18
F5bA3_1,1.1677643038677605,3.06
F5bA4_1,1.2394863979133632,4.12
F5bA5_1,0.9495433918790782,3.58
F5bA6_1,1.082136963680322,3.82
F5cA1_1,1.4178166600913722,4.7
F5cA2_1,1.4708043058552858,3.8
F6a_DemPartyA1,1.961361459677997,5.9
F6a_RepPartyA1,1.6946494430099333,6.16
F6mA1_1,1.2618418672556329,6.14
F7d,0.5014265364224069,1.44
F7e,0.5046720495044484,1.52
F7f,0.5046720495044485,1.52
einkommen,0.5602477586036454,2.18
F7g,0.0,4.0
F7h,0.7637180802642093,1.22
F7lA1,0.0,3.0
F7mA1,3.891854392477307,5.58
F7n,0.0,8.0
