Variable,Standard_Deviation,Mean
F1A1_1,1.1876919823329442,3.76
F1A2_1,1.7728105208558367,4.0
F1A3_1,1.217055664214221,5.22
F1A4_1,1.1473127431577863,4.9
F1A5_1,0.9655282999266174,6.08
F1A6_1,1.4291427429028343,5.28
F1A7_1,1.3590212564600321,5.7
F1A8_1,1.1428571428571426,5.8
F1A9_1,1.5440471601130132,4.94
F1A10_1,1.6343256738371539,5.32
F1A11_1,1.0879675865519873,4.6
F1A12_1,1.178203405743729,2.14
F1A13_1,1.781537973499417,4.36
F1A14_1,1.705812392488502,4.22
F1A15_1,1.3844618788097967,4.96
F1A16_1,1.3149066856004399,5.16
F1A17_1,1.068281091190853,5.96
F1A19_1,1.639312947174978,5.08
F2A1,1.0583005244258368,2.68
F2A2,1.1830434635864795,2.22
F2A3,1.1399964196148575,0.92
F2A4,0.6060915267313267,3.8
F2A5,0.7848046682754499,3.42
F2A6,0.5841442371503108,3.84
F2A7,0.530306034093445,3.62
F2A8,0.7354021529276429,3.5
F2A9,0.9216223495022463,3.26
F2A10,0.8121525944886797,3.44
F2A11,0.7637180802642094,3.22
F2A12,0.7561988724494884,3.14
F2A14,0.6883876458946722,3.66
F3A1_1,0.8320125587749165,6.04
F3A2_1,1.1821806208901262,4.48
F3A3_1,1.659727049111095,4.98
F3A4_1,1.4692772067258382,3.38
F3A5_1,1.5985963230539577,1.66
F3A6_1,3.189523667334951,3.52
F3A7_1,2.383960005143217,4.52
F3A8_1,2.828499277579068,3.86
F3A9_1,3.1521939233829266,2.68
F3A10_1,2.0820907859208075,3.46
F3A11_1,1.3940105114820507,3.66
F3A12_1,1.4995237339140146,3.58
F3A13_1,2.3386722205349857,4.6
F3A14_1,2.474358296526968,1.6
F3A15_1,1.4880476182856899,4.9
F3A16_1,2.2786497971296913,3.54
F3A17_1,2.091381732496583,1.56
F3A18_1,1.164789549179401,5.48
F3A19_1,1.2289036095775183,4.2
F3A20_1,1.878014583412548,4.94
F3A21_1,1.8237660071894073,6.02
F3A22_1,1.6792855623746668,0.42
F3A23_1,3.5392262500410445,2.38
F3A24_1,2.7348096228932253,1.52
F3A25_1,1.9436972973365647,0.76
F3A26_1,2.3989793748209522,1.0
F3A27_1,2.3560603574958057,1.4
F3A28_1,1.854393569392453,5.3
F3A29_1,2.2989793653812938,0.98
F3A30_1,1.63195137982798,4.1
F3A31_1,0.14142135623730942,6.98
F3A32_1,1.8952141659173714,3.0
F3A33_1,2.636401381599161,1.22
F3A34_1,2.6441309671475386,1.22
F3A35_1,1.6047124480156336,0.42
F3A36_1,2.3464258534448272,4.38
F3B_Hamas,5.183805236956136,3.84
F3B_Israel,3.3661581080162093,3.66
F3B_Deutschland,4.217746762799071,5.92
F3B_USA,3.4004201421084934,4.78
F3B_UN,3.5225222874108435,4.0
F3B_Iran,4.782792284933176,6.32
F3B_Katar,4.001836313188113,5.84
F5A1_1,0.6207303137828692,1.68
F5A2_1,1.1155670288774076,2.98
F5A3_1,0.9981615754036245,3.06
F5A4_1,1.0971205354872156,4.02
F5A5_1,1.0879675865519869,3.8
F5A6_1,0.9476070829586857,4.0
F5A7_1,0.8221425468536092,3.76
F5A8_1,0.9930369826847295,3.44
F5A9_1,0.9521190115972363,3.46
F5A10_1,1.0388376550113054,3.32
F5A11_1,0.7899883750113422,4.22
F5A12_1,0.7559289460184544,4.0
F5A13_1,0.9260405068938199,3.86
F5A14_1,0.6848208465261079,3.98
F5A15_1,0.8722478584270711,3.88
F5A16_1,0.7669180303696885,4.06
F5aA1_1,1.419399125528482,4.16
F5aA2_1,1.7756861278080076,4.7
F5aA3_1,1.7114261864996498,4.36
F5bA1_1,1.5387511501346844,4.14
F5bA2_1,1.573894169613337,3.82
F5bA3_1,1.9757716136709105,3.12
F5bA4_1,2.044005671145134,4.84
F5bA5_1,1.3590212564600321,3.3
F5bA6_1,1.340727795045722,4.28
F5cA1_1,2.325458041341709,3.98
F5cA2_1,1.5227526096526913,3.74
F6a_DemPartyA1,2.2245384754081976,1.48
F6a_RepPartyA1,2.78926513619627,3.66
F6mA1_1,1.9170555653961425,5.72
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.9026039427960755,1.96
F7g,1.022402133433308,7.66
F7h,0.9689042833036094,1.4
F7lA1,0.0,3.0
F7mA1,2.855785391811092,4.74
F7n,0.23989793748209529,1.06
