Variable,Standard_Deviation,Mean
F1A1_1,0.46291004988627577,2.7
F1A2_1,0.6180945043652554,4.16
F1A3_1,1.030355595443255,3.86
F1A4_1,0.5480950312357393,3.16
F1A5_1,0.4952838806674205,3.14
F1A6_1,0.8592830423898609,3.58
F1A7_1,0.9233921492109892,4.38
F1A8_1,0.8329931278350429,5.6
F1A9_1,0.8204030865920703,3.02
F1A10_1,0.49856938190328987,5.42
F1A11_1,0.9889181885643875,3.96
F1A12_1,0.0,1.0
F1A13_1,0.5360475154083919,2.72
F1A14_1,0.8992059989632123,3.74
F1A15_1,0.5602477586036451,2.82
F1A16_1,0.3030457633656632,2.1
F1A17_1,0.40406101782088427,5.8
F1A19_1,0.6848208465261076,5.02
F2A1,0.46773444410699716,4.16
F2A2,0.4948716593053935,2.4
F2A3,0.4733726150223112,3.02
F2A4,0.46291004988627577,4.3
F2A5,0.3880879344916036,4.18
F2A6,0.3030457633656632,4.1
F2A7,0.3703280399090206,4.16
F2A8,0.5283783431116266,3.92
F2A9,0.5050762722761054,4.5
F2A10,0.7139999428342743,3.98
F2A11,0.5046720495044483,4.52
F2A12,0.4535573676110727,4.72
F2A14,0.4903143514780146,4.38
F3A1_1,0.4903143514780146,5.62
F3A2_1,0.0,2.0
F3A3_1,0.9476070829586856,4.6
F3A4_1,0.4903143514780146,1.62
F3A5_1,0.49856938190328987,1.42
F3A6_1,0.0,7.0
F3A7_1,0.8320125587749164,6.04
F3A8_1,0.5095015571464859,5.84
F3A9_1,0.4903143514780146,2.38
F3A10_1,0.0,1.0
F3A11_1,0.3880879344916036,1.82
F3A12_1,0.5034574339058885,1.46
F3A13_1,1.0301575072754254,4.2
F3A14_1,0.895339406628137,3.88
F3A15_1,0.4499433070863892,4.96
F3A16_1,0.3030457633656632,1.9
F3A17_1,0.328260722659316,1.88
F3A18_1,1.1322724125962491,4.06
F3A19_1,0.27404751561786966,1.08
F3A20_1,0.0,2.0
F3A21_1,0.8668497975016037,3.94
F3A22_1,0.46291004988627577,5.7
F3A23_1,1.0738068841694934,4.1
F3A24_1,0.8808622862553139,3.86
F3A25_1,0.0,2.0
F3A26_1,0.0,7.0
F3A27_1,0.3030457633656632,1.1
F3A28_1,0.3703280399090206,2.16
F3A29_1,1.3346252244716186,3.88
F3A30_1,0.38808793449160356,2.18
F3A31_1,0.4763809143009448,6.24
F3A32_1,0.8320125587749164,5.04
F3A33_1,0.0,7.0
F3A34_1,0.0,7.0
F3A35_1,0.0,7.0
F3A36_1,0.9971387638065798,2.84
F3B1,0.0,2.0
F3B2,0.0,2.0
F3B3,0.542481072744215,2.46
F3_USA,1.2847615517666922,6.32
F3_CHINA,1.324802642213672,6.6
F3_Deutschland,1.4222718245318449,5.76
F3_Russland,1.1214058232451638,10.26
F3_Ukraine,1.4879104647190327,5.52
F3_EU,1.7654276235171895,4.84
F3_NATO,1.1293848786315641,6.5
F3B_Hamas,1.057721849166444,8.06
F3B_Israel,1.104536101718726,6.62
F3B_Deutschland,1.7142857142857144,5.2
F3B_USA,1.2682946931101735,7.06
F3B_UN,1.6413036132965795,5.6
F3B_Iran,0.8687311883149013,8.02
F3B_Katar,1.4803474495633013,6.18
F5A1_1,0.3703280399090206,1.84
F5A2_1,0.4948716593053935,2.8
F5A3_1,0.5034574339058885,3.54
F5A4_1,0.0,4.0
F5A5_1,0.3030457633656632,3.9
F5A6_1,0.328260722659316,3.88
F5A7_1,0.0,4.0
F5A8_1,0.5499536158548617,2.94
F5A9_1,0.6788345354580984,3.22
F5A10_1,0.38808793449160356,2.18
F5A11_1,0.19794866372215741,4.04
F5A12_1,0.5345224838248488,3.0
F5A13_1,0.0,2.0
F5A14_1,0.501426536422407,3.56
F5A15_1,0.38808793449160356,2.18
F5A16_1,0.0,4.0
F5aA1_1,0.717168784708061,2.686666666666666
F5aA2_1,1.0690449676496976,3.2
F5aA3_1,0.9510466844053278,3.56
F5bA1_1,0.552914356581818,2.02
F5bA2_1,0.6223720260226275,3.02
F5bA3_1,0.8081220356417687,1.6
F5bA4_1,0.7677159338596802,4.32
F5bA5_1,1.006306643734647,4.26
F5bA6_1,1.006306643734647,5.26
F5cA1_1,0.49856938190328987,2.42
F5cA2_1,0.0,2.0
F6a_DemPartyA1,0.4629100498862757,8.3
F6a_RepPartyA1,0.4948716593053935,4.0
F6mA1_1,0.7149282824029217,2.79
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.5897941529526577,3.71
F7g,0.3897932471326358,7.19
F7h,0.6517762616791791,1.1911111111111112
F7lA1,0.0,1.0
F7mA1,0.5278631032590864,1.1066666666666665
F7n,0.0,5.0
