Variable,Standard_Deviation,Mean
F1A1_1,0.49856938190328987,2.42
F1A2_1,0.8703740692415896,4.24
F1A3_1,0.8762163557254661,4.26
F1A4_1,0.9035079029052512,3.4
F1A5_1,1.1058287131636357,5.04
F1A6_1,0.9348141799418792,4.06
F1A7_1,1.36859826994257,5.38
F1A8_1,0.9648939880439018,5.74
F1A9_1,0.9899494936611665,3.86
F1A10_1,0.6518419740885619,5.06
F1A11_1,1.0659861774958646,3.92
F1A12_1,0.49856938190328987,1.42
F1A13_1,0.841766849294642,3.84
F1A14_1,0.63277813115286,3.74
F1A15_1,0.9380831519646858,3.76
F1A16_1,0.5955618167335952,2.82
F1A17_1,0.631163486696415,5.36
F1A19_1,0.7886956423909863,3.52
F2A1,0.44994330708638924,4.04
F2A2,0.37307328163430276,2.06
F2A3,0.6337449432233953,2.92
F2A4,0.48191793695522855,4.18
F2A5,0.5646020812962715,3.74
F2A6,0.5303060340934452,3.38
F2A7,0.4184519575964803,3.22
F2A8,0.45175395145262565,3.2
F2A9,0.6023762469230862,3.62
F2A10,0.7045044574821688,3.56
F2A11,0.45175395145262565,3.8
F2A12,0.49856938190328987,3.58
F2A14,0.5439837932759934,3.9
F3A1_1,0.6580738746446297,5.34
F3A2_1,0.5573259772323188,2.34
F3A3_1,0.857142857142857,3.4
F3A4_1,0.4314191105869,1.76
F3A5_1,0.328260722659316,1.88
F3A6_1,0.0,7.0
F3A7_1,0.8715456595811225,4.66
F3A8_1,0.9833304508201728,4.82
F3A9_1,0.8332380897952963,4.86
F3A10_1,0.5345224838248488,2.2
F3A11_1,0.5841442371503106,2.84
F3A12_1,0.4629100498862757,2.1
F3A13_1,0.6942915931555924,4.26
F3A14_1,0.8715456595811225,4.34
F3A15_1,0.8864052604279183,4.5
F3A16_1,0.5252793231671496,2.36
F3A17_1,0.328260722659316,1.88
F3A18_1,0.5436085025840128,6.52
F3A19_1,0.4280949732506199,1.98
F3A20_1,0.5674864018868916,2.62
F3A21_1,0.5480950312357393,4.16
F3A22_1,0.4280949732506199,5.98
F3A23_1,1.1399964196148573,5.08
F3A24_1,0.9233921492109892,3.62
F3A25_1,0.7295511619887831,4.28
F3A26_1,0.0,7.0
F3A27_1,0.5050762722761054,1.5
F3A28_1,1.1349728037737832,3.76
F3A29_1,1.202208851426814,1.94
F3A30_1,0.8081220356417685,3.0
F3A31_1,0.5345224838248488,6.0
F3A32_1,0.7230886134196435,2.26
F3A33_1,0.3703280399090206,6.84
F3A34_1,0.27404751561786966,6.92
F3A35_1,0.0,7.0
F3A36_1,1.3303367687797505,4.16
F3B1,0.14142135623730948,2.02
F3B2,0.0,2.0
F3B3,1.6035674514745464,2.0
F3_USA,1.2330483215451478,6.9
F3_CHINA,1.0821369636803215,7.18
F3_Deutschland,1.2719902451172609,6.12
F3_Russland,0.6180945043652555,10.84
F3_Ukraine,1.5486663123277316,5.64
F3_EU,1.7384017994487153,5.72
F3_NATO,1.0101525445522108,6.8
F3B_Hamas,0.4242640687119286,10.94
F3B_Israel,1.1255837487766975,6.28
F3B_Deutschland,2.181929496232775,5.12
F3B_USA,1.381510560427038,6.64
F3B_UN,2.305716055938425,5.5
F3B_Iran,0.8283250865328128,10.74
F3B_Katar,1.1691615694634359,6.98
F5A1_1,0.0,1.0
F5A2_1,0.3030457633656632,2.1
F5A3_1,0.4535573676110727,2.28
F5A4_1,0.6262945776223706,3.34
F5A5_1,0.0,3.0
F5A6_1,0.14142135623730948,2.98
F5A7_1,0.23989793748209526,3.06
F5A8_1,0.3030457633656632,2.9
F5A9_1,0.0,3.0
F5A10_1,0.4903143514780146,2.62
F5A11_1,0.4444671196029727,4.08
F5A12_1,0.49856938190328987,3.58
F5A13_1,0.19794866372215741,2.96
F5A14_1,0.4535573676110727,3.28
F5A15_1,0.5050762722761054,3.5
F5A16_1,0.328260722659316,4.12
F5aA1_1,1.2453996981544782,4.4
F5aA2_1,1.4591023239775662,4.56
F5aA3_1,1.3881422029137376,5.54
F5bA1_1,1.0926470386270253,3.5
F5bA2_1,0.9258200997725514,3.6
F5bA3_1,1.1780301787479028,2.4
F5bA4_1,1.0758954505007274,5.16
F5bA5_1,1.1473127431577865,5.1
F5bA6_1,1.0745668325195135,4.78
F5cA1_1,0.6998542122237652,3.0
F5cA2_1,0.3030457633656632,2.1
F6a_DemPartyA1,1.2195683411664595,5.68
F6a_RepPartyA1,0.8400680244565234,7.22
F6mA1_1,1.1146519544646378,6.32
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.7001457574195912,3.86
F7g,0.42185208743524005,7.16
F7h,0.6725239292204773,1.3179999999999998
F7lA1,0.0,1.0
F7mA1,1.8814797331873012,2.233333333333333
F7n,0.0,5.0
