Variable,Standard_Deviation,Mean
F1A1_1,0.5799366608624125,2.52
F1A2_1,0.7196938124462856,4.18
F1A3_1,1.2975644374703537,4.7
F1A4_1,0.7626484465736652,3.3
F1A5_1,0.4646701704940169,5.78
F1A6_1,1.19591140208322,4.28
F1A7_1,1.3346252244716188,5.88
F1A8_1,0.8526070463643871,6.26
F1A9_1,0.7239348262468529,4.08
F1A10_1,0.8154127538760193,5.22
F1A11_1,1.1491345456828077,4.03
F1A12_1,0.3703280399090206,1.16
F1A13_1,0.40203563655629393,3.96
F1A14_1,0.8808622862553139,3.86
F1A15_1,0.8329931278350429,3.8
F1A16_1,0.8253632471802451,3.18
F1A17_1,0.9071147352221454,5.44
F1A19_1,0.6776309271789385,3.5
F2A1,0.6223720260226275,4.02
F2A2,0.4522054797526976,1.86
F2A3,0.6262945776223706,2.66
F2A4,0.4314191105869,4.76
F2A5,0.5283783431116266,4.08
F2A6,0.5345224838248488,3.8
F2A7,0.5272183453498839,4.26
F2A8,0.6824326235712106,3.94
F2A9,0.552914356581818,3.98
F2A10,0.7930823361018292,4.06
F2A11,0.42185208743524005,3.84
F2A12,0.5728553615932407,3.72
F2A14,0.6776309271789385,4.1
F3A1_1,0.542481072744215,5.54
F3A2_1,0.4314191105869,2.24
F3A3_1,1.1082252773268269,4.42
F3A4_1,0.49856938190328987,1.58
F3A5_1,0.4629100498862757,1.3
F3A6_1,0.0,7.0
F3A7_1,1.1428571428571428,5.2
F3A8_1,0.9310954706743042,5.48
F3A9_1,0.8806305718527109,4.6
F3A10_1,0.6809357307321705,2.16
F3A11_1,0.46991097723995795,2.94
F3A12_1,0.6064281507654607,2.14
F3A13_1,0.24660966430902953,4.02
F3A14_1,0.568653978214147,3.91
F3A15_1,0.282842712474619,3.96
F3A16_1,0.7637180802642092,3.78
F3A17_1,0.3499271061118826,2.0
F3A18_1,0.762648446573665,6.1
F3A19_1,0.47979587496419046,2.12
F3A20_1,0.49856938190328987,2.42
F3A21_1,0.6197431989566818,3.94
F3A22_1,0.5225526045191966,6.18
F3A23_1,1.6283207827171435,4.96
F3A24_1,1.1036118809044553,2.92
F3A25_1,0.5714285714285714,4.0
F3A26_1,0.0,7.0
F3A27_1,0.27404751561786966,1.08
F3A28_1,0.9940640146922743,3.54
F3A29_1,0.676425177242955,1.54
F3A30_1,0.5771145679064045,2.44
F3A31_1,0.5252793231671495,6.36
F3A32_1,0.5714285714285714,2.2
F3A33_1,0.19794866372215744,6.96
F3A34_1,0.0,7.0
F3A35_1,0.0,7.0
F3A36_1,1.4775876644458186,3.98
F3B1,0.23989793748209526,2.06
F3B2,0.0,2.0
F3B3,1.5419309389230644,1.5
F3_USA,1.4383947969305,5.82
F3_CHINA,1.203566129704317,7.02
F3_Deutschland,1.3200185527453152,6.18
F3_Russland,1.870174061526938,10.18
F3_Ukraine,1.6904292414674338,5.14
F3_EU,1.683533698589284,5.32
F3_NATO,1.5722075991082975,6.76
F3B_Hamas,0.565685424949238,10.92
F3B_Israel,2.34955488619979,5.1
F3B_Deutschland,2.390457218668787,5.2
F3B_USA,2.0347992931159835,5.68
F3B_UN,2.6515301704672267,5.3
F3B_Iran,0.0,11.0
F3B_Katar,1.493386782328226,6.88
F5A1_1,0.0,1.0
F5A2_1,0.40406101782088427,2.2
F5A3_1,0.5034574339058885,2.54
F5A4_1,0.8703740692415896,3.24
F5A5_1,0.0,3.0
F5A6_1,0.0,3.0
F5A7_1,0.19794866372215741,3.04
F5A8_1,0.0,3.0
F5A9_1,0.0,3.0
F5A10_1,0.19794866372215741,2.96
F5A11_1,0.7295511619887832,4.28
F5A12_1,0.501426536422407,3.56
F5A13_1,0.0,3.0
F5A14_1,0.47121207149916117,3.32
F5A15_1,0.49031435147801467,3.62
F5A16_1,0.4629100498862757,4.3
F5aA1_1,1.3576690709161967,4.56
F5aA2_1,1.5049577931568958,3.98
F5aA3_1,1.5311726865113444,5.68
F5bA1_1,1.4929767552901603,3.66
F5bA2_1,1.1821806208901258,4.48
F5bA3_1,1.2663622978388749,2.78
F5bA4_1,1.2121830534626528,5.6
F5bA5_1,1.2453996981544782,4.6
F5bA6_1,0.9957050624700928,4.78
F5cA1_1,0.6144518047887592,3.1
F5cA2_1,0.2466096643090295,2.02
F6a_DemPartyA1,1.0682810911908525,5.04
F6a_RepPartyA1,0.823382768627975,7.34
F6mA1_1,1.159213315228945,6.59
F7d,0.14142135623730948,1.02
F7e,0.6064281507654607,1.14
F7f,0.6869037302955033,1.24
einkommen,0.6809357307321705,3.84
F7g,0.5259695722470125,7.333333333333334
F7h,1.1238473687130586,2.2655000000000003
F7lA1,0.0,1.0
F7mA1,2.675677293619662,3.1439999999999997
F7n,0.9637711737147188,1.5166666666666666
