Variable,Standard_Deviation,Mean
F1A1_1,0.5050762722761054,2.5
F1A2_1,0.7866228513106404,4.44
F1A3_1,0.8332380897952962,4.14
F1A4_1,0.7010196655077312,3.28
F1A5_1,0.4952838806674205,2.86
F1A6_1,0.6353530273696311,3.38
F1A7_1,0.8843307166024093,4.56
F1A8_1,0.5771145679064045,5.56
F1A9_1,0.6223720260226275,2.98
F1A10_1,0.48487322138506117,5.36
F1A11_1,0.6951728606055109,4.08
F1A12_1,0.23989793748209526,1.06
F1A13_1,0.710274451123203,2.84
F1A14_1,0.9178501945262293,3.88
F1A15_1,0.6262945776223706,2.66
F1A16_1,0.3703280399090206,2.16
F1A17_1,0.3880879344916036,5.82
F1A19_1,0.3642156795423418,5.1
F2A1,0.46991097723995795,4.06
F2A2,0.4314191105869,2.24
F2A3,0.5499536158548617,2.94
F2A4,0.27404751561786966,4.08
F2A5,0.23989793748209523,4.06
F2A6,0.27404751561786966,3.92
F2A7,0.2398979374820952,4.06
F2A8,0.27404751561786966,4.08
F2A9,0.4535573676110727,4.28
F2A10,0.5329930887479323,3.96
F2A11,0.40406101782088427,4.2
F2A12,0.5046720495044483,4.48
F2A14,0.328260722659316,4.12
F3A1_1,0.4535573676110727,5.72
F3A2_1,0.19794866372215741,1.96
F3A3_1,0.7570080742566726,4.72
F3A4_1,0.4948716593053935,1.6
F3A5_1,0.4040610178208843,1.2
F3A6_1,0.0,7.0
F3A7_1,0.7082603003566023,6.22
F3A8_1,0.565685424949238,5.92
F3A9_1,0.40406101782088427,2.2
F3A10_1,0.0,1.0
F3A11_1,0.3505098327538656,1.86
F3A12_1,0.4903143514780146,1.62
F3A13_1,0.8270922757788646,3.36
F3A14_1,0.6809357307321705,3.16
F3A15_1,0.3642156795423418,4.9
F3A16_1,0.14142135623730948,1.98
F3A17_1,0.328260722659316,1.88
F3A18_1,0.9889181885643874,3.96
F3A19_1,0.0,1.0
F3A20_1,0.23989793748209526,2.06
F3A21_1,0.6700593942604899,4.0
F3A22_1,0.4965184913423648,5.72
F3A23_1,1.063110568865089,4.18
F3A24_1,0.9581018649775551,4.02
F3A25_1,0.0,2.0
F3A26_1,0.14142135623730948,6.98
F3A27_1,0.328260722659316,1.12
F3A28_1,0.5869325309764039,2.32
F3A29_1,1.0421719862765415,3.34
F3A30_1,0.3880879344916036,2.18
F3A31_1,0.501426536422407,6.44
F3A32_1,0.4948716593053935,5.4
F3A33_1,0.27404751561786966,6.92
F3A34_1,0.0,7.0
F3A35_1,0.0,7.0
F3A36_1,1.1856282240712246,3.32
F3B1,0.0,2.0
F3B2,0.0,2.0
F3B3,0.614451804788759,2.5
F3_USA,1.2229105462304397,6.12
F3_CHINA,1.0583005244258363,6.68
F3_Deutschland,1.3767752917893437,5.32
F3_Russland,1.050558646334299,9.28
F3_Ukraine,1.359021256460032,5.7
F3_EU,1.539148982989215,4.72
F3_NATO,1.1501552690211627,5.94
F3B_Hamas,0.8734169352933013,8.18
F3B_Israel,0.9722685444099174,6.56
F3B_Deutschland,1.6719779316969565,5.02
F3B_USA,1.0926470386270253,6.9
F3B_UN,1.3433129925368723,5.54
F3B_Iran,0.9495433918790781,8.58
F3B_Katar,1.4658006101006469,6.12
F5A1_1,0.4314191105869,1.76
F5A2_1,0.4314191105869,2.24
F5A3_1,0.5799366608624126,3.52
F5A4_1,0.0,4.0
F5A5_1,0.38808793449160356,3.82
F5A6_1,0.4314191105869,3.76
F5A7_1,0.23989793748209526,3.94
F5A8_1,0.4712120714991612,2.32
F5A9_1,0.670363897522861,3.14
F5A10_1,0.0,2.0
F5A11_1,0.3703280399090206,3.84
F5A12_1,0.4430874976934521,2.26
F5A13_1,0.0,2.0
F5A14_1,0.4932193286180591,2.96
F5A15_1,0.0,2.0
F5A16_1,0.0,4.0
F5aA1_1,0.6802693877496598,2.4266666666666667
F5aA2_1,1.006914867811777,2.92
F5aA3_1,0.8807335635578585,3.4266666666666663
F5bA1_1,0.614451804788759,1.7
F5bA2_1,0.7253429871306346,2.38
F5bA3_1,0.3505098327538656,1.14
F5bA4_1,0.8806305718527109,4.4
F5bA5_1,0.8253632471802452,4.18
F5bA6_1,1.170382808472231,5.24
F5cA1_1,0.5436085025840128,2.52
F5cA2_1,0.0,2.0
F6a_DemPartyA1,0.27404751561786966,8.08
F6a_RepPartyA1,0.37742413753208304,3.98
F6mA1_1,0.6701355330476525,2.57
F7d,0.27404751561786966,1.92
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.5529143565818179,4.02
F7g,0.27404751561786966,7.08
F7h,0.3136356914300021,1.06
F7lA1,0.0,2.0
F7mA1,0.96421222530079,1.35
F7n,0.0,5.0
