Variable,Standard_Deviation,Mean
F1A1_1,0.4535573676110727,2.28
F1A2_1,0.8369039151929606,4.44
F1A3_1,1.0909647481163876,4.56
F1A4_1,0.835195198985341,3.42
F1A5_1,0.9010198303555131,3.62
F1A6_1,0.8687311883149013,4.02
F1A7_1,1.1677643038677603,5.06
F1A8_1,0.4733726150223112,6.02
F1A9_1,0.8290638930598234,3.92
F1A10_1,0.7071067811865476,4.9
F1A11_1,0.6951728606055109,3.92
F1A12_1,0.38808793449160356,1.82
F1A13_1,0.5650537269018887,3.61
F1A14_1,0.7889543583705186,4.1
F1A15_1,0.6776309271789385,3.5
F1A16_1,0.6809357307321705,2.84
F1A17_1,0.5996597674804387,5.26
F1A19_1,0.7309485031694876,3.42
F2A1,0.40406101782088427,4.0
F2A2,0.4314191105869,2.24
F2A3,0.5714285714285714,2.8
F2A4,0.23989793748209523,3.94
F2A5,0.4785181206984065,3.66
F2A6,0.48487322138506117,3.36
F2A7,0.5046720495044483,3.48
F2A8,0.49856938190328987,3.42
F2A9,0.4712120714991612,3.68
F2A10,0.5405967979549857,3.44
F2A11,0.501426536422407,3.56
F2A12,0.5046720495044484,3.48
F2A14,0.3880879344916036,3.82
F3A1_1,0.5602477586036451,5.18
F3A2_1,0.47638091430094476,2.24
F3A3_1,0.7743331561638658,2.82
F3A4_1,0.3703280399090206,1.84
F3A5_1,0.328260722659316,1.88
F3A6_1,0.3030457633656632,6.9
F3A7_1,0.8121525944886798,5.44
F3A8_1,0.9189612592043082,5.18
F3A9_1,0.6543418566056449,5.02
F3A10_1,0.5955618167335952,2.18
F3A11_1,0.7239348262468529,2.92
F3A12_1,0.328260722659316,2.12
F3A13_1,0.7782764841072135,4.08
F3A14_1,0.7329003050503234,3.44
F3A15_1,0.7082603003566024,4.22
F3A16_1,0.5788799882672803,2.54
F3A17_1,0.19794866372215744,2.04
F3A18_1,0.5115003939990902,6.06
F3A19_1,0.41649656391752143,2.1
F3A20_1,0.6180945043652553,2.84
F3A21_1,0.6824326235712106,3.94
F3A22_1,0.5050762722761054,5.9
F3A23_1,0.8843307166024093,4.56
F3A24_1,0.9563962973323455,2.94
F3A25_1,0.7795864942652716,4.62
F3A26_1,0.19794866372215741,6.96
F3A27_1,0.4535573676110727,1.72
F3A28_1,1.1668901632378363,4.16
F3A29_1,0.67005939426049,1.8
F3A30_1,0.676425177242955,2.54
F3A31_1,0.34758643030275543,5.96
F3A32_1,0.8437041748704801,3.32
F3A33_1,0.4903143514780146,6.38
F3A34_1,0.47121207149916117,6.68
F3A35_1,0.0,7.0
F3A36_1,1.4321384039831013,3.7
F3B1,0.0,2.0
F3B2,0.0,2.0
F3B3,1.3885831863111848,2.52
F3_USA,1.135871507536241,6.34
F3_CHINA,1.2163847404233143,6.7
F3_Deutschland,1.3997084244475304,5.8
F3_Russland,1.3093073414159542,9.4
F3_Ukraine,1.3944496390757062,5.88
F3_EU,1.3437686875776966,5.52
F3_NATO,1.2866663141940233,6.24
F3B_Hamas,1.3726185313673502,9.44
F3B_Israel,1.1899236813119312,5.82
F3B_Deutschland,1.6442850937072182,5.48
F3B_USA,1.3708332041023037,6.28
F3B_UN,1.405673634720001,6.06
F3B_Iran,1.3678524804098082,9.08
F3B_Katar,1.1890658312391322,6.88
F5A1_1,0.4848732213850611,1.36
F5A2_1,0.0,2.0
F5A3_1,0.27404751561786966,2.08
F5A4_1,0.47121207149916117,3.68
F5A5_1,0.3030457633656632,2.9
F5A6_1,0.3703280399090206,2.84
F5A7_1,0.14142135623730948,3.02
F5A8_1,0.4430874976934521,2.26
F5A9_1,0.19794866372215741,2.96
F5A10_1,0.3030457633656632,2.1
F5A11_1,0.4314191105869,3.76
F5A12_1,0.4629100498862757,3.3
F5A13_1,0.5034574339058885,2.46
F5A14_1,0.3505098327538656,3.14
F5A15_1,0.3703280399090206,3.16
F5A16_1,0.38808793449160356,3.82
F5aA1_1,1.0101525445522108,4.2
F5aA2_1,1.0143863129186705,3.46
F5aA3_1,0.9843215373488933,3.626666666666667
F5bA1_1,0.9089127840335353,2.48
F5bA2_1,0.8478062928547309,2.66
F5bA3_1,0.6060915267313265,1.4
F5bA4_1,0.8630747123996124,4.3
F5bA5_1,0.7284313590846835,4.2
F5bA6_1,1.1214058232451638,5.26
F5cA1_1,0.6998542122237652,3.0
F5cA2_1,0.4314191105869,2.24
F6a_DemPartyA1,1.1457107231864814,5.56
F6a_RepPartyA1,0.912721876855045,6.94
F6mA1_1,0.9354688882139943,6.18
F7d,0.0,2.0
F7e,0.0,2.0
F7f,0.0,2.0
einkommen,0.5499536158548617,4.06
F7g,0.27404751561786966,7.08
F7h,0.5727069034671326,1.2033333333333334
F7lA1,0.0,2.0
F7mA1,1.6836220874452004,2.415
F7n,0.0,5.0
