Variable,Standard_Deviation,Mean
F1A1_1,0.4948716593053935,2.4
F1A2_1,0.5115003939990902,4.06
F1A3_1,0.762648446573665,4.9
F1A4_1,0.9484681527255905,3.72
F1A5_1,0.5554920598635309,2.76
F1A6_1,0.7889543583705186,3.7
F1A7_1,0.8571428571428572,5.0
F1A8_1,0.40456577881446565,5.86
F1A9_1,0.7284313590846836,3.6
F1A10_1,0.7354021529276429,4.1
F1A11_1,0.49528388066742046,3.86
F1A12_1,0.5046720495044484,1.52
F1A13_1,0.5174505793221381,3.24
F1A14_1,0.6667006794044591,3.62
F1A15_1,0.59795570104161,3.36
F1A16_1,0.40203563655629393,2.96
F1A17_1,0.536047515408392,4.72
F1A19_1,0.6091144458665099,3.42
F2A1,0.19794866372215741,3.96
F2A2,0.5050762722761054,2.5
F2A3,0.488228785446716,2.92
F2A4,0.1414213562373095,3.98
F2A5,0.4430874976934521,3.74
F2A6,0.5046720495044483,3.52
F2A7,0.4903143514780146,3.62
F2A8,0.4535573676110727,3.28
F2A9,0.35050983275386566,3.86
F2A10,0.5646020812962715,3.26
F2A11,0.5329930887479323,4.04
F2A12,0.19794866372215741,3.96
F2A14,0.4629100498862757,3.7
F3A1_1,0.34046786536608525,4.92
F3A2_1,0.4785181206984065,2.34
F3A3_1,0.4948716593053935,3.0
F3A4_1,0.1414213562373095,1.98
F3A5_1,0.0,2.0
F3A6_1,0.49856938190328987,6.58
F3A7_1,0.6468132241526727,5.1
F3A8_1,0.6272713828600043,4.88
F3A9_1,0.7917946548886295,3.84
F3A10_1,0.328260722659316,2.12
F3A11_1,0.49528388066742046,2.86
F3A12_1,0.23989793748209526,2.06
F3A13_1,0.5841442371503106,3.84
F3A14_1,0.4763809143009448,3.24
F3A15_1,0.6809357307321705,4.16
F3A16_1,0.6518419740885619,3.06
F3A17_1,0.0,2.0
F3A18_1,0.5674864018868916,5.62
F3A19_1,0.0,2.0
F3A20_1,0.4948716593053935,2.4
F3A21_1,0.5379477252503637,3.58
F3A22_1,0.6455499158682858,5.54
F3A23_1,0.7295511619887831,4.28
F3A24_1,0.464670170494017,2.22
F3A25_1,0.5802884574739972,3.7
F3A26_1,0.328260722659316,6.88
F3A27_1,0.4314191105869,1.76
F3A28_1,0.9595917499283808,3.76
F3A29_1,0.5646020812962715,2.26
F3A30_1,0.5746338674605362,2.58
F3A31_1,0.4430874976934521,5.74
F3A32_1,0.6776309271789385,2.9
F3A33_1,0.501426536422407,6.44
F3A34_1,0.48487322138506117,6.64
F3A35_1,0.0,7.0
F3A36_1,0.9354688882139943,4.32
F3B1,0.0,2.0
F3B2,0.0,2.0
F3B3,0.9791708278967882,2.98
F3_USA,1.1752550743544647,5.92
F3_CHINA,1.0372648491812198,7.16
F3_Deutschland,1.311798889514171,5.56
F3_Russland,0.7938539422542745,8.68
F3_Ukraine,1.355261854357877,5.8
F3_EU,1.0999072317097234,5.12
F3_NATO,1.0720950308167838,5.56
F3B_Hamas,0.8873257230439734,8.22
F3B_Israel,0.9775020225460572,5.94
F3B_Deutschland,1.4068346290411633,5.02
F3B_USA,1.164964745021435,5.9
F3B_UN,1.164964745021435,5.9
F3B_Iran,0.7938539422542745,8.32
F3B_Katar,1.2330483215451478,6.1
F5A1_1,0.328260722659316,1.12
F5A2_1,0.0,2.0
F5A3_1,0.0,2.0
F5A4_1,0.501426536422407,3.56
F5A5_1,0.4430874976934521,2.74
F5A6_1,0.5046720495044483,2.52
F5A7_1,0.14142135623730948,2.98
F5A8_1,0.3703280399090206,2.16
F5A9_1,0.328260722659316,2.88
F5A10_1,0.27404751561786966,2.08
F5A11_1,0.23989793748209523,3.06
F5A12_1,0.23989793748209526,2.94
F5A13_1,0.0,2.0
F5A14_1,0.328260722659316,2.88
F5A15_1,0.4903143514780146,2.62
F5A16_1,0.23989793748209526,3.94
F5aA1_1,0.7295511619887831,3.28
F5aA2_1,0.8071112509614591,2.96
F5aA3_1,1.0946996606096009,4.16
F5bA1_1,0.5816935163286381,2.22
F5bA2_1,0.7354021529276429,2.9
F5bA3_1,0.8919137873593124,1.98
F5bA4_1,0.7174216873994125,3.66
F5bA5_1,0.5938459911664722,3.88
F5bA6_1,0.9216223495022464,4.74
F5cA1_1,0.488228785446716,3.08
F5cA2_1,0.4430874976934521,2.26
F6a_DemPartyA1,0.8722478584270713,6.88
F6a_RepPartyA1,0.4763809143009448,6.24
F6mA1_1,0.4874967294500444,5.39
F7d,0.0,1.0
F7e,0.4314191105869,1.24
F7f,0.328260722659316,1.12
einkommen,0.4535573676110727,3.28
F7g,0.1414213562373095,6.98
F7h,0.0,1.0
F7lA1,0.0,2.0
F7mA1,1.8685728848108496,5.873333333333334
F7n,0.0,8.0
