Variable,Standard_Deviation,Mean
F1A1_1,0.4763809143009448,2.24
F1A2_1,0.9171829096728298,4.34
F1A3_1,0.8992059989632124,4.74
F1A4_1,1.1008345628176277,3.82
F1A5_1,1.1421426337889533,4.04
F1A6_1,1.049003414324904,4.04
F1A7_1,1.0497813183356477,5.6
F1A8_1,0.5910903104450629,6.24
F1A9_1,0.8329931278350429,3.8
F1A10_1,0.5674864018868916,5.38
F1A11_1,0.895339406628137,3.88
F1A12_1,0.4314191105869,1.76
F1A13_1,1.0333223611442928,3.56
F1A14_1,0.9348141799418792,3.94
F1A15_1,0.876216355725466,3.26
F1A16_1,0.8630747123996123,2.9
F1A17_1,0.4948716593053935,5.6
F1A19_1,0.8864052604279183,3.7
F2A1,0.5283783431116266,4.08
F2A2,0.3505098327538656,2.14
F2A3,0.6180945043652553,2.84
F2A4,0.2398979374820952,4.06
F2A5,0.4785181206984065,3.66
F2A6,0.4948716593053935,3.6
F2A7,0.4903143514780146,3.38
F2A8,0.6337449432233953,2.92
F2A9,0.3505098327538656,3.86
F2A10,0.5728553615932406,3.72
F2A11,0.5955618167335952,4.18
F2A12,0.40406101782088427,3.8
F2A14,0.5050762722761054,3.5
F3A1_1,0.6417450698633201,5.42
F3A2_1,0.38808793449160356,2.18
F3A3_1,0.7827215732458699,2.86
F3A4_1,0.30304576336566325,1.9
F3A5_1,0.23989793748209523,1.94
F3A6_1,0.41845195759648035,6.78
F3A7_1,0.8204030865920703,4.98
F3A8_1,0.8808622862553139,5.14
F3A9_1,0.6605501726683939,5.18
F3A10_1,0.48822878544671605,1.92
F3A11_1,0.8806305718527109,3.0
F3A12_1,0.36421567954234174,2.1
F3A13_1,0.6700593942604899,4.2
F3A14_1,0.7951382885757569,4.02
F3A15_1,0.7420325093268887,4.02
F3A16_1,0.8946553321057814,3.34
F3A17_1,0.1414213562373095,2.02
F3A18_1,0.42185208743524005,5.84
F3A19_1,0.40406101782088427,2.0
F3A20_1,0.6207303137828694,2.68
F3A21_1,0.5717856027482714,3.86
F3A22_1,0.5717856027482714,5.86
F3A23_1,1.2879345908096738,4.88
F3A24_1,0.676425177242955,2.46
F3A25_1,0.9258200997725514,4.6
F3A26_1,0.0,7.0
F3A27_1,0.4948716593053935,1.6
F3A28_1,0.9987747595970592,3.68
F3A29_1,1.1111677990074318,2.1
F3A30_1,1.063110568865089,3.18
F3A31_1,0.48191793695522855,6.18
F3A32_1,0.7951382885757569,3.02
F3A33_1,0.501426536422407,6.56
F3A34_1,0.40406101782088427,6.8
F3A35_1,0.0,7.0
F3A36_1,1.3944496390757064,4.12
F3B1,0.0,2.0
F3B2,0.0,2.0
F3B3,1.7256764423475999,3.04
F3_USA,1.417816660091372,5.9
F3_CHINA,1.2282391577259815,6.96
F3_Deutschland,1.3626205245326195,5.98
F3_Russland,1.355261854357877,9.4
F3_Ukraine,1.5964245765370277,5.68
F3_EU,1.5608736433844492,5.82
F3_NATO,1.4461772268392874,6.48
F3B_Hamas,1.4291427429028343,9.28
F3B_Israel,1.0690449676496976,5.8
F3B_Deutschland,1.675270310202177,5.64
F3B_USA,1.0692358514950988,6.14
F3B_UN,1.451389200815859,6.34
F3B_Iran,1.3192453006417368,9.12
F3B_Katar,1.2918899302327325,6.62
F5A1_1,0.40406101782088427,1.2
F5A2_1,0.0,2.0
F5A3_1,0.3703280399090206,2.16
F5A4_1,0.23989793748209526,3.94
F5A5_1,0.34758643030275543,2.96
F5A6_1,0.19794866372215741,3.04
F5A7_1,0.3703280399090206,3.16
F5A8_1,0.40406101782088427,2.8
F5A9_1,0.4314191105869,3.24
F5A10_1,0.4903143514780146,2.38
F5A11_1,0.19794866372215741,3.96
F5A12_1,0.49856938190328987,3.42
F5A13_1,0.4430874976934521,2.26
F5A14_1,0.38808793449160356,3.18
F5A15_1,0.4184519575964803,3.22
F5A16_1,0.0,4.0
F5aA1_1,0.87970310390518,3.96
F5aA2_1,0.9665845613735583,3.62
F5aA3_1,1.0421719862765415,4.34
F5bA1_1,1.1255837487766978,3.28
F5bA2_1,0.8290638930598233,3.08
F5bA3_1,1.137307956428294,2.18
F5bA4_1,0.9267014137272489,4.28
F5bA5_1,0.9249379460707797,4.04
F5bA6_1,1.1065666703449761,4.8
F5cA1_1,0.6223720260226275,2.98
F5cA2_1,0.38808793449160356,2.18
F6a_DemPartyA1,1.026982900320653,5.92
F6a_RepPartyA1,0.8687311883149013,7.02
F6mA1_1,1.1486016342865417,6.11
F7d,0.0,1.0
F7e,0.48487322138506117,1.36
F7f,0.4712120714991612,1.32
einkommen,0.808374534331149,3.36
F7g,0.4677829215330595,6.833333333333332
F7h,0.5766527071567442,1.2966666666666666
F7lA1,0.0,2.0
F7mA1,1.2834071451518247,6.2589999999999995
F7n,0.0,8.0
