Variable,Standard_Deviation,Mean
F1A1_1,0.6072790781740127,2.57
F1A2_1,0.6307763374436202,4.19
F1A3_1,1.101468257932258,4.83
F1A4_1,1.1341500325337455,3.7633333333333336
F1A5_1,1.114232987985525,4.97
F1A6_1,0.9468715100612418,3.82
F1A7_1,1.2102257907706582,5.7
F1A8_1,0.5257029925382167,6.08
F1A9_1,0.8221061889187953,3.97
F1A10_1,0.674199862463242,5.5
F1A11_1,0.8438727464026861,4.0
F1A12_1,0.4408440022768081,1.74
F1A13_1,0.4578165130223676,4.05
F1A14_1,0.5724305789148302,3.66
F1A15_1,0.6971080231639829,3.33
F1A16_1,0.9133687230480494,3.29
F1A17_1,0.7865022940753946,5.26
F1A19_1,0.708961397134049,3.68
F2A1,0.4595781992350391,4.03
F2A2,0.4379705261980329,1.99
F2A3,0.5545040554177647,2.66
F2A4,0.3684529491774707,4.16
F2A5,0.3775251680686369,3.83
F2A6,0.47937248544110217,3.65
F2A7,0.32659863237109044,4.12
F2A8,0.4292346959909279,3.76
F2A9,0.3942772444036626,3.81
F2A10,0.8042814724141585,3.14
F2A11,0.4878317312145634,3.62
F2A12,0.492365963917331,3.4
F2A14,0.3319668962442192,3.97
F3A1_1,0.5359782899266791,5.66
F3A2_1,0.23868325657594203,2.06
F3A3_1,0.7142842712828137,2.93
F3A4_1,0.49604496374885826,1.58
F3A5_1,0.4725815626252608,1.67
F3A6_1,0.30151134457776363,6.9
F3A7_1,0.9436657514740326,5.28
F3A8_1,0.7949334512518592,5.12
F3A9_1,0.722229992188196,5.06
F3A10_1,0.3938927711338647,2.08
F3A11_1,0.5804909103247845,2.92
F3A12_1,0.40898988651643614,2.12
F3A13_1,0.538305421923955,4.075
F3A14_1,0.6578200914591107,3.46
F3A15_1,0.7630275217039459,3.9277777777777776
F3A16_1,0.8427773949114543,4.223
F3A17_1,0.23868325657594203,2.06
F3A18_1,0.6407066805528491,5.56
F3A19_1,0.35887028128263665,2.05
F3A20_1,0.6620293258480535,2.69
F3A21_1,0.26571800956288344,4.01
F3A22_1,0.3458264877015056,6.04
F3A23_1,0.8348471099367218,4.3
F3A24_1,0.5706632681858591,2.24
F3A25_1,0.7338152686370382,4.37
F3A26_1,0.0,7.0
F3A27_1,0.38612291966536905,1.18
F3A28_1,1.0859525446781408,4.05
F3A29_1,0.49431107042371025,1.41
F3A30_1,0.5519478821831502,2.28
F3A31_1,0.42864597716224245,6.09
F3A32_1,0.8211226608993472,3.25
F3A33_1,0.49999999999999994,6.55
F3A34_1,0.3684529491774707,6.84
F3A35_1,0.0,7.0
F3A36_1,1.324821314423766,3.68
F3B1,0.14070529413628965,2.02
F3B2,0.0,2.0
F3B3,0.9807619177934771,2.735
F3_USA,1.42828568570857,6.02
F3_CHINA,1.1705131396532935,7.06
F3_Deutschland,1.4388547634500954,5.52
F3_Russland,1.2192065643133023,9.78
F3_Ukraine,1.694047809183076,5.67
F3_EU,1.5594287998553127,5.45
F3_NATO,1.42403609079222,6.18
F3B_Hamas,1.1343578257180036,10.19
F3B_Israel,1.092860208051988,5.76
F3B_Deutschland,1.6930935167809418,5.61
F3B_USA,1.2511005256383378,6.52
F3B_UN,1.4259853938362563,6.13
F3B_Iran,1.4346364759693717,9.68
F3B_Katar,1.3651876697866026,6.57
F5A1_1,0.40936018074033237,1.79
F5A2_1,0.0,2.0
F5A3_1,0.3144660377352202,2.11
F5A4_1,0.31446603773522014,3.89
F5A5_1,0.0,3.0
F5A6_1,0.14070529413628968,3.02
F5A7_1,0.3144660377352201,3.11
F5A8_1,0.46056618647183833,2.7
F5A9_1,0.1969463855669324,3.04
F5A10_1,0.4725815626252608,2.67
F5A11_1,0.25643239997624284,3.93
F5A12_1,0.4725815626252608,3.33
F5A13_1,0.44619604333847374,2.73
F5A14_1,0.23868325657594203,3.06
F5A15_1,0.3379976689896311,3.13
F5A16_1,0.14070529413628968,4.02
F5aA1_1,0.910100449556437,3.8
F5aA2_1,0.94681816969503,2.95
F5aA3_1,0.9649933270298409,3.91
F5bA1_1,1.216510990455487,3.07
F5bA2_1,0.851854779675835,3.04
F5bA3_1,1.3361712223190318,2.65
F5bA4_1,0.9900515240137858,4.64
F5bA5_1,0.8636310472988946,3.96
F5bA6_1,0.9459643147859674,4.29
F5cA1_1,0.6327748733981465,2.94
F5cA2_1,0.3379976689896311,2.13
F6a_DemPartyA1,0.9852959356498338,5.67
F6a_RepPartyA1,0.6681045100608409,7.59
F6b_DemPartyA1,0.6374467694155991,2.235
F6b_RepPartyA1,0.6210938542262158,8.41
F6mA1_1,0.9910712498212337,6.26
F7d,0.0,1.0
F7e,0.5737329278530261,1.0366666666666666
F7f,0.6407657981515618,1.105
einkommen,0.43531017619043716,3.82
F7g,0.5120763831912405,6.98
F7h,0.7968525873809489,1.5075
F7lA1,0.0,2.0
F7mA1,2.104538129157078,4.701
F7n,1.2395497512639764,1.4025
