Variable,Standard_Deviation,Mean
F1A1_1,0.3505098327538656,2.14
F1A2_1,0.9091372900969895,4.1
F1A3_1,1.005292119186239,4.64
F1A4_1,1.1430357003370009,4.14
F1A5_1,0.5329930887479323,1.96
F1A6_1,0.7889543583705186,3.9
F1A7_1,0.8806305718527109,4.6
F1A8_1,0.9822921964383478,5.12
F1A9_1,0.9476070829586857,2.8
F1A10_1,0.6667006794044591,5.38
F1A11_1,0.8429781995389675,4.06
F1A12_1,0.6667006794044591,4.38
F1A13_1,1.058300524425836,3.68
F1A14_1,1.1577599765345605,3.92
F1A15_1,0.45220547975269754,2.14
F1A16_1,1.1337134216586569,4.02
F1A17_1,0.27404751561786966,5.92
F1A19_1,0.19794866372215741,1.96
F2A1,0.3505098327538656,4.14
F2A2,0.6207303137828695,2.68
F2A3,0.5910903104450629,3.24
F2A4,0.4430874976934521,3.74
F2A5,0.5034574339058885,3.54
F2A6,0.4848732213850612,3.36
F2A7,0.5205962045225314,2.88
F2A8,0.7602362683228612,2.56
F2A9,0.38808793449160356,3.82
F2A10,0.6749149606295838,3.44
F2A11,0.5205962045225314,2.88
F2A12,0.4314191105869,2.24
F2A14,0.4430874976934521,3.74
F3A1_1,0.3880879344916036,5.82
F3A2_1,1.2783918469255482,2.72
F3A3_1,1.0350983390135313,3.5
F3A4_1,0.3505098327538656,1.86
F3A5_1,1.0497813183356477,5.0
F3A6_1,1.6507264943604905,3.64
F3A7_1,0.24660966430902953,1.98
F3A8_1,0.31879876577744853,1.98
F3A9_1,0.23989793748209523,5.94
F3A10_1,0.47121207149916117,5.68
F3A11_1,0.3880879344916036,5.82
F3A12_1,0.6091144458665099,5.42
F3A13_1,1.2817398889233114,4.9
F3A14_1,1.3516429911445567,3.36
F3A15_1,0.6064281507654607,2.14
F3A16_1,0.4184519575964803,5.78
F3A17_1,0.31363569143000214,2.06
F3A18_1,0.35050983275386566,5.86
F3A19_1,0.48487322138506117,5.64
F3A20_1,0.8998866141727785,3.92
F3A21_1,1.0669429914193052,3.38
F3A22_1,0.2857142857142857,6.0
F3A23_1,0.42185208743524005,6.16
F3A24_1,0.0,1.0
F3A25_1,0.5283783431116266,6.08
F3A26_1,0.0,7.0
F3A27_1,0.0,1.0
F3A28_1,0.4444671196029727,2.08
F3A29_1,0.0,1.0
F3A30_1,1.5258319911792788,3.72
F3A31_1,0.6262945776223706,5.66
F3A32_1,0.3030457633656632,1.1
F3A33_1,1.9683464520002674,2.91
F3A34_1,2.13818538361244,2.14
F3A35_1,0.328260722659316,6.88
F3A36_1,0.6809357307321705,2.16
F3B1,0.4535573676110727,2.28
F3B2,0.0,2.0
F3B3,0.0,1.0
F3_USA,1.538618516324144,6.4
F3_CHINA,0.8998866141727785,8.08
F3_Deutschland,1.5551100755055172,6.5
F3_Russland,0.4184519575964803,10.78
F3_Ukraine,1.5307727806968772,5.94
F3_EU,1.2414606275657387,6.64
F3_NATO,1.229069666413568,7.14
F3B_Hamas,0.0,11.0
F3B_Israel,1.2493263490900255,1.52
F3B_Deutschland,1.8516401995451028,6.2
F3B_USA,2.1460927952244484,2.08
F3B_UN,1.4136362144974834,8.96
F3B_Iran,0.0,11.0
F3B_Katar,1.2974071473991688,9.52
F5A1_1,0.6141195788629907,3.48
F5A2_1,0.3703280399090206,1.16
F5A3_1,0.46291004988627577,1.7
F5A4_1,0.27404751561786966,4.08
F5A5_1,0.8091315576289313,2.28
F5A6_1,0.328260722659316,1.88
F5A7_1,0.0,4.0
F5A8_1,0.6468132241526726,2.3
F5A9_1,0.0,4.0
F5A10_1,0.3703280399090206,2.16
F5A11_1,0.19794866372215741,4.04
F5A12_1,0.27404751561786966,4.08
F5A13_1,0.23989793748209523,4.06
F5A14_1,0.631163486696415,3.64
F5A15_1,0.3505098327538656,4.14
F5A16_1,0.3703280399090206,4.16
F5aA1_1,1.1109841197270618,5.48
F5aA2_1,0.7130962318142373,2.0949999999999998
F5aA3_1,0.8998866141727784,3.92
F5bA1_1,0.7117096404046371,1.94
F5bA2_1,0.8571428571428572,3.6
F5bA3_1,0.9258200997725515,1.8
F5bA4_1,0.8040712731125879,4.08
F5bA5_1,0.9260405068938201,3.86
F5bA6_1,0.7835033829029764,3.72
F5cA1_1,1.0173996465579915,3.16
F5cA2_1,0.9648939880439018,2.74
F6a_DemPartyA1,1.0437373975775903,3.82
F6a_RepPartyA1,0.4430874976934521,8.26
F6mA1_1,0.3854496446637727,8.12
F7d,0.0,1.0
F7e,0.23989793748209526,1.06
F7f,0.4948716593053935,1.4
einkommen,0.5345224838248488,5.8
F7g,0.40708019567928594,7.24
F7h,0.7023123453175856,1.4533333333333334
F7lA1,0.0,4.0
F7mA1,0.9141136370805321,1.488333333333333
F7n,0.0,1.0
