Variable,Standard_Deviation,Mean
F1A1_1,0.6299497874385525,2.69
F1A2_1,0.723934826246853,3.92
F1A3_1,1.0343093919941686,4.54
F1A4_1,0.9010198303555131,3.62
F1A5_1,0.6468132241526726,2.7
F1A6_1,0.7969328960560773,3.76
F1A7_1,0.7139999428342743,3.98
F1A8_1,1.0421719862765415,4.34
F1A9_1,0.9739463170891035,3.52
F1A10_1,0.9160696881075084,4.24
F1A11_1,0.6375975315548971,3.96
F1A12_1,0.4948716593053935,1.8
F1A13_1,0.8381222939355788,3.54
F1A14_1,0.5272183453498839,3.26
F1A15_1,0.8734169352933013,3.18
F1A16_1,0.8241260058203403,3.12
F1A17_1,0.6986868148935705,5.04
F1A19_1,0.5938459911664722,3.12
F2A1,0.5439837932759934,4.1
F2A2,0.5771145679064045,2.44
F2A3,0.5802884574739973,3.3
F2A4,0.4629100498862757,3.7
F2A5,0.4903143514780146,3.62
F2A6,0.4948716593053935,3.4
F2A7,0.5046720495044483,3.52
F2A8,0.45175395145262565,3.2
F2A9,0.4848732213850612,3.64
F2A10,0.5034574339058885,3.46
F2A11,0.4712120714991612,3.68
F2A12,0.42426406871192857,3.94
F2A14,0.4280949732506199,3.98
F3A1_1,0.6391959234627742,5.14
F3A2_1,0.45175395145262565,2.2
F3A3_1,0.7420325093268887,3.02
F3A4_1,0.27404751561786966,1.92
F3A5_1,0.5554920598635309,1.76
F3A6_1,0.328260722659316,6.88
F3A7_1,0.9707981147446861,4.58
F3A8_1,0.7602362683228612,4.44
F3A9_1,0.8703740692415896,4.24
F3A10_1,0.6141195788629907,1.52
F3A11_1,0.8141603913585719,2.48
F3A12_1,0.4948716593053935,2.0
F3A13_1,0.8283250865328129,3.74
F3A14_1,0.8329931278350429,3.2
F3A15_1,0.7384484561897192,4.16
F3A16_1,0.9236683740965275,2.67
F3A17_1,0.542481072744215,1.46
F3A18_1,0.8437041748704801,4.32
F3A19_1,0.551065757771026,1.68
F3A20_1,0.7351245903010633,2.52
F3A21_1,0.6207303137828695,3.68
F3A22_1,0.903733751653412,5.14
F3A23_1,0.6892764618179896,5.88
F3A24_1,0.0,1.0
F3A25_1,1.1126180718013978,4.922767676767677
F3A26_1,0.0,7.0
F3A27_1,0.0,1.0
F3A28_1,1.0476406924170918,3.38
F3A29_1,0.0,1.0
F3A30_1,0.6262945776223706,2.34
F3A31_1,0.639195923462774,5.86
F3A32_1,0.6006798869036754,2.08
F3A33_1,0.4430874976934521,6.74
F3A34_1,0.0,7.0
F3A35_1,0.3030457633656632,6.9
F3A36_1,1.0926470386270253,3.1
F3B1,0.49856938190328987,2.42
F3B2,0.0,2.0
F3B3,1.1259916264596035,0.65
F3_USA,1.1621584422521567,6.42
F3_CHINA,0.9764575708934321,7.16
F3_Deutschland,1.4068346290411633,6.02
F3_Russland,0.7439552323595164,10.76
F3_Ukraine,1.373956004405096,5.9
F3_EU,1.790678813256274,5.76
F3_NATO,1.3516429911445567,6.64
F3B_Hamas,0.0,11.0
F3B_Israel,2.4144336387480956,2.61
F3B_Deutschland,2.166535841157586,5.8
F3B_USA,2.395233361729679,5.76
F3B_UN,1.1385633625812157,6.64
F3B_Iran,0.0,11.0
F3B_Katar,1.4383947969305,9.18
F5A1_1,0.7059513771774762,3.54
F5A2_1,0.14142135623730948,1.98
F5A3_1,0.38808793449160356,2.18
F5A4_1,0.49856938190328987,3.58
F5A5_1,0.4952838806674205,2.86
F5A6_1,0.501426536422407,2.44
F5A7_1,0.38808793449160356,3.18
F5A8_1,0.4535573676110727,2.28
F5A9_1,0.34046786536608525,2.92
F5A10_1,0.19794866372215741,2.04
F5A11_1,0.41845195759648035,3.78
F5A12_1,0.5303060340934452,3.62
F5A13_1,0.3505098327538656,2.14
F5A14_1,0.4184519575964803,3.22
F5A15_1,0.7159979477795239,2.76
F5A16_1,0.3030457633656632,4.1
F5aA1_1,0.8388524717658972,3.48
F5aA2_1,1.046081122229875,2.74
F5aA3_1,1.0690449676496976,4.2
F5bA1_1,0.8889342392059453,2.16
F5bA2_1,1.324802642213672,3.8
F5bA3_1,0.9731602213030137,1.87
F5bA4_1,1.05926428068095,4.98
F5bA5_1,0.9091372900969897,4.1
F5bA6_1,1.0427592909082661,4.12
F5cA1_1,0.6605501726683938,3.18
F5cA2_1,0.6060915267313265,2.4
F6a_DemPartyA1,0.5174505793221381,7.76
F6a_RepPartyA1,0.8485281374238571,6.12
F6mA1_1,0.8876131718587456,5.23
F7d,0.0,1.0
F7e,0.4314191105869,1.24
F7f,0.4948716593053935,1.6
einkommen,1.1577599765345605,5.08
F7g,0.47380354147934284,7.4
F7h,0.9318014999676419,1.9171794871794874
F7lA1,0.0,4.0
F7mA1,1.3935160834486022,1.8113333333333332
F7n,0.0,1.0
