Variable,Standard_Deviation,Mean
F1A1_1,0.6970052557410255,2.67
F1A2_1,1.0738068841694934,4.1
F1A3_1,1.057721849166444,4.06
F1A4_1,0.8946553321057814,3.34
F1A5_1,0.9948848769417228,3.5
F1A6_1,1.1079605275515212,4.135
F1A7_1,0.9100347604933136,4.22
F1A8_1,1.1738650619528077,4.36
F1A9_1,0.9452350965527583,3.62
F1A10_1,0.7253429871306346,4.62
F1A11_1,0.7230886134196435,3.74
F1A12_1,0.4785181206984065,1.34
F1A13_1,0.9638358739104571,3.64
F1A14_1,0.8437041748704801,3.32
F1A15_1,0.9133924207511874,3.32
F1A16_1,0.9100347604933134,3.22
F1A17_1,0.804071273112588,5.08
F1A19_1,0.7309485031694877,3.42
F2A1,0.6060915267313264,4.2
F2A2,0.6776309271789385,2.5
F2A3,0.5225526045191966,3.18
F2A4,0.5799366608624125,3.52
F2A5,0.6060915267313265,3.8
F2A6,0.6262945776223706,3.66
F2A7,0.6144518047887592,3.9
F2A8,0.6023762469230862,3.62
F2A9,0.6023762469230862,3.62
F2A10,0.7059513771774764,3.54
F2A11,0.5066899385990914,3.78
F2A12,0.6928203230275509,4.36
F2A14,0.6047431568147635,4.04
F3A1_1,0.7439552323595164,5.24
F3A2_1,0.8992059989632124,2.74
F3A3_1,0.8843307166024093,3.56
F3A4_1,0.27404751561786966,1.92
F3A5_1,0.8643152297203438,1.77
F3A6_1,0.0,7.0
F3A7_1,1.308098791750681,4.91
F3A8_1,1.178030178747903,5.2
F3A9_1,0.9971387638065798,3.84
F3A10_1,0.6144450264633982,1.354285714285714
F3A11_1,0.614451804788759,2.3
F3A12_1,0.5050762722761054,1.5
F3A13_1,0.7814168189244196,3.96
F3A14_1,0.8647293889418661,3.4093333333333335
F3A15_1,0.7117096404046374,4.06
F3A16_1,0.9337219793353252,2.84
F3A17_1,0.6337449432233953,1.58
F3A18_1,1.1536985776897124,4.66
F3A19_1,0.6230274996387579,1.64
F3A20_1,0.7677159338596802,2.32
F3A21_1,0.8437041748704801,3.68
F3A22_1,1.046081122229875,5.26
F3A23_1,0.402035636556294,5.96
F3A24_1,0.0,1.0
F3A25_1,1.008490261583993,4.392761904761905
F3A26_1,0.0,7.0
F3A27_1,0.0,1.0
F3A28_1,1.1726474494989219,3.82
F3A29_1,0.0,1.0
F3A30_1,0.565685424949238,1.92
F3A31_1,0.6700593942604899,6.0
F3A32_1,0.6388765649999399,1.8
F3A33_1,0.40406101782088427,6.8
F3A34_1,0.0,7.0
F3A35_1,0.19794866372215741,6.96
F3A36_1,1.1605769149479943,3.8
F3B1,0.5310751512983173,2.44
F3B2,0.800255061380624,2.18
F3B3,1.1444631572782704,0.58
F3_USA,1.0774118648551316,6.32
F3_CHINA,1.289834667462367,6.64
F3_Deutschland,1.0528871870107588,6.44
F3_Russland,0.762648446573665,10.7
F3_Ukraine,1.2370141800451007,5.98
F3_EU,1.8845234335047605,5.86
F3_NATO,1.1823532398033463,7.1
F3B_Hamas,0.0,11.0
F3B_Israel,2.874873555338334,4.02
F3B_Deutschland,2.5784823886486854,5.62
F3B_USA,1.4205489022464062,6.68
F3B_UN,2.3141975291840655,6.46
F3B_Iran,0.0,11.0
F3B_Katar,1.5140161485133452,8.44
F5A1_1,0.7951382885757569,4.02
F5A2_1,0.36421567954234174,2.1
F5A3_1,0.501426536422407,2.44
F5A4_1,0.4430874976934521,3.26
F5A5_1,0.2466096643090295,3.02
F5A6_1,0.36421567954234174,2.9
F5A7_1,0.3703280399090206,3.16
F5A8_1,0.4785181206984065,2.66
F5A9_1,0.23989793748209526,3.06
F5A10_1,0.328260722659316,2.12
F5A11_1,0.4629100498862757,3.7
F5A12_1,0.49856938190328987,3.42
F5A13_1,0.4314191105869,2.76
F5A14_1,0.4314191105869,3.24
F5A15_1,0.40406101782088427,3.0
F5A16_1,0.3880879344916036,4.18
F5aA1_1,0.8283250865328128,3.26
F5aA2_1,1.0580433744950748,2.973333333333333
F5aA3_1,1.3702375780893483,4.4
F5bA1_1,1.3460017966120037,3.2044444444444444
F5bA2_1,1.365705295055694,5.316363636363636
F5bA3_1,1.8051356567385801,2.8566666666666665
F5bA4_1,0.8592830423898609,6.42
F5bA5_1,1.2494896917525644,4.9
F5bA6_1,1.006306643734647,4.26
F5cA1_1,0.5996597674804387,3.26
F5cA2_1,0.8514093957572194,2.36
F6a_DemPartyA1,0.5816935163286382,7.78
F6a_RepPartyA1,0.9116032076310752,7.16
F6mA1_1,1.1492677349210725,5.16
F7d,0.45175395145262565,1.3
F7e,0.4430874976934521,1.74
F7f,0.19794866372215741,1.96
einkommen,0.7835033829029764,4.72
F7g,0.6804782824379779,7.221555555555556
F7h,0.8151836632084237,2.762166666666667
F7lA1,0.0,4.0
F7mA1,2.142389003096676,3.264166666666666
F7n,2.563481989267147,2.4766666666666666
