Variable,Standard_Deviation,Mean
F1A1_1,0.5046720495044484,2.52
F1A2_1,0.6060915267313264,4.2
F1A3_1,1.0451052090383932,4.36
F1A4_1,0.8621283582636919,3.46
F1A5_1,0.5454823740581938,3.22
F1A6_1,1.0546302185881,4.1
F1A7_1,0.9971387638065798,4.84
F1A8_1,0.7708992893275454,5.76
F1A9_1,0.7342912729083655,3.54
F1A10_1,0.6006798869036754,3.92
F1A11_1,0.7398289929270886,3.94
F1A12_1,0.4785181206984065,1.34
F1A13_1,0.7010196655077312,3.28
F1A14_1,0.5746338674605362,3.42
F1A15_1,0.6060915267313265,3.4
F1A16_1,0.4280949732506199,2.98
F1A17_1,0.7174216873994125,4.34
F1A19_1,0.4535573676110727,3.28
F2A1,0.5329930887479323,3.96
F2A2,0.47121207149916117,2.32
F2A3,0.46467017049401693,2.78
F2A4,0.3030457633656632,3.9
F2A5,0.3505098327538656,3.86
F2A6,0.4785181206984065,3.66
F2A7,0.501426536422407,3.56
F2A8,0.4948716593053935,3.4
F2A9,0.328260722659316,3.88
F2A10,0.5050762722761054,3.5
F2A11,0.501426536422407,4.44
F2A12,0.3505098327538656,3.86
F2A14,0.5499536158548617,3.94
F3A1_1,0.5329930887479323,5.04
F3A2_1,0.49856938190328987,2.58
F3A3_1,0.7196938124462856,3.18
F3A4_1,0.19794866372215741,1.96
F3A5_1,0.19794866372215741,2.04
F3A6_1,0.3703280399090206,6.84
F3A7_1,0.6180945043652553,4.84
F3A8_1,0.6907552802135191,4.82
F3A9_1,0.8533248298896045,3.92
F3A10_1,0.23989793748209526,2.06
F3A11_1,0.4430874976934521,2.74
F3A12_1,0.23989793748209526,2.06
F3A13_1,0.6869037302955033,4.24
F3A14_1,0.677329690921697,3.52
F3A15_1,0.6543418566056449,4.02
F3A16_1,0.7969328960560773,3.24
F3A17_1,0.23989793748209526,1.94
F3A18_1,0.6776309271789385,5.7
F3A19_1,0.23989793748209523,2.06
F3A20_1,0.4314191105869,2.24
F3A21_1,0.6375975315548971,3.96
F3A22_1,0.536047515408392,5.72
F3A23_1,0.859283042389861,4.42
F3A24_1,0.7559289460184545,2.6
F3A25_1,0.4733726150223112,3.98
F3A26_1,0.0,7.0
F3A27_1,0.5034574339058885,1.54
F3A28_1,0.9495433918790782,3.42
F3A29_1,0.6712765785411846,2.28
F3A30_1,0.4785181206984065,2.34
F3A31_1,0.3499271061118826,6.0
F3A32_1,0.49856938190328987,2.42
F3A33_1,0.5714285714285714,6.2
F3A34_1,0.328260722659316,6.88
F3A35_1,0.0,7.0
F3A36_1,1.244744052045255,3.96
F3B1,0.27404751561786966,2.08
F3B2,0.0,2.0
F3B3,1.2494896917525644,2.5
F3_USA,1.2330483215451478,5.9
F3_CHINA,0.9160696881075084,7.24
F3_Deutschland,1.0528871870107588,5.44
F3_Russland,1.0151907431108498,8.7
F3_Ukraine,1.2855555457561878,6.02
F3_EU,1.4229890931358797,5.66
F3_NATO,1.277912839159931,6.14
F3B_Hamas,0.9648939880439018,8.26
F3B_Israel,1.0038700623291923,5.82
F3B_Deutschland,1.6193977212506618,5.1
F3B_USA,1.125039681839839,5.86
F3B_UN,1.2204047505242024,6.02
F3B_Iran,0.8808622862553139,8.14
F3B_Katar,1.324956680077365,6.14
F5A1_1,0.0,1.0
F5A2_1,0.0,2.0
F5A3_1,0.41845195759648035,2.22
F5A4_1,0.40406101782088427,3.2
F5A5_1,0.19794866372215741,2.96
F5A6_1,0.501426536422407,2.56
F5A7_1,0.0,3.0
F5A8_1,0.47121207149916117,2.32
F5A9_1,0.0,3.0
F5A10_1,0.3505098327538656,2.14
F5A11_1,0.4430874976934521,3.26
F5A12_1,0.23989793748209523,3.06
F5A13_1,0.0,2.0
F5A14_1,0.27404751561786966,3.08
F5A15_1,0.40406101782088427,2.8
F5A16_1,0.14142135623730948,4.02
F5aA1_1,0.7824607964359516,3.0
F5aA2_1,0.9638358739104571,3.64
F5aA3_1,1.0038700623291923,4.82
F5bA1_1,0.8184106049944289,2.94
F5bA2_1,0.8769148144698746,4.08
F5bA3_1,0.9749934589000888,3.22
F5bA4_1,0.9897433186107871,4.6
F5bA5_1,0.9178501945262292,4.12
F5bA6_1,1.0159945363825456,4.78
F5cA1_1,0.41649656391752143,2.9
F5cA2_1,0.27404751561786966,2.08
F6a_DemPartyA1,0.8400680244565233,7.22
F6a_RepPartyA1,0.7602362683228612,6.56
F6mA1_1,0.4535573676110727,5.28
F7d,0.0,1.0
F7e,0.328260722659316,1.12
F7f,0.3030457633656632,1.1
einkommen,0.5405967979549857,3.44
F7g,0.19794866372215741,7.04
F7h,0.7803715174296276,1.3976666666666668
F7lA1,0.0,3.0
F7mA1,2.1912686196049327,4.858333333333333
F7n,0.0,8.0
