Variable,Standard_Deviation,Mean
F1A1_1,0.5050762722761054,2.5
F1A2_1,1.2103296902842933,4.62
F1A3_1,1.0758954505007274,4.16
F1A4_1,1.1428571428571428,3.6
F1A5_1,0.9510466844053279,5.44
F1A6_1,1.1890658312391322,4.12
F1A7_1,1.1821806208901258,5.52
F1A8_1,1.098421873528062,5.76
F1A9_1,1.069808298677089,3.72
F1A10_1,0.542481072744215,5.54
F1A11_1,1.3404613887366834,4.21
F1A12_1,0.501426536422407,1.44
F1A13_1,0.8103916916390191,3.58
F1A14_1,0.8020382198638971,3.36
F1A15_1,1.0349011586442762,3.48
F1A16_1,0.5349041493385445,2.86
F1A17_1,0.5955618167335952,5.82
F1A19_1,0.8478062928547309,3.66
F2A1,0.5146823867043377,4.02
F2A2,0.6288960200872896,2.18
F2A3,0.6388765649999399,2.6
F2A4,0.4430874976934521,4.26
F2A5,0.40406101782088427,3.8
F2A6,0.6388765649999399,3.8
F2A7,0.48487322138506117,3.36
F2A8,0.5345224838248488,3.2
F2A9,0.6580738746446297,3.66
F2A10,0.710274451123203,3.84
F2A11,0.5034574339058885,4.54
F2A12,0.6776309271789385,3.7
F2A14,0.6590035768383311,3.88
F3A1_1,0.5928141120356123,5.34
F3A2_1,0.4903143514780146,2.38
F3A3_1,0.8750510189207745,3.64
F3A4_1,0.30304576336566325,1.9
F3A5_1,0.5656854249492379,1.92
F3A6_1,0.0,7.0
F3A7_1,0.9612916480720413,4.88
F3A8_1,0.9665845613735584,5.38
F3A9_1,0.6468132241526727,5.1
F3A10_1,0.6892764618179896,1.88
F3A11_1,0.4948716593053935,2.2
F3A12_1,0.36421567954234174,1.9
F3A13_1,0.9529760045804524,4.7
F3A14_1,0.7615773105863908,4.54
F3A15_1,0.8329931278350429,4.4
F3A16_1,0.8478062928547307,3.34
F3A17_1,0.4280949732506199,2.02
F3A18_1,0.4535573676110727,6.72
F3A19_1,0.46773444410699716,1.84
F3A20_1,0.631163486696415,2.64
F3A21_1,0.5283783431116266,4.08
F3A22_1,0.5858884758402823,6.06
F3A23_1,2.0158555179843014,6.24
F3A24_1,0.5714285714285714,4.0
F3A25_1,0.5928141120356123,4.34
F3A26_1,0.0,7.0
F3A27_1,0.4629100498862757,1.3
F3A28_1,1.0879675865519869,3.4
F3A29_1,1.5286381827880497,3.1
F3A30_1,1.046081122229875,3.26
F3A31_1,0.59795570104161,6.36
F3A32_1,0.9205144967764006,2.64
F3A33_1,0.3703280399090206,6.84
F3A34_1,0.328260722659316,6.88
F3A35_1,0.0,7.0
F3A36_1,1.339509505112119,3.96
F3B1,0.23989793748209523,2.06
F3B2,0.0,2.0
F3B3,1.9637993625897572,1.9466666666666668
F3_USA,1.3885831863111846,6.52
F3_CHINA,1.2501428489805246,7.22
F3_Deutschland,1.5628336378488392,6.08
F3_Russland,1.225744255377865,10.26
F3_Ukraine,1.2847615517666922,6.32
F3_EU,1.55195728954486,6.14
F3_NATO,1.3094632020606842,6.86
F3B_Hamas,1.2631350696111767,10.42
F3B_Israel,1.3364589215458855,6.36
F3B_Deutschland,1.833475566529651,5.84
F3B_USA,1.526500599945068,6.58
F3B_UN,1.8897143721111045,6.02
F3B_Iran,1.2249114920129154,10.36
F3B_Katar,1.4365491531401753,7.24
F5A1_1,0.0,1.0
F5A2_1,0.5046720495044483,2.52
F5A3_1,0.4712120714991612,2.68
F5A4_1,0.4948716593053935,4.0
F5A5_1,0.23989793748209523,3.06
F5A6_1,0.3505098327538656,3.14
F5A7_1,0.5046720495044483,3.48
F5A8_1,0.3030457633656632,3.1
F5A9_1,0.19794866372215744,3.04
F5A10_1,0.4314191105869,2.76
F5A11_1,0.501426536422407,4.44
F5A12_1,0.4948716593053935,3.4
F5A13_1,0.4903143514780146,2.62
F5A14_1,0.49487165930539345,3.6
F5A15_1,0.4903143514780146,3.38
F5A16_1,0.5050762722761054,4.5
F5aA1_1,1.2389923489740873,4.34
F5aA2_1,1.0309496315810696,6.28
F5aA3_1,0.9091372900969897,6.5
F5bA1_1,1.270706054739262,4.24
F5bA2_1,1.2001700559776127,5.22
F5bA3_1,1.4315682851691152,4.46
F5bA4_1,0.40406101782088427,6.8
F5bA5_1,1.136410388648648,5.88
F5bA6_1,1.1192198449029083,5.18
F5cA1_1,0.754848275064166,3.04
F5cA2_1,0.20203050891044214,2.0
F6a_DemPartyA1,1.1109841197270618,6.52
F6a_RepPartyA1,0.926701413727249,6.72
F6mA1_1,1.228903609577518,6.0
F7d,0.0,1.0
F7e,0.3703280399090206,1.16
F7f,0.4430874976934521,1.26
einkommen,0.44446711960297264,3.08
F7g,0.3187987657774485,6.98
F7h,0.8831520157895794,1.9016666666666666
F7lA1,0.0,3.0
F7mA1,2.1390919301690343,5.31
F7n,0.0,8.0
