Variable,Standard_Deviation,Mean
F1A1_1,0.4932193286180591,2.96
F1A2_1,0.7824607964359516,4.2
F1A3_1,1.4365491531401753,4.24
F1A4_1,0.9990698622064229,3.4733333333333336
F1A5_1,0.6670832032063166,6.17
F1A6_1,1.1787229339849297,4.28
F1A7_1,1.275195063109794,5.08
F1A8_1,1.1450177988298644,5.8066666666666675
F1A9_1,1.0146377658644328,3.81
F1A10_1,0.9874725519305975,5.38
F1A11_1,1.3486198538521081,4.74
F1A12_1,0.4629100498862757,1.3
F1A13_1,0.20203050891044214,4.0
F1A14_1,0.6060915267313264,3.8
F1A15_1,0.9816687167205418,3.66
F1A16_1,0.4785181206984065,3.34
F1A17_1,1.0528871870107588,5.44
F1A19_1,0.37742413753208304,3.98
F2A1,0.7159979477795239,3.76
F2A2,0.6809357307321705,1.84
F2A3,0.7677159338596802,2.68
F2A4,0.49856938190328987,4.42
F2A5,0.591090310445063,3.76
F2A6,0.7117096404046372,4.06
F2A7,0.7561988724494884,3.86
F2A8,0.6131218209678553,3.46
F2A9,0.5050762722761054,3.1
F2A10,0.7951382885757569,4.02
F2A11,0.5841442371503106,3.84
F2A12,0.4948716593053935,3.2
F2A14,0.6223720260226275,3.98
F3A1_1,0.7253429871306345,5.62
F3A2_1,0.5714285714285714,2.6
F3A3_1,1.056756686223253,4.16
F3A4_1,0.3505098327538656,1.86
F3A5_1,0.5066899385990914,1.78
F3A6_1,0.0,7.0
F3A7_1,0.6917148167815275,4.31
F3A8_1,1.2663622978388749,5.22
F3A9_1,0.7774894185250159,4.74
F3A10_1,0.906270671826163,2.49
F3A11_1,0.4785181206984065,2.66
F3A12_1,0.6468132241526726,2.3
F3A13_1,0.8722478584270714,4.88
F3A14_1,0.6246631745450127,4.24
F3A15_1,0.44344558959325014,3.9466666666666668
F3A16_1,0.7001457574195913,4.14
F3A17_1,0.34046786536608525,1.92
F3A18_1,0.4535573676110727,6.72
F3A19_1,0.6272713828600042,2.88
F3A20_1,0.6642473107178668,2.74
F3A21_1,0.2398979374820952,4.06
F3A22_1,1.0745668325195137,6.22
F3A23_1,2.294269702843969,5.96
F3A24_1,0.7318553442436279,4.01
F3A25_1,1.1228607778930617,4.38
F3A26_1,0.0,7.0
F3A27_1,2.1742697577788817,1.89
F3A28_1,0.978128158207068,3.68
F3A29_1,2.358570995933161,3.22
F3A30_1,0.6464976285134149,2.52
F3A31_1,0.6417450698633201,6.42
F3A32_1,0.9313146293146641,3.1
F3A33_1,0.3703280399090206,6.84
F3A34_1,0.6180945043652554,6.84
F3A35_1,0.0,7.0
F3A36_1,1.124858267715973,3.8
F3B1,1.2136973364433965,2.42
F3B2,0.0,2.0
F3B3,1.6314510881608506,1.54
F3_USA,2.1212241363737814,6.52
F3_CHINA,1.6659862556700857,7.2
F3_Deutschland,1.5907898179514348,6.4
F3_Russland,2.4591354047257163,9.56
F3_Ukraine,1.761724572510628,5.72
F3_EU,1.577908716741037,6.4
F3_NATO,1.7729256346847853,6.86
F3B_Hamas,0.0,11.0
F3B_Israel,3.122270236313863,4.92
F3B_Deutschland,3.0639443699324596,3.8
F3B_USA,3.7224635248552205,5.02
F3B_UN,3.107331685559434,4.76
F3B_Iran,0.5938459911664722,10.88
F3B_Katar,2.3495548861997895,6.7
F5A1_1,0.0,1.0
F5A2_1,0.48487322138506117,2.64
F5A3_1,0.19794866372215741,2.96
F5A4_1,0.9478224237370496,2.86
F5A5_1,0.0,3.0
F5A6_1,0.0,3.0
F5A7_1,0.41845195759648035,3.22
F5A8_1,0.0,3.0
F5A9_1,0.42426406871192857,2.94
F5A10_1,0.27404751561786966,2.92
F5A11_1,0.5627918743883488,4.64
F5A12_1,0.7174216873994125,3.66
F5A13_1,0.0,3.0
F5A14_1,0.7082603003566023,3.78
F5A15_1,0.5034574339058885,3.46
F5A16_1,0.3703280399090206,4.84
F5aA1_1,1.4315682851691152,5.46
F5aA2_1,0.8571428571428572,6.6
F5aA3_1,0.2398979374820952,6.94
F5bA1_1,1.3272651027813638,4.56
F5bA2_1,0.8919137873593124,6.02
F5bA3_1,1.5274361605284184,4.56
F5bA4_1,0.19794866372215741,6.96
F5bA5_1,1.1293848786315641,6.3
F5bA6_1,1.2282391577259815,4.96
F5cA1_1,0.7139999428342743,2.98
F5cA2_1,0.31363569143000214,2.06
F6a_DemPartyA1,1.1577599765345605,6.08
F6a_RepPartyA1,0.9538322275784914,6.78
F6mA1_1,1.1259916264596033,6.55
F7d,0.41845195759648024,1.78
F7e,0.5480950312357393,1.84
F7f,0.282842712474619,1.96
einkommen,0.59795570104161,3.36
F7g,0.6114552731152199,7.56
F7h,1.2086432470842008,2.653984126984127
F7lA1,0.0,3.0
F7mA1,2.7364492775357774,3.8913333333333333
F7n,2.350183134763293,3.129880952380952
