Variable,Standard_Deviation,Mean
F1A1_1,1.906130460732773,2.6666666666666665
F1A2_1,1.8873009198071096,5.476190476190476
F1A3_1,1.8784492084087416,5.857142857142857
F1A4_1,1.9136103997169231,5.523809523809524
F1A5_1,1.886038933093073,3.4285714285714284
F1A6_1,2.165750722146062,5.095238095238095
F1A7_1,1.7928429140015905,5.714285714285714
F1A8_1,1.5811388300841898,6.0
F1A9_1,2.2243244025139517,4.380952380952381
F1A10_1,1.6575943555704598,4.0476190476190474
F1A11_1,1.1791845447071423,6.238095238095238
F1A12_1,0.7400128699009549,1.619047619047619
F1A13_1,1.9566735620873064,5.142857142857143
F1A14_1,1.5599145275730122,3.6666666666666665
F1A15_1,1.5134319246256802,3.0952380952380953
F1A16_1,1.7113069358158486,3.857142857142857
F1A17_1,1.774153050787628,3.619047619047619
F1A19_1,2.1325147238926743,3.9523809523809526
F2A1,1.2835961388299078,1.9523809523809523
F2A2,1.1791845447071423,1.7619047619047619
F2A3,1.4975470138942315,1.6470588235294117
F2A4,1.2497618820818477,3.1904761904761907
F2A5,1.2780193008453875,3.3333333333333335
F2A6,1.0645812948447542,2.3333333333333335
F2A7,1.3093073414159542,2.7142857142857144
F2A8,1.2835961388299078,2.9523809523809526
F2A9,0.8047478161629563,4.0476190476190474
F2A10,0.8728715609439694,3.4761904761904763
F2A11,1.0442586798663398,3.238095238095238
F2A12,0.8047478161629565,4.380952380952381
F2A14,1.5165750888103102,3.4
F3A1_1,1.325572652532805,5.428571428571429
F3A2_1,1.3469542361512192,2.2857142857142856
F3A3_1,1.6094956323259126,4.095238095238095
F3A4_1,1.4342743312012725,2.5714285714285716
F3A5_1,0.8563488385776752,1.6666666666666667
F3A6_1,0.7464200272921789,6.571428571428571
F3A7_1,0.7496030695673289,6.523809523809524
F3A8_1,1.1169686869465263,6.380952380952381
F3A9_1,2.060975266134712,3.0476190476190474
F3A10_1,0.8135752957807666,1.5238095238095237
F3A11_1,1.2090925365350502,2.1904761904761907
F3A12_1,0.8646496675642961,1.619047619047619
F3A13_1,0.4364357804719847,1.2380952380952381
F3A14_1,1.1608699529314415,1.9523809523809523
F3A15_1,0.9258200997725516,6.571428571428571
F3A16_1,1.6832508230603465,3.3333333333333335
F3A17_1,0.9128709291752769,1.6666666666666667
F3A18_1,1.8948551898433268,4.904761904761905
F3A19_1,0.8254203058555569,1.7142857142857142
F3A20_1,1.8999710813299526,2.9285714285714284
F3A21_1,1.8232322463624386,3.642857142857143
F3A22_1,1.3416407864998738,6.4
F3A23_1,,7.0
F3A24_1,,6.0
F3A25_1,,1.0
F3A26_1,,7.0
F3A27_1,,2.0
F3A28_1,,1.0
F3A29_1,,3.0
F3A30_1,,1.0
F3A31_1,,7.0
F3A32_1,,6.0
F3A33_1,,7.0
F3A34_1,,7.0
F3A35_1,,7.0
F3A36_1,,2.0
F3B1,,4.0
F3B2,,4.0
F3B3,,2.0
F3_USA,4.183300132670378,5.0
F3_CHINA,2.0493901531919194,9.2
F3_Deutschland,4.03732584763727,4.6
F3_Russland,0.0,11.0
F3_Ukraine,1.140175425099138,2.4
F3_EU,1.9235384061671346,3.8
F3_NATO,2.16794833886788,3.8
F3B_Hamas,,11.0
F3B_Israel,,11.0
F3B_Deutschland,,6.0
F3B_USA,,11.0
F3B_UN,,6.0
F3B_Iran,,6.0
F3B_Katar,,6.0
F5A1_1,1.1791845447071423,3.761904761904762
F5A2_1,1.0281745265969475,2.5714285714285716
F5A3_1,1.2835961388299078,2.9523809523809526
F5A4_1,1.1608699529314417,3.380952380952381
F5A5_1,1.0779168622415933,2.5238095238095237
F5A6_1,1.0281745265969477,2.5714285714285716
F5A7_1,0.9258200997725515,2.5714285714285716
F5A8_1,1.2780193008453875,2.3333333333333335
F5A9_1,1.0304876330673562,3.5238095238095237
F5A10_1,1.016530045465127,2.3333333333333335
F5A11_1,1.164964745021435,2.4285714285714284
F5A12_1,1.0712698295103096,2.9523809523809526
F5A13_1,0.8047478161629563,1.9523809523809523
F5A14_1,,3.0
F5A15_1,,
F5A16_1,0.7451598203705946,3.65
F5aA1_1,1.82443729093971,3.142857142857143
F5aA2_1,2.1425396590206187,3.0952380952380953
F5aA3_1,2.459190730223878,4.619047619047619
F5bA1_1,2.4112830016996583,3.2857142857142856
F5bA2_1,,
F5bA3_1,2.3217399058628834,3.9047619047619047
F5bA4_1,1.7781745588959377,2.5238095238095237
F5bA5_1,1.9469145308606104,3.761904761904762
F5bA6_1,1.9784553859730354,3.2857142857142856
F5cA1_1,,2.0
F5cA2_1,,3.0
F6a_DemPartyA1,1.5718104959867514,9.705882352941176
F6a_RepPartyA1,1.2776356840572634,1.588235294117647
F6mA1_1,0.0,1.0
F7d,0.21821789023599242,1.0476190476190477
F7e,0.30079260375911915,1.0952380952380953
F7f,0.21821789023599242,1.0476190476190477
einkommen,1.6402671094904604,5.238095238095238
F7g,1.445847914020071,7.761904761904762
F7h,1.3749458863810566,4.095238095238095
F7lA1,0.0,2.0
F7mA1,,
F7n,0.0,4.0
