Variable,Standard_Deviation,Mean
F1A1_1,1.4738721684647789,2.8337950138504153
F1A2_1,1.7957235201753776,4.980609418282548
F1A3_1,1.8035266911527024,4.991689750692521
F1A4_1,1.8093197734161333,4.85595567867036
F1A5_1,1.3642254619787417,3.1578947368421053
F1A6_1,1.8244517510910216,4.573407202216067
F1A7_1,1.66125159089796,5.238227146814404
F1A8_1,1.5978642640153442,5.407202216066482
F1A9_1,1.8424018140580638,4.052631578947368
F1A10_1,1.4397834213520182,4.778393351800554
F1A11_1,1.5934084367453207,5.349030470914127
F1A12_1,1.2559185827955828,2.418282548476454
F1A13_1,1.684324740279363,4.448753462603878
F1A14_1,1.2871921575094976,3.7340720221606647
F1A15_1,1.6949220777050937,3.512465373961219
F1A16_1,1.4388157727614264,3.069252077562327
F1A17_1,1.5543948754249375,4.808864265927978
F1A19_1,1.6038916583832377,3.698060941828255
F2A1,1.239644703315673,2.146814404432133
F2A2,1.2237140787400533,2.3407202216066483
F2A3,1.7672252103942008,2.259124087591241
F2A4,1.075947906073321,3.401662049861496
F2A5,1.0144538684816162,3.6952908587257616
F2A6,1.1825003896140438,2.8753462603878117
F2A7,1.077284412372166,2.858725761772853
F2A8,1.1520653366274058,3.1911357340720223
F2A9,0.939858145324779,3.736842105263158
F2A10,0.9964696068818216,3.3628808864265927
F2A11,1.0636846590332716,2.844875346260388
F2A12,1.2952906151816965,3.6315789473684212
F2A14,1.181588531901563,3.577777777777778
F3A1_1,1.5981868766528675,4.761772853185596
F3A2_1,1.1898177838978772,2.1994459833795013
F3A3_1,1.6375856230507175,4.6565096952908585
F3A4_1,1.2842117246662994,2.218836565096953
F3A5_1,1.5872151957319232,2.9861495844875345
F3A6_1,1.8210281240956459,4.808864265927978
F3A7_1,1.7412667369430697,4.739612188365651
F3A8_1,1.8006317074888352,4.853185595567867
F3A9_1,1.7734490621017278,4.49584487534626
F3A10_1,1.7660925215588401,2.6925207756232687
F3A11_1,1.7268987034683383,3.457063711911357
F3A12_1,1.6457879682142738,2.9501385041551247
F3A13_1,1.365893977905919,2.1994459833795013
F3A14_1,1.6920186330174678,2.822714681440443
F3A15_1,1.8731757309913906,4.911357340720222
F3A16_1,1.8576826743113157,4.60387811634349
F3A17_1,1.5199757413301278,2.3462603878116344
F3A18_1,1.6761043960460995,5.163434903047092
F3A19_1,1.6799608109767632,2.780082987551867
F3A20_1,1.849544820830257,4.004149377593361
F3A21_1,1.5039252468106477,3.5767634854771786
F3A22_1,1.7659005401116814,5.305555555555555
F3A23_1,2.2701882459618403,3.706422018348624
F3A24_1,1.3764067032836032,1.7064220183486238
F3A25_1,2.2239162757997217,4.2110091743119265
F3A26_1,2.033528006589724,5.293577981651376
F3A27_1,1.5002548203534904,1.908256880733945
F3A28_1,1.8319195735127762,4.660550458715596
F3A29_1,1.7120230039006925,1.9357798165137614
F3A30_1,2.1524074029491893,3.8440366972477062
F3A31_1,1.8909714489455278,5.715596330275229
F3A32_1,1.7005225956155703,2.7522935779816513
F3A33_1,1.8312702691041884,5.715596330275229
F3A34_1,1.7665772292865205,5.3577981651376145
F3A35_1,1.4338393720658429,6.394495412844036
F3A36_1,2.159578305446792,4.174311926605505
F3B1,1.2393617990906416,3.1009174311926606
F3B2,1.2057315833287097,2.697247706422018
F3B3,1.1584463566622394,3.1376146788990824
F3_USA,3.1444827190578,5.022222222222222
F3_CHINA,2.719655106479473,7.988888888888889
F3_Deutschland,2.689260661413827,5.383333333333334
F3_Russland,2.9174180995314365,9.36111111111111
F3_Ukraine,3.2102992235777315,5.611111111111111
F3_EU,2.605585367749094,5.2444444444444445
F3_NATO,2.8060633117849463,5.055555555555555
F3B_Hamas,2.2345858918495405,9.73394495412844
F3B_Israel,3.260649975124381,5.5963302752293576
F3B_Deutschland,2.389700689413072,5.348623853211009
F3B_USA,3.0726562524635916,4.853211009174312
F3B_UN,3.104642321034137,5.990825688073395
F3B_Iran,2.794921611812033,8.853211009174313
F3B_Katar,2.4526435563577076,7.055045871559633
F5A1_1,1.1367486966173794,3.188365650969529
F5A2_1,0.9746794344808964,2.1578947368421053
F5A3_1,1.0699597136612715,2.481994459833795
F5A4_1,0.9636435039518119,3.7229916897506925
F5A5_1,1.0600832734411632,3.398891966759003
F5A6_1,1.110534630383774,3.0914127423822713
F5A7_1,0.9775252199076787,3.1052631578947367
F5A8_1,1.0525438559938476,2.775623268698061
F5A9_1,0.860132338232683,3.914127423822715
F5A10_1,1.2573636599431548,3.21606648199446
F5A11_1,1.2100812810216421,3.21606648199446
F5A12_1,0.9898919733010195,3.401662049861496
F5A13_1,1.2325794406699826,2.9861495844875345
F5A14_1,1.093310542571393,3.7169811320754715
F5A15_1,0.8633970960424556,3.066666666666667
F5A16_1,0.9605142464972891,3.9490196078431374
F5aA1_1,2.1897133528293717,4.393351800554017
F5aA2_1,1.8728635103850617,2.7202216066481992
F5aA3_1,2.1980887918186998,5.227146814404432
F5bA1_1,2.1058990267788236,3.03601108033241
F5bA2_1,2.3794150881290475,4.444444444444445
F5bA3_1,2.526321881084274,4.313019390581718
F5bA4_1,1.6676589843700662,2.188365650969529
F5bA5_1,2.106607757746672,3.903047091412742
F5bA6_1,2.1785242688918602,4.243767313019391
F5cA1_1,1.6616131336482431,3.2844036697247705
F5cA2_1,1.281086440046315,2.4954128440366974
F6a_DemPartyA1,3.5661083329733234,6.7023809523809526
F6a_RepPartyA1,3.1191555155304402,3.8482142857142856
F6mA1_1,2.54838073742662,5.609418282548477
F7d,0.26785285578946255,1.077562326869806
F7e,0.39154656220227796,1.188365650969529
F7f,0.419569757207827,1.2271468144044322
einkommen,1.5310020818329386,4.922437673130194
F7g,1.745865273289347,6.81994459833795
F7h,1.501850710142508,3.4210526315789473
F7lA1,0.0,2.0
F7mA1,2.39741924736143,1.9523809523809523
F7n,0.0,4.0
