Variable,Standard_Deviation,Mean
F1A1_1,1.6486815261088617,3.2554630593132154
F1A2_1,1.8292085112781418,4.201873048907388
F1A3_1,1.8459273341714741,4.567637877211238
F1A4_1,1.9144188495310646,4.22060353798127
F1A5_1,1.5597547068703903,3.0665972944849114
F1A6_1,1.915920733859536,3.9073881373569197
F1A7_1,1.9198543455076487,4.596774193548387
F1A8_1,1.8912237127562157,4.7159209157127995
F1A9_1,1.8260846075231238,3.86264308012487
F1A10_1,1.4495047747376675,5.149323621227888
F1A11_1,1.6114981033323694,4.687825182101977
F1A12_1,1.2658855601833998,2.237773152965661
F1A13_1,1.6164871769797786,3.9380853277835586
F1A14_1,1.3033025210306424,3.7320499479708635
F1A15_1,1.6529357959188595,3.2960457856399583
F1A16_1,1.398343241863079,2.6212278876170654
F1A17_1,1.4547417670487595,5.261706555671176
F1A19_1,1.6130574559767883,4.323100936524454
F2A1,1.3556062415616736,3.4198751300728407
F2A2,1.243771305978436,3.305411030176899
F2A3,1.6931596704442382,3.0810473815461346
F2A4,1.1258792938033375,3.7554630593132154
F2A5,1.1108839415413296,3.8662851196670136
F2A6,1.200317716658837,3.5499479708636836
F2A7,1.2259686194343413,3.174817898022893
F2A8,1.2539149188738299,3.2695109261186266
F2A9,1.0522994493295406,3.969302809573361
F2A10,1.0734551153804095,3.7783558792924037
F2A11,1.2032902751135706,3.184703433922997
F2A12,1.3402104851391319,3.443808532778356
F2A14,1.2478457151833542,3.7454242928452577
F3A1_1,1.5381285855366842,4.240188383045526
F3A2_1,1.321062534289095,2.615263983272347
F3A3_1,1.7707279469811015,4.846875
F3A4_1,1.269764678150066,2.3992693110647183
F3A5_1,1.7369720645382416,4.047519582245431
F3A6_1,1.8109797992619072,4.019843342036554
F3A7_1,1.7091258866003085,3.99113197704747
F3A8_1,1.8474067393295106,4.045857217300678
F3A9_1,1.750212964970726,4.967067433350758
F3A10_1,1.7933524547810549,2.9942738157209785
F3A11_1,1.8135881907624714,3.9307291666666666
F3A12_1,1.6487784848231526,3.2123109024517476
F3A13_1,1.6115777997461562,3.313643491897543
F3A14_1,1.7702221602970176,4.0282426778242675
F3A15_1,1.8932647109821357,4.281770833333334
F3A16_1,1.8748118327132257,4.8196977592496095
F3A17_1,1.6717348219040644,2.648620510150963
F3A18_1,1.755884479074896,5.05422314911366
F3A19_1,1.5852783308609957,3.1799604482531314
F3A20_1,1.5325010733992759,3.0968379446640317
F3A21_1,1.5478886861069254,3.951815181518152
F3A22_1,1.6939508364231113,4.657983193277311
F3A23_1,2.245854306838895,5.246105919003115
F3A24_1,2.4439995660036793,3.956386292834891
F3A25_1,2.3083717737863583,4.566978193146418
F3A26_1,1.7630696574323177,5.496884735202492
F3A27_1,2.320289585583099,3.633956386292835
F3A28_1,2.1550955877716813,4.607476635514018
F3A29_1,2.5907946824891996,3.708722741433022
F3A30_1,2.1721831359957995,4.55607476635514
F3A31_1,1.7911775263239746,5.7087227414330215
F3A32_1,1.8836838201587047,3.029595015576324
F3A33_1,1.7893064048649723,5.479750778816199
F3A34_1,1.7669521323636785,5.543613707165109
F3A35_1,1.4776553327946726,6.024922118380062
F3A36_1,2.121498463625139,4.264797507788162
F3B1,1.0637379999649068,3.690031152647975
F3B2,1.1799812262183536,3.5
F3B3,1.1396823593742493,3.2990654205607477
F3_USA,3.068899080343713,6.0948419301164725
F3_CHINA,2.7971773009846435,7.337770382695507
F3_Deutschland,2.510677170925939,5.707986688851913
F3_Russland,3.0213187680896536,8.466722129783694
F3_Ukraine,3.169882527707219,6.193843594009984
F3_EU,2.5452213799362586,5.71630615640599
F3_NATO,2.758549743867641,5.729617304492512
F3B_Hamas,2.9890018933690508,8.04361370716511
F3B_Israel,2.9153892637556345,6.964174454828661
F3B_Deutschland,2.3815758070511044,5.711838006230529
F3B_USA,3.061804341716592,6.110591900311526
F3B_UN,2.715200365233118,5.661993769470405
F3B_Iran,2.635084454671601,7.593457943925234
F3B_Katar,2.445371278345,6.40809968847352
F5A1_1,1.2499216559119848,2.861602497398543
F5A2_1,1.1384159188555911,2.3652445369406867
F5A3_1,1.2517002722236161,2.9656607700312176
F5A4_1,0.9858890015770853,3.86732570239334
F5A5_1,1.0544546269124253,3.824661810613944
F5A6_1,1.0684817820489634,3.610301768990635
F5A7_1,0.9657875739113801,3.4505723204994796
F5A8_1,1.106660324808565,3.1602497398543186
F5A9_1,0.93846785692729,3.991675338189386
F5A10_1,1.0777766956731583,3.642559833506764
F5A11_1,1.0556682198635046,3.6472424557752343
F5A12_1,1.005326586973617,3.599375650364204
F5A13_1,1.0913428731902521,3.4833506763787723
F5A14_1,1.0838343965557797,3.712230215827338
F5A15_1,0.9547353601093537,3.078125
F5A16_1,1.0245384414005274,3.8045387994143485
F5aA1_1,2.174670923825456,4.874609781477628
F5aA2_1,2.2131554439683057,3.979188345473465
F5aA3_1,2.274419132019587,4.684183142559833
F5bA1_1,2.25170638500021,3.8116545265348596
F5bA2_1,2.4558073180388833,3.48046875
F5bA3_1,2.433168737586767,3.54318418314256
F5bA4_1,2.2547335797981907,3.170655567117586
F5bA5_1,2.2452106461995847,4.450052029136316
F5bA6_1,1.8458500817476855,5.710718002081165
F5cA1_1,1.5821129051825338,3.160436137071651
F5cA2_1,1.4433954546212464,2.7336448598130842
F6a_DemPartyA1,3.4075716438108814,5.368708308065494
F6a_RepPartyA1,3.196843597288393,5.0255629945222156
F6mA1_1,2.5726051163115686,6.480228928199792
F7d,0.2178941793572157,1.0499479708636836
F7e,0.306089258838466,1.1045785639958376
F7f,0.3203382117577521,1.1160249739854318
einkommen,1.419160950392572,3.5900104058272633
F7g,1.9375082470736575,5.087408949011446
F7h,2.315919757170397,3.2918834547346516
F7lA1,0.0,2.0
F7mA1,0.49509194926231254,1.047945205479452
F7n,0.0,8.0
