Variable,Standard_Deviation,Mean
F1A1_1,1.6205262386208927,3.3964285714285714
F1A2_1,1.6824652652494088,4.0910714285714285
F1A3_1,1.7970776956809145,4.430357142857143
F1A4_1,1.827046951292842,3.9267857142857143
F1A5_1,1.4768844598143742,2.944642857142857
F1A6_1,1.8713408796804496,3.607142857142857
F1A7_1,1.8533784017646744,4.3428571428571425
F1A8_1,1.9025241481841213,4.5339285714285715
F1A9_1,1.7869309680824417,3.8660714285714284
F1A10_1,1.3877809562830976,5.026785714285714
F1A11_1,1.571659137883861,4.546428571428572
F1A12_1,1.234408253481698,2.194642857142857
F1A13_1,1.481074707704922,3.9625
F1A14_1,1.2506068039039555,3.7857142857142856
F1A15_1,1.5436241006704685,3.492857142857143
F1A16_1,1.3313918056102043,2.664285714285714
F1A17_1,1.3824823135591495,5.053571428571429
F1A19_1,1.529566349486087,4.232142857142857
F2A1,1.2578148251724957,3.6964285714285716
F2A2,1.2156867190293852,3.3214285714285716
F2A3,1.6642431457411881,3.287784679089027
F2A4,1.0671308300933162,3.857142857142857
F2A5,1.1014693506339126,3.7982142857142858
F2A6,1.1366172613837708,3.557142857142857
F2A7,1.1828041611436386,3.1839285714285714
F2A8,1.1727319732633856,3.1535714285714285
F2A9,0.996672203749846,4.035714285714286
F2A10,1.029774910337022,3.819642857142857
F2A11,1.1256369409683018,3.2857142857142856
F2A12,1.2162318479627878,3.544642857142857
F2A14,1.1808245632087953,3.7905759162303663
F3A1_1,1.186847975603738,3.9566787003610107
F3A2_1,1.2278921899016169,2.9532374100719423
F3A3_1,1.6206474666290738,4.8375
F3A4_1,1.2295233959344996,2.7271095152603233
F3A5_1,1.5152689678987419,3.9674502712477397
F3A6_1,1.6295100356812746,4.140540540540541
F3A7_1,1.4205286541039257,4.18491921005386
F3A8_1,1.6862176389446486,4.2821428571428575
F3A9_1,1.6476259739547723,4.63963963963964
F3A10_1,1.4561493421385578,2.7885304659498207
F3A11_1,1.5432010014314426,3.8420107719928187
F3A12_1,1.3882148658622009,2.9479353680430878
F3A13_1,1.3547445570398937,3.6492805755395685
F3A14_1,1.4852951040288953,4.050269299820466
F3A15_1,1.7437565473088736,4.378378378378378
F3A16_1,1.7498615670606543,4.627906976744186
F3A17_1,1.5344341004412678,2.6469534050179213
F3A18_1,1.5917696170213749,4.891071428571428
F3A19_1,1.373284428523242,3.052154195011338
F3A20_1,1.578380774167323,3.099099099099099
F3A21_1,1.5893123076123388,4.006756756756757
F3A22_1,1.584755438116266,4.4447368421052635
F3A23_1,2.222048604328897,5.333333333333333
F3A24_1,2.4148433187203375,4.502222222222223
F3A25_1,2.2774515833022035,5.026666666666666
F3A26_1,1.6787301512258963,5.648888888888889
F3A27_1,2.3690547977876397,4.431111111111111
F3A28_1,2.1942656145739483,4.875555555555556
F3A29_1,2.549369669994078,4.693333333333333
F3A30_1,2.294904638887486,4.964444444444444
F3A31_1,1.7008401285415224,5.6
F3A32_1,2.1329054630446502,3.5733333333333333
F3A33_1,1.70947406745513,5.684444444444445
F3A34_1,1.6068800490588875,5.631111111111111
F3A35_1,1.4542357399340684,5.964444444444444
F3A36_1,2.2916082243630242,4.662222222222222
F3B1,1.0697314601456744,3.6622222222222223
F3B2,1.1019463300386794,3.533333333333333
F3B3,0.8784681833773772,3.848888888888889
F3_USA,2.72995221583468,6.130890052356021
F3_CHINA,2.775679125501018,6.7513089005235605
F3_Deutschland,2.3000340852317973,5.69109947643979
F3_Russland,2.9814715971820043,7.696335078534031
F3_Ukraine,2.867529613786199,6.2565445026178015
F3_EU,2.194574255090981,5.630890052356021
F3_NATO,2.507171832215336,6.115183246073299
F3B_Hamas,3.0306175702557483,6.946666666666666
F3B_Israel,2.9238007988081387,6.377777777777778
F3B_Deutschland,2.298869632515421,5.7155555555555555
F3B_USA,2.832051530783978,6.204444444444444
F3B_UN,2.619281374849774,5.808888888888889
F3B_Iran,2.7366196852298095,6.955555555555556
F3B_Katar,2.4575523376041235,6.071111111111111
F5A1_1,1.2154961946601581,2.955357142857143
F5A2_1,1.1148636833514294,2.5964285714285715
F5A3_1,1.16108640754944,3.3
F5A4_1,0.9018820654070508,3.8142857142857145
F5A5_1,0.9503637648073118,3.830357142857143
F5A6_1,1.0198577793544992,3.717857142857143
F5A7_1,0.8989995717477043,3.4803571428571427
F5A8_1,1.0865379809528777,3.2607142857142857
F5A9_1,0.9040878145326395,3.9875
F5A10_1,0.9723217226454096,3.655357142857143
F5A11_1,0.9598890785863587,3.6839285714285714
F5A12_1,0.9643796510832549,3.585714285714286
F5A13_1,1.0025124966320365,3.4375
F5A14_1,1.0034305418082892,3.6666666666666665
F5A15_1,1.065045376117646,3.2358490566037736
F5A16_1,1.0485576424832905,3.5534246575342467
