Variable,Standard_Deviation,Mean
F1A1_1,1.6380150492939274,3.339418526031102
F1A2_1,1.7328598738555228,4.112914131169709
F1A3_1,1.807216158090327,4.45841784989858
F1A4_1,1.8469090447468133,3.9594320486815415
F1A5_1,1.5177440183400337,3.015551048005409
F1A6_1,1.841590127385157,3.658553076402975
F1A7_1,1.8537603760133425,4.423258958755916
F1A8_1,1.8798357323129429,4.58553076402975
F1A9_1,1.8122820790117067,3.8242055442866802
F1A10_1,1.443153559689731,5.089249492900609
F1A11_1,1.575615643405537,4.623394185260311
F1A12_1,1.2159040966361345,2.1244083840432726
F1A13_1,1.5722839516948732,3.9864773495605137
F1A14_1,1.3040472260054476,3.755240027045301
F1A15_1,1.618210286708513,3.2832995267072347
F1A16_1,1.4100056692714535,2.601757944557133
F1A17_1,1.4765264319294933,5.177822853279243
F1A19_1,1.5975915351977064,4.3637592968221774
F2A1,1.2944836292847597,3.6666666666666665
F2A2,1.2351129919967023,3.369844489519946
F2A3,1.652572225525597,3.252486610558531
F2A4,1.0688660214620478,3.8796484110885734
F2A5,1.130332548441222,3.7768762677484786
F2A6,1.1671345263567314,3.5916159567275185
F2A7,1.2273091906559501,3.1757944557133198
F2A8,1.227095593325378,3.1791751183231916
F2A9,1.0308654688227927,4.039891818796484
F2A10,1.089062119091622,3.810682893847194
F2A11,1.198481538061416,3.2494929006085194
F2A12,1.3272433821107323,3.4901960784313726
F2A14,1.2026852175211726,3.7687074829931975
F3A1_1,1.423549759551378,4.053998632946001
F3A2_1,1.3250036279170962,2.7447243022464263
F3A3_1,1.7514343386461024,4.828706838185512
F3A4_1,1.2930931660764426,2.556233062330623
F3A5_1,1.675906335530926,3.9434604904632153
F3A6_1,1.7256819300585429,4.08781484002723
F3A7_1,1.6338784254763383,4.074200136147039
F3A8_1,1.8449648152710365,4.132971506105834
F3A9_1,1.737323649868092,4.713896457765667
F3A10_1,1.667476798442296,2.9212491513917174
F3A11_1,1.719440477716348,3.941576086956522
F3A12_1,1.5782663682675737,3.1633898305084744
F3A13_1,1.5577532058262737,3.5624573378839592
F3A14_1,1.6193160772258313,4.0639455782312925
F3A15_1,1.8577433830841281,4.2603670972127805
F3A16_1,1.8566632360624629,4.709633649932157
F3A17_1,1.621034089745094,2.752885268160217
F3A18_1,1.684533803102605,4.7117726657645465
F3A19_1,1.5123703528031338,3.1116751269035534
F3A20_1,1.5707324147569466,3.1433389544688026
F3A21_1,1.5893139990126082,3.891891891891892
F3A22_1,1.6497266172210034,4.448140900195694
F3A23_1,2.276186738311469,5.131447587354409
F3A24_1,2.3963713555867905,4.252911813643927
F3A25_1,2.2761526247018953,4.850249584026622
F3A26_1,1.7616752602805135,5.515806988352746
F3A27_1,2.316961021452599,4.004991680532446
F3A28_1,2.1789709926476255,4.595673876871881
F3A29_1,2.569724320573961,4.299500831946755
F3A30_1,2.1484739001983737,4.685524126455907
F3A31_1,1.6891746943660157,5.738768718801997
F3A32_1,2.0532660021662297,3.394342762063228
F3A33_1,1.7529279839503533,5.565723793677205
F3A34_1,1.7274463791359183,5.613976705490849
F3A35_1,1.502499304403758,5.950083194675541
F3A36_1,2.1187879413814725,4.252911813643927
F3B1,1.0429304036967544,3.6505823627287852
F3B2,1.0875180492697678,3.4675540765391015
F3B3,1.084497220256099,3.530782029950083
F3_USA,2.939013360530442,6.336248785228377
F3_CHINA,2.7891954255349427,6.97667638483965
F3_Deutschland,2.480122563418064,5.6763848396501455
F3_Russland,2.9842529825531736,8.13896987366375
F3_Ukraine,2.984796208458889,6.4723032069970845
F3_EU,2.4620974893360983,5.669582118561711
F3_NATO,2.703240338651386,6.042759961127308
F3B_Hamas,3.052498680990493,7.3610648918469215
F3B_Israel,2.9381515161185003,6.875207986688852
F3B_Deutschland,2.4913138062917435,5.738768718801997
F3B_USA,3.000591548260066,6.5141430948419305
F3B_UN,2.6837776043512442,5.936772046589018
F3B_Iran,2.7521544024067097,7.118136439267887
F3B_Katar,2.517469743641371,6.179700499168053
F5A1_1,1.2770953535527985,2.8796484110885734
F5A2_1,1.1612481932717522,2.5212981744421907
F5A3_1,1.2281397421231592,3.1392832995267073
F5A4_1,0.9843117093637362,3.7674104124408383
F5A5_1,1.0400883002708328,3.821501014198783
F5A6_1,1.0703270384599215,3.63894523326572
F5A7_1,0.9807834670920557,3.4631507775524004
F5A8_1,1.1127558358076255,3.2738336713995944
F5A9_1,0.9615891887899931,3.9344151453684924
F5A10_1,1.0540958806326322,3.626098715348208
F5A11_1,1.0440186931218824,3.6240703177822855
F5A12_1,1.0124935375168396,3.519945909398242
F5A13_1,1.0881859548352935,3.368492224475997
F5A14_1,1.049779664293361,3.6031434184675835
F5A15_1,0.9912905426861522,3.048507462686567
F5A16_1,1.0822705602602103,3.5989690721649485
F5aA1_1,2.175292075543403,4.796484110885734
F5aA2_1,2.1412107012264645,4.240703177822853
F5aA3_1,2.279973428702224,4.2339418526031105
F5bA1_1,2.2094490070100408,3.702501690331305
F5bA2_1,2.1989324268809876,2.9141791044776117
F5bA3_1,2.2718633939541704,3.04868154158215
F5bA4_1,2.2349981546417106,3.2521974306964165
F5bA5_1,2.2450997302355473,4.3962136578769435
F5bA6_1,1.8502780501339018,5.651115618661257
F5cA1_1,1.5918800474323436,3.2362728785357735
F5cA2_1,1.4968074733621595,2.8602329450915143
F6a_DemPartyA1,3.1792135468266376,5.524861878453039
F6a_RepPartyA1,2.9875831602519085,5.074980268350434
F6mA1_1,2.4507942812153094,6.275862068965517
F7d,0.2353737030096077,1.0588235294117647
F7e,0.3631549586822594,1.156186612576065
F7f,0.3477628118726694,1.1406355645706558
einkommen,1.4714900055972653,3.7038539553752536
F7g,1.844346875894238,4.901284651791751
F7h,2.4132338798173825,3.2528735632183907
F7lA1,0.0,3.0
F7mA1,0.453662252680939,1.2079326923076923
F7n,0.0,8.0
