Variable,Standard_Deviation,Mean
F1A1_1,1.3169228201704588,3.02
F1A2_1,1.5354318677193604,4.64
F1A3_1,1.4813121596360823,4.64
F1A4_1,1.5676578135575898,4.46
F1A5_1,1.298193407181295,3.22
F1A6_1,1.511857892036909,4.2
F1A7_1,1.4961174241812623,4.92
F1A8_1,1.4913355198120446,5.02
F1A9_1,1.5938657921121546,3.52
F1A10_1,1.5572083865634918,4.94
F1A11_1,1.4279998856685485,5.04
F1A12_1,1.1466010106183495,2.46
F1A13_1,1.3024310080047405,3.76
F1A14_1,1.0411924090450626,3.76
F1A15_1,1.4241359714950401,2.82
F1A16_1,1.578038048220845,2.86
F1A17_1,1.4685825458167312,5.08
F1A19_1,1.4913355198120446,3.98
F2A1,1.0811935959099717,2.12
F2A2,1.1473127431577865,2.5
F2A3,1.650833887843512,2.1555555555555554
F2A4,0.9733174912511899,3.54
F2A5,0.8864052604279182,3.9
F2A6,1.0956313993608007,3.06
F2A7,1.0682810911908525,2.96
F2A8,1.1994896874104761,3.3
F2A9,0.9741558354989898,3.7
F2A10,0.9874725519305975,3.62
F2A11,1.1067510827569464,3.14
F2A12,1.2961481396815722,3.56
F2A14,1.3249092857190696,3.6538461538461537
F3A1_1,1.6714912439864602,5.1875
F3A2_1,1.2558434843334805,2.12
F3A3_1,1.5576015051930296,4.32
F3A4_1,1.1399964196148573,2.08
F3A5_1,1.8290178026604824,3.04
F3A6_1,1.9456261184790364,4.708333333333333
F3A7_1,1.8415831698374558,4.58
F3A8_1,1.860875370049575,4.92
F3A9_1,1.8088219190107901,4.44
F3A10_1,2.0405081399954654,3.14
F3A11_1,1.4574229422693543,3.28
F3A12_1,1.5754494013856906,3.26
F3A13_1,1.4967993062749947,2.38
F3A14_1,2.0487925762282924,3.08
F3A15_1,1.945061774371819,4.82
F3A16_1,1.750684997132172,4.58
F3A17_1,1.5545850552084794,2.46
F3A18_1,1.7256764423475999,5.04
F3A19_1,1.6903085094570331,3.0
F3A20_1,1.4306730572794737,3.6944444444444446
F3A21_1,1.2369958488850035,3.888888888888889
F3A22_1,1.7871335019651313,4.923076923076923
F3A23_1,1.820517979665599,5.2
F3A24_1,1.7265434778633235,2.533333333333333
F3A25_1,2.3804761428476167,3.6666666666666665
F3A26_1,1.3870146083619754,5.933333333333334
F3A27_1,1.533747356112131,2.933333333333333
F3A28_1,0.9102589898327995,4.6
F3A29_1,1.579632265825846,2.2666666666666666
F3A30_1,1.7265434778633235,3.8666666666666667
F3A31_1,1.6561573424216502,5.2
F3A32_1,2.1668498091095505,3.533333333333333
F3A33_1,1.2071217242444348,5.8
F3A34_1,0.9411239481143203,5.8
F3A35_1,0.990430401872025,6.533333333333333
F3A36_1,1.9198214202665531,4.4
F3B_Hamas,2.1668498091095505,9.133333333333333
F3B_Israel,1.9073791542572858,7.266666666666667
F3B_Deutschland,1.8822478962286406,4.6
F3B_USA,2.5298221281347035,5.4
F3B_UN,2.7825989906663056,5.8
F3B_Iran,1.4474937289114918,9.333333333333334
F3B_Katar,2.250925735484551,5.933333333333334
F5A1_1,1.2887266298678755,2.82
F5A2_1,1.0427592909082661,2.12
F5A3_1,1.1385633625812157,2.36
F5A4_1,1.0421719862765415,3.66
F5A5_1,1.2328828005937953,3.48
F5A6_1,1.1322724125962491,3.06
F5A7_1,1.2013597738073507,3.16
F5A8_1,1.1668901632378363,2.84
F5A9_1,0.9858177999477782,3.74
F5A10_1,1.3036839481771239,3.12
F5A11_1,1.3887301496588271,3.1
F5A12_1,1.1073041357186344,3.28
F5A13_1,1.3169228201704588,2.98
F5A14_1,0.7762500258061849,3.5384615384615383
F5A15_1,0.752772652709081,2.8333333333333335
F5A16_1,0.862985947014634,4.243243243243243
F5aA1_1,2.4227661707988553,4.26
F5aA2_1,1.9728773144722365,2.84
F5aA3_1,2.0021417104119847,5.46
F5bA1_1,2.113223671482573,2.94
F5bA2_1,2.160246899469287,3.3333333333333335
F5bA3_1,2.5904849439628013,3.94
F5bA4_1,1.3131983079178742,2.1
F5bA5_1,2.1289069725939607,3.28
F5bA6_1,1.9166296949998198,4.0
F5cA1_1,1.505545305418162,3.1333333333333333
F5cA2_1,1.632993161855452,2.6666666666666665
F6a_DemPartyA1,3.534672430591498,6.488372093023256
F6a_RepPartyA1,2.909106639442017,4.674418604651163
F6mA1_1,2.6093239409033577,5.74
F7d,0.3505098327538656,1.14
F7e,0.41845195759648024,1.22
F7f,0.46291004988627577,1.3
einkommen,0.0,4.0
F7g,1.4136362144974837,6.96
F7h,1.648252011640681,3.24
F7lA1,0.0,1.0
F7mA1,,
F7n,0.0,4.0
