Variable,Standard_Deviation,Mean
F1A1_1,1.9913231694950886,4.181818181818182
F1A2_1,2.091520708589536,4.2272727272727275
F1A3_1,1.8771812708978117,4.0
F1A4_1,1.9255628288353013,3.772727272727273
F1A5_1,1.6230216062021892,3.409090909090909
F1A6_1,1.989148047961729,3.3636363636363638
F1A7_1,2.148693351058526,4.045454545454546
F1A8_1,2.1965143579488218,4.590909090909091
F1A9_1,2.030609914133343,4.136363636363637
F1A10_1,1.9672645653622367,4.818181818181818
F1A11_1,1.4631106043948423,4.954545454545454
F1A12_1,0.8888437939499212,1.8636363636363635
F1A13_1,1.1806521053804941,4.181818181818182
F1A14_1,1.2552918289216957,3.6363636363636362
F1A15_1,1.6382865085151266,3.272727272727273
F1A16_1,1.943465018222936,3.590909090909091
F1A17_1,1.7776875878998424,4.2727272727272725
F1A19_1,1.7314258568692735,3.9545454545454546
F2A1,1.3769908845391445,2.909090909090909
F2A2,1.1358007263790995,2.6363636363636362
F2A3,1.8096662053792612,2.6818181818181817
F2A4,1.2317938209440804,2.772727272727273
F2A5,1.2792042981336627,3.727272727272727
F2A6,1.0578504710249077,2.5
F2A7,1.2317938209440804,2.772727272727273
F2A8,1.4800257398019099,3.0
F2A9,1.269011272759076,3.909090909090909
F2A10,1.3419634126405238,2.909090909090909
F2A11,1.2901558682973793,2.9545454545454546
F2A12,1.4111491740216524,4.090909090909091
F2A14,1.51657508881031,3.5
F3A1_1,1.6442211540614613,5.318181818181818
F3A2_1,1.3516063875403324,2.272727272727273
F3A3_1,1.9678146183760228,4.590909090909091
F3A4_1,1.245772070624499,2.1363636363636362
F3A5_1,1.0371873387954442,1.8636363636363635
F3A6_1,0.9534625892455921,6.363636363636363
F3A7_1,1.2024506001859063,6.2727272727272725
F3A8_1,1.3556040489989463,6.136363636363637
F3A9_1,1.797665633982508,4.2272727272727275
F3A10_1,1.0930714500000422,1.3636363636363635
F3A11_1,1.2792042981336627,2.272727272727273
F3A12_1,1.202450600185906,2.272727272727273
F3A13_1,1.3200091827045153,1.8636363636363635
F3A14_1,1.2834274997778983,2.1363636363636362
F3A15_1,0.9500512631418383,6.045454545454546
F3A16_1,1.6883866117241484,3.772727272727273
F3A17_1,1.3093073414159542,2.0
F3A18_1,1.9250007027603149,4.909090909090909
F3A19_1,0.674199862463242,1.3636363636363635
F3A20_1,2.0,3.0
F3A21_1,1.8040358795061298,4.363636363636363
F3A22_1,0.5477225575051661,6.5
F3A23_1,1.1547005383792517,6.666666666666667
F3A24_1,4.041451884327381,3.3333333333333335
F3A25_1,1.0,3.0
F3A26_1,1.5275252316519465,5.333333333333333
F3A27_1,1.1547005383792517,1.6666666666666667
F3A28_1,2.309401076758503,4.666666666666667
F3A29_1,0.0,1.0
F3A30_1,2.0816659994661326,4.333333333333333
F3A31_1,0.0,7.0
F3A32_1,1.7320508075688772,2.0
F3A33_1,0.5773502691896258,6.666666666666667
F3A34_1,1.1547005383792517,6.333333333333333
F3A35_1,0.0,7.0
F3A36_1,1.5275252316519465,5.333333333333333
F3B_Hamas,0.0,11.0
F3B_Israel,3.511884584284246,4.333333333333333
F3B_Deutschland,0.0,1.0
F3B_USA,0.0,1.0
F3B_UN,0.0,1.0
F3B_Iran,0.0,11.0
F3B_Katar,0.0,1.0
F5A1_1,1.4119158946291712,3.772727272727273
F5A2_1,1.444499943433743,3.090909090909091
F5A3_1,1.4770978917519928,3.090909090909091
F5A4_1,1.3427696388548196,3.227272727272727
F5A5_1,1.4271638086766834,3.3181818181818183
F5A6_1,1.3675269175156552,3.1818181818181817
F5A7_1,1.0970247050377686,3.1818181818181817
F5A8_1,1.3769908845391448,3.090909090909091
F5A9_1,1.1252705302431796,3.8636363636363638
F5A10_1,1.2105238392398414,2.6818181818181817
F5A11_1,1.3354960814430659,2.4545454545454546
F5A12_1,0.9989171626493849,3.0454545454545454
F5A13_1,1.3354960814430659,2.4545454545454546
F5A14_1,1.5275252316519465,3.3333333333333335
F5A15_1,,5.0
F5A16_1,1.177270110161938,4.052631578947368
F5aA1_1,2.26635470223962,4.2272727272727275
F5aA2_1,2.0853021000528553,3.409090909090909
F5aA3_1,1.9650628136199264,5.363636363636363
F5bA1_1,2.4622693928103323,3.590909090909091
F5bA2_1,,7.0
F5bA3_1,2.63673679998231,4.0
F5bA4_1,2.5448360411214073,4.0
F5bA5_1,2.2924683760984044,3.727272727272727
F5bA6_1,2.1039027844477336,5.045454545454546
F5cA1_1,1.5275252316519465,2.3333333333333335
F5cA2_1,2.6457513110645907,3.0
F6a_DemPartyA1,2.278261659791559,8.904761904761905
F6a_RepPartyA1,2.1756225162774294,1.6666666666666667
F6mA1_1,0.0,1.0
F7d,0.0,1.0
F7e,0.21320071635561047,1.0454545454545454
F7f,0.21320071635561047,1.0454545454545454
einkommen,1.4324622340390172,3.6363636363636362
F7g,1.2960145368218983,6.818181818181818
F7h,1.8869568253158473,2.3181818181818183
F7lA1,0.0,1.0
F7mA1,,
F7n,0.0,4.0
