Variable,Standard_Deviation,Mean
F1A1_1,1.7076665515899667,3.339366515837104
F1A2_1,1.786691511417805,4.742081447963801
F1A3_1,1.743342510762399,4.8054298642533935
F1A4_1,1.8711914562821594,4.742081447963801
F1A5_1,1.6033310656145299,3.0452488687782804
F1A6_1,1.9048855760913364,4.298642533936651
F1A7_1,1.8064626431106565,4.864253393665158
F1A8_1,1.685347115349959,4.97737556561086
F1A9_1,1.8210230782225605,3.9547511312217196
F1A10_1,1.5462298730261894,4.932126696832579
F1A11_1,1.5513426198976754,5.171945701357466
F1A12_1,1.2460385603136703,2.3710407239819005
F1A13_1,1.5425142014590993,4.158371040723982
F1A14_1,1.2008498293410996,3.497737556561086
F1A15_1,1.6149369617339036,3.235294117647059
F1A16_1,1.5139282049112066,2.9411764705882355
F1A17_1,1.593242104366529,5.049773755656108
F1A19_1,1.5227602727319272,4.16289592760181
F2A1,1.334123240582103,2.3710407239819005
F2A2,1.3214367111175243,2.723981900452489
F2A3,1.7329928090817832,2.53072625698324
F2A4,1.1641851338662856,3.3484162895927603
F2A5,1.1051280937796508,3.6968325791855206
F2A6,1.1519303991954997,2.8642533936651584
F2A7,1.0901752639503268,2.828054298642534
F2A8,1.1879173691185587,3.1266968325791855
F2A9,1.112307276971588,3.678733031674208
F2A10,1.1034331824596466,3.3438914027149322
F2A11,1.199290205546817,2.7918552036199094
F2A12,1.4547331224059374,3.3710407239819005
F2A14,1.1797505898754423,3.6160714285714284
F3A1_1,1.6087112569299369,4.908675799086758
F3A2_1,1.3421619132573392,2.3846153846153846
F3A3_1,1.7012710906069877,4.606334841628959
F3A4_1,1.2920189781505824,2.266968325791855
F3A5_1,1.6566806280675321,3.0995475113122173
F3A6_1,1.8059476581536402,4.662100456621005
F3A7_1,1.8181406823812227,4.493212669683258
F3A8_1,1.8013432530824742,4.656108597285068
F3A9_1,1.7815845765653024,4.701357466063349
F3A10_1,2.112420420491212,3.0361990950226243
F3A11_1,1.868034160513598,3.583710407239819
F3A12_1,1.7500778615810355,3.0995475113122173
F3A13_1,1.494402004443386,2.3665158371040724
F3A14_1,1.866613287908909,3.081447963800905
F3A15_1,1.9463178115218338,4.8144796380090495
F3A16_1,1.8975617080966176,4.570135746606335
F3A17_1,1.714578044064963,2.6063348416289593
F3A18_1,1.7059915708522726,5.239819004524887
F3A19_1,1.6371348178308456,3.046979865771812
F3A20_1,1.8106943929483112,3.51006711409396
F3A21_1,1.5555206448940035,3.8187919463087248
F3A22_1,1.7260961674854562,5.107142857142857
F3A23_1,1.9212611065733196,4.619047619047619
F3A24_1,2.2440682462676595,2.888888888888889
F3A25_1,2.013777430395551,3.9047619047619047
F3A26_1,1.549490774088757,5.714285714285714
F3A27_1,1.600691094985794,2.380952380952381
F3A28_1,1.7794411061571043,4.349206349206349
F3A29_1,1.828404210224091,2.3015873015873014
F3A30_1,1.7479415148026285,4.095238095238095
F3A31_1,1.6611275080662156,5.603174603174603
F3A32_1,1.8777267252957532,2.9206349206349205
F3A33_1,1.739720007370456,5.317460317460317
F3A34_1,1.5745674557830351,5.523809523809524
F3A35_1,1.4900248625918406,6.317460317460317
F3A36_1,1.877726725295753,4.634920634920635
F3B_Hamas,2.3081813128223403,9.206349206349206
F3B_Israel,2.913587358471153,6.2063492063492065
F3B_Deutschland,2.1902591223509322,4.904761904761905
F3B_USA,2.4979254064934624,5.380952380952381
F3B_UN,2.8006838459776797,6.2063492063492065
F3B_Iran,1.9590011770999936,9.253968253968255
F3B_Katar,2.679309507459702,5.825396825396825
F5A1_1,1.1741771145525515,3.248868778280543
F5A2_1,1.0759515509653215,2.3031674208144794
F5A3_1,1.097920700348342,2.484162895927602
F5A4_1,1.0033264295885875,3.7104072398190047
F5A5_1,1.0723709397090044,3.4660633484162897
F5A6_1,1.1211478222453009,3.081447963800905
F5A7_1,1.018059873992754,3.1900452488687785
F5A8_1,1.1172886909488764,2.9592760180995477
F5A9_1,0.9289219168486713,3.7963800904977374
F5A10_1,1.159972765251431,3.1900452488687785
F5A11_1,1.1955456888113378,3.1266968325791855
F5A12_1,0.9869573135605314,3.257918552036199
F5A13_1,1.224744871391589,3.0
F5A14_1,1.0826500577476472,3.377049180327869
F5A15_1,0.9733285267845753,2.8421052631578947
F5A16_1,1.0149046489896874,4.0375
F5aA1_1,2.3108048391252964,4.642533936651584
F5aA2_1,2.086942027444764,3.1131221719457014
F5aA3_1,2.108297840936203,5.294117647058823
F5bA1_1,2.2826316478615216,3.2986425339366514
F5bA2_1,2.2693768139635457,3.6578947368421053
F5bA3_1,2.566699699374836,4.0542986425339365
F5bA4_1,2.101966719254214,2.8099547511312215
F5bA5_1,2.332580043337574,4.212669683257919
F5bA6_1,2.1751088049684446,4.457013574660634
F5cA1_1,1.5722894816253454,3.3015873015873014
F5cA2_1,1.4416452454833972,3.0476190476190474
F6a_DemPartyA1,3.4898529987493143,6.359375
F6a_RepPartyA1,3.321706297799797,4.595854922279793
F6mA1_1,2.822334091562027,5.5610859728506785
F7d,0.2597343831973175,1.0723981900452488
F7e,0.35721395543112694,1.1493212669683257
F7f,0.3896015747959764,1.1855203619909502
einkommen,1.6552647145382495,3.9683257918552037
F7g,1.6247393234576535,6.547511312217194
F7h,1.817767332434575,3.1176470588235294
F7lA1,0.0,1.0
F7mA1,,
F7n,0.0,4.0
