Variable,Standard_Deviation,Mean
F1A1_1,1.7701819973656574,3.325
F1A2_1,1.7888543819998317,4.8
F1A3_1,1.6831254832617393,4.95
F1A4_1,1.8259296227789759,4.7875
F1A5_1,1.3650242266130321,2.9
F1A6_1,1.9250184940752246,4.375
F1A7_1,1.7962249443298886,4.9625
F1A8_1,1.6761544293071795,4.775
F1A9_1,1.977363991386103,3.8375
F1A10_1,1.5829391025973316,5.275
F1A11_1,1.552814920463862,5.3625
F1A12_1,1.0457115559406658,2.2875
F1A13_1,1.6441303345422542,4.175
F1A14_1,1.250569490525381,3.425
F1A15_1,1.6487432881985438,3.125
F1A16_1,1.5377115991060601,2.7
F1A17_1,1.5730624006871743,5.1375
F1A19_1,1.5318868153978848,4.2125
F2A1,1.3629361454994364,2.375
F2A2,1.3347829672348435,2.875
F2A3,1.778178192506517,2.746268656716418
F2A4,1.1022847388808483,3.4875
F2A5,0.9013878188659973,3.8125
F2A6,1.1772500675383235,2.8625
F2A7,1.0997698263209787,2.675
F2A8,1.205932067696491,3.1625
F2A9,1.1080830750741675,3.75
F2A10,1.0554260043380168,3.5
F2A11,1.1853536565680474,2.75
F2A12,1.4341561272986822,3.2375
F2A14,1.2016793675925734,3.765957446808511
F3A1_1,1.4495197808021485,4.8875
F3A2_1,1.1418395107695436,2.25
F3A3_1,1.625547619508927,4.625
F3A4_1,1.3444682728531978,2.3
F3A5_1,1.5342090693104478,3.025
F3A6_1,1.833410048260697,4.675
F3A7_1,1.8356525415133869,4.35
F3A8_1,1.9730782991770865,4.575
F3A9_1,1.8485368829414621,4.975
F3A10_1,2.3056068148776205,3.475
F3A11_1,1.7959166059971168,3.7
F3A12_1,1.7429332906615225,3.1125
F3A13_1,1.3060230482390598,2.375
F3A14_1,1.9144685616164403,3.075
F3A15_1,1.9389005758516795,4.6125
F3A16_1,1.9807619042981888,4.725
F3A17_1,1.7606367519031003,2.8375
F3A18_1,1.6373798148956913,5.55
F3A19_1,1.7224378014749544,3.456140350877193
F3A20_1,1.5819311823414317,3.543859649122807
F3A21_1,1.5918023075954393,3.4210526315789473
F3A22_1,1.8086031428701075,4.8936170212765955
F3A23_1,1.9008683522566305,4.551724137931035
F3A24_1,2.2877915437782463,3.6551724137931036
F3A25_1,2.2211477971863585,4.172413793103448
F3A26_1,1.609699662957692,5.344827586206897
F3A27_1,1.6534781969482548,2.6551724137931036
F3A28_1,1.647508942095828,4.0
F3A29_1,2.026304846277889,2.9655172413793105
F3A30_1,1.8695116719682752,4.068965517241379
F3A31_1,1.631735755676966,5.344827586206897
F3A32_1,1.9727203592409004,2.9655172413793105
F3A33_1,1.9086270308410553,5.0
F3A34_1,1.6165705962347692,5.448275862068965
F3A35_1,1.352793133144807,6.482758620689655
F3A36_1,1.5094121780192147,3.7241379310344827
F3B_Hamas,1.9708466336074886,9.206896551724139
F3B_Israel,2.9091328926661495,7.0344827586206895
F3B_Deutschland,2.4419365649402356,5.0344827586206895
F3B_USA,2.6937256050808105,5.551724137931035
F3B_UN,2.5056586206330485,5.724137931034483
F3B_Iran,1.8140122364771054,9.172413793103448
F3B_Katar,2.5644404223539596,5.827586206896552
F5A1_1,1.3335376953090328,3.3625
F5A2_1,1.0843390333472767,2.1625
F5A3_1,1.0542259743827656,2.45
F5A4_1,0.9512649805869757,3.8625
F5A5_1,1.1718615505557326,3.6375
F5A6_1,1.1627118018568554,3.2
F5A7_1,1.049412131998106,3.25
F5A8_1,1.2349729664442464,3.2375
F5A9_1,0.855362829225267,3.95
F5A10_1,1.1969766766971535,3.3125
F5A11_1,1.2626574347258066,3.225
F5A12_1,0.9856566275036008,3.375
F5A13_1,1.1549973971147174,3.2125
F5A14_1,1.2367524611846565,3.3793103448275863
F5A15_1,0.9164438231805327,2.611111111111111
F5A16_1,0.9801960588196069,4.137254901960785
F5aA1_1,2.242815533874184,4.4125
F5aA2_1,1.852811753094486,3.1
F5aA3_1,1.7858444798831488,5.475
F5bA1_1,2.176398139302525,3.15
F5bA2_1,1.8408935028645437,3.7222222222222223
F5bA3_1,2.4595139480717516,4.3375
F5bA4_1,1.895864920680889,2.525
F5bA5_1,2.0927844694193998,3.5
F5bA6_1,2.005688113871791,4.55
F5cA1_1,1.3905026202585211,2.8275862068965516
F5cA2_1,1.5662700822155002,3.103448275862069
F6a_DemPartyA1,3.4552447606656838,5.942857142857143
F6a_RepPartyA1,3.130366619267807,5.028169014084507
F6mA1_1,2.77577107544753,5.9375
F7d,0.34654716375821165,1.1375
F7e,0.4116576554814154,1.2125
F7f,0.4116576554814155,1.2125
einkommen,1.4793408556139478,4.0375
F7g,0.0,7.0
F7h,2.0048990630863583,2.925
F7lA1,0.0,1.0
F7mA1,,
F7n,0.0,4.0
