Variable,Standard_Deviation,Mean
F1A1_1,1.5991225664270203,2.9473684210526314
F1A2_1,1.909303170397836,4.855263157894737
F1A3_1,2.0268374812595598,4.842105263157895
F1A4_1,1.843480689519578,5.0394736842105265
F1A5_1,1.3759844960366863,3.0
F1A6_1,1.8235785139366028,4.855263157894737
F1A7_1,1.5510042021502453,5.315789473684211
F1A8_1,1.6826774821016444,5.407894736842105
F1A9_1,1.8804161540150366,4.223684210526316
F1A10_1,1.5627236682017378,4.894736842105263
F1A11_1,1.7459728098202385,5.2105263157894735
F1A12_1,1.4602931693159689,2.6184210526315788
F1A13_1,1.7469271266898665,4.4605263157894735
F1A14_1,1.4213904731610463,3.9210526315789473
F1A15_1,1.7700728501213847,3.513157894736842
F1A16_1,1.5396513617665115,3.0526315789473686
F1A17_1,1.56199377764558,4.9868421052631575
F1A19_1,1.5664800187435548,3.8026315789473686
F2A1,1.3178264933847197,2.25
F2A2,1.260673726867517,2.223684210526316
F2A3,1.7981092738878839,2.3559322033898304
F2A4,1.0518988677958425,3.513157894736842
F2A5,1.0221236921749066,3.5921052631578947
F2A6,1.1825485413426287,3.039473684210526
F2A7,1.1718182003778752,2.513157894736842
F2A8,1.2892946528060938,2.9342105263157894
F2A9,0.9961328735436784,3.6842105263157894
F2A10,1.1253849244015024,3.513157894736842
F2A11,1.1676186592091329,2.75
F2A12,1.5923060624425283,3.3947368421052633
F2A14,1.302136802989528,3.5454545454545454
F3A1_1,1.8065669681820034,4.671052631578948
F3A2_1,1.1799494488131201,2.3157894736842106
F3A3_1,1.705512219195325,4.605263157894737
F3A4_1,1.17488334620633,2.0789473684210527
F3A5_1,1.6163636901846592,3.026315789473684
F3A6_1,1.792381538330321,4.473684210526316
F3A7_1,1.8373799041789647,4.776315789473684
F3A8_1,1.7968783848175596,4.605263157894737
F3A9_1,1.8479006580726312,4.842105263157895
F3A10_1,1.9917373179863977,3.0789473684210527
F3A11_1,2.015727634065883,3.736842105263158
F3A12_1,2.07520871915819,3.486842105263158
F3A13_1,1.4625140575122868,2.3157894736842106
F3A14_1,1.5991225664270203,2.9473684210526314
F3A15_1,2.1084208774557394,4.355263157894737
F3A16_1,1.9732865096388832,4.697368421052632
F3A17_1,2.0731787610909476,2.9078947368421053
F3A18_1,1.83704568318408,5.342105263157895
F3A19_1,1.8883614831141549,3.125
F3A20_1,1.7829459060487798,3.9464285714285716
F3A21_1,1.4646261878478994,3.482142857142857
F3A22_1,1.9348533549820803,4.9772727272727275
F3A23_1,2.532410988189992,3.5185185185185186
F3A24_1,1.967687696712787,2.2222222222222223
F3A25_1,2.485857433459767,4.444444444444445
F3A26_1,2.449489742783178,5.0
F3A27_1,2.038098661460272,2.3333333333333335
F3A28_1,2.07824164116888,4.62962962962963
F3A29_1,2.5425159713141356,2.814814814814815
F3A30_1,2.0741249485010065,4.074074074074074
F3A31_1,1.9871381302561602,5.444444444444445
F3A32_1,2.1290287768753933,3.074074074074074
F3A33_1,2.006400016357911,5.555555555555555
F3A34_1,1.6904288975138404,5.62962962962963
F3A35_1,2.2039849948558765,5.62962962962963
F3A36_1,2.15694729940758,4.962962962962963
F3B_Hamas,3.1815887733186266,8.74074074074074
F3B_Israel,3.297240493472515,5.555555555555555
F3B_Deutschland,2.1661735138967266,5.666666666666667
F3B_USA,2.8485013803683006,5.037037037037037
F3B_UN,2.9603264623234993,6.925925925925926
F3B_Iran,3.3452777449538016,8.037037037037036
F3B_Katar,2.0864506592000573,6.2592592592592595
F5A1_1,1.2993925706389038,3.210526315789474
F5A2_1,1.0314357222448751,2.0526315789473686
F5A3_1,1.1488361769214568,2.486842105263158
F5A4_1,1.0115126765082296,3.736842105263158
F5A5_1,1.1251510619826575,3.473684210526316
F5A6_1,1.067872125861979,3.0789473684210527
F5A7_1,1.1381733595947623,3.1052631578947367
F5A8_1,1.089986318922672,2.6578947368421053
F5A9_1,1.0145433680301867,3.776315789473684
F5A10_1,1.3416407864998738,3.5
F5A11_1,1.2781565672977295,3.4210526315789473
F5A12_1,0.9985955049248619,3.5526315789473686
F5A13_1,1.4341083176199303,3.25
F5A14_1,1.224744871391589,3.6
F5A15_1,0.7177405625652734,2.1666666666666665
F5A16_1,0.916515138991168,4.0
F5aA1_1,2.202829121913653,4.381578947368421
F5aA2_1,1.911507166903333,2.6973684210526314
F5aA3_1,2.2410836977567077,5.131578947368421
F5bA1_1,2.261811104775156,3.3684210526315788
F5bA2_1,2.796101181678127,4.0
F5bA3_1,2.5323174325007853,4.526315789473684
F5bA4_1,1.794924618463102,2.289473684210526
F5bA5_1,2.1409950138014815,3.9473684210526314
F5bA6_1,2.071189166011523,4.7631578947368425
F5cA1_1,2.0761843151659995,3.185185185185185
F5cA2_1,1.3471506281091268,2.259259259259259
F6a_DemPartyA1,3.978595902088157,6.208333333333333
F6a_RepPartyA1,3.52985811025886,4.819444444444445
F6mA1_1,2.9502304400034256,6.447368421052632
F7d,0.27144835701531844,1.0789473684210527
F7e,0.39023160014840674,1.1842105263157894
F7f,0.4279695021106552,1.236842105263158
einkommen,0.0,4.0
F7g,1.8476632943052171,6.197368421052632
F7h,1.3807574834380494,3.513157894736842
F7lA1,0.0,2.0
F7mA1,0.0,1.0
F7n,0.0,4.0
