Variable,Standard_Deviation,Mean
F1A1_1,1.4134611209458618,2.872340425531915
F1A2_1,1.8654052040994356,4.858156028368795
F1A3_1,1.8496967083463371,5.00709219858156
F1A4_1,1.9181054905154966,4.709219858156028
F1A5_1,1.388219359055015,3.0921985815602837
F1A6_1,1.9260124115705508,4.333333333333333
F1A7_1,1.729270040610661,5.049645390070922
F1A8_1,1.7118692864528848,5.3120567375886525
F1A9_1,1.8948284548617051,3.950354609929078
F1A10_1,1.374687953907371,4.843971631205674
F1A11_1,1.6324346720343756,5.290780141843972
F1A12_1,1.2456611628058396,2.4893617021276597
F1A13_1,1.7304121593235384,4.4822695035460995
F1A14_1,1.348119633076427,3.801418439716312
F1A15_1,1.7354694187289688,3.6595744680851063
F1A16_1,1.4263407102378676,2.9645390070921986
F1A17_1,1.624377364933471,4.8936170212765955
F1A19_1,1.6858370638577127,3.6950354609929077
F2A1,1.2433816685384853,2.198581560283688
F2A2,1.2513012477270704,2.482269503546099
F2A3,1.8344938430053908,2.485981308411215
F2A4,1.0286671125144393,3.4113475177304964
F2A5,0.9944119450784424,3.8652482269503547
F2A6,1.1593852963751357,3.1134751773049647
F2A7,1.04943657387844,2.8865248226950353
F2A8,1.1347419579109457,3.3120567375886525
F2A9,0.9384287024513901,3.7375886524822697
F2A10,0.9592508052621848,3.368794326241135
F2A11,1.1029572480303922,2.75177304964539
F2A12,1.3711456986217903,3.517730496453901
F2A14,1.1366509176708457,3.6049382716049383
F3A1_1,1.6445544291742726,4.680851063829787
F3A2_1,1.159254205980328,2.078014184397163
F3A3_1,1.7807651782480447,4.595744680851064
F3A4_1,1.3304934295055526,2.1914893617021276
F3A5_1,1.6147433696873759,3.2056737588652484
F3A6_1,1.983161129319289,4.567375886524823
F3A7_1,1.8462975355195743,4.51063829787234
F3A8_1,1.9263017151714161,4.702127659574468
F3A9_1,1.7772626744467916,4.723404255319149
F3A10_1,1.8768574049027804,2.858156028368794
F3A11_1,1.8977136566388824,3.780141843971631
F3A12_1,1.8130172112553162,3.1134751773049647
F3A13_1,1.2988577321277353,2.1134751773049647
F3A14_1,1.8741563451534737,2.9574468085106385
F3A15_1,1.992412151223857,4.7304964539007095
F3A16_1,1.98497394958904,4.787234042553192
F3A17_1,1.6240030844296702,2.4893617021276597
F3A18_1,1.602556215396381,5.390070921985815
F3A19_1,1.757494773473844,2.89
F3A20_1,1.9536032495278197,4.04
F3A21_1,1.5161087885062399,3.62
F3A22_1,1.839971148458718,5.197530864197531
F3A23_1,2.0663484503750444,3.34
F3A24_1,1.0301575072754254,1.4
F3A25_1,2.0957683311757487,4.34
F3A26_1,2.0918695866011676,5.46
F3A27_1,1.2715088257175218,1.66
F3A28_1,1.596041020392493,4.94
F3A29_1,1.6859563990779347,1.88
F3A30_1,2.310932314730422,4.08
F3A31_1,1.497753419666418,6.04
F3A32_1,1.5150941238357545,2.48
F3A33_1,1.7413342292504286,5.78
F3A34_1,1.870174061526938,5.18
F3A35_1,1.0253919111386491,6.64
F3A36_1,2.1135133724465063,3.32
F3B_Hamas,1.9042380231944724,9.92
F3B_Israel,2.8674101234958576,5.32
F3B_Deutschland,2.4078104203629,5.72
F3B_USA,3.1895876516808728,5.1
F3B_UN,2.6049403612586386,6.3
F3B_Iran,2.211380582720363,9.26
F3B_Katar,1.9483116709979795,6.6
F5A1_1,1.0658177979939958,3.2056737588652484
F5A2_1,1.031470360386878,2.120567375886525
F5A3_1,1.0303893087855553,2.3191489361702127
F5A4_1,0.9374565170598117,3.7943262411347516
F5A5_1,1.0928523418718339,3.482269503546099
F5A6_1,1.095028833363148,3.148936170212766
F5A7_1,1.0113840367072147,3.1843971631205674
F5A8_1,1.0523289171876544,2.7943262411347516
F5A9_1,0.8534452497531645,3.9858156028368796
F5A10_1,1.3209020282316262,3.354609929078014
F5A11_1,1.212941027908358,3.347517730496454
F5A12_1,1.0255598713119534,3.49645390070922
F5A13_1,1.1994172850631288,3.106382978723404
F5A14_1,1.0313949341566893,3.7551020408163267
F5A15_1,1.0,3.0
F5A16_1,0.9499541065686898,4.0978260869565215
F5aA1_1,2.183965700358977,4.2695035460992905
F5aA2_1,1.8817903049418256,2.602836879432624
F5aA3_1,2.2006032147145373,5.347517730496454
F5bA1_1,2.0713220110242627,2.950354609929078
F5bA2_1,2.6439508676365735,4.761904761904762
F5bA3_1,2.5907832898008367,4.127659574468085
F5bA4_1,1.4781419920743528,2.028368794326241
F5bA5_1,2.09154713124734,3.8652482269503547
F5bA6_1,2.1922078085774266,4.25531914893617
F5cA1_1,1.6507264943604902,3.36
F5cA2_1,1.36859826994257,2.62
F6a_DemPartyA1,3.764747681293434,6.1716417910447765
F6a_RepPartyA1,3.3512454059862997,4.088888888888889
F6mA1_1,2.653513661501114,5.7304964539007095
F7d,0.21798561993043,1.049645390070922
F7e,0.3771594359439792,1.1702127659574468
F7f,0.3948759953095814,1.1914893617021276
einkommen,1.4107705540700104,4.680851063829787
F7g,0.0,7.0
F7h,1.5703689897381137,3.49645390070922
F7lA1,0.0,2.0
F7mA1,3.903600291794133,3.2857142857142856
F7n,0.0,4.0
