Variable,Standard_Deviation,Mean
F1A1_1,1.6757182603918364,3.4030874785591765
F1A2_1,1.7756059669253828,3.987993138936535
F1A3_1,1.8259097319728075,4.451114922813036
F1A4_1,1.8507750408049697,4.133790737564323
F1A5_1,1.521559483889252,3.1526586620926245
F1A6_1,1.8634027660428873,3.8336192109777016
F1A7_1,1.9510870862221066,4.519725557461406
F1A8_1,1.8872683938162698,4.536878216123499
F1A9_1,1.8083641499039536,3.811320754716981
F1A10_1,1.3949049697264324,5.246998284734134
F1A11_1,1.6215141251968606,4.550600343053174
F1A12_1,1.2688012411828193,2.248713550600343
F1A13_1,1.609462567049841,3.8799313893653515
F1A14_1,1.278104852895612,3.8181818181818183
F1A15_1,1.5848986432375147,3.3156089193825045
F1A16_1,1.2962276295771982,2.600343053173242
F1A17_1,1.4279490565189696,5.269296740994855
F1A19_1,1.615163873958469,4.317324185248713
F2A1,1.2616640582042016,3.6912521440823327
F2A2,1.2498094494998273,3.4665523156089195
F2A3,1.648103281560362,3.186335403726708
F2A4,1.1571787567137315,3.763293310463122
F2A5,1.1340849994826352,3.9125214408233275
F2A6,1.2230845522458518,3.6380789022298456
F2A7,1.2578061678397734,3.216123499142367
F2A8,1.2655148456030274,3.274442538593482
F2A9,1.0506946549854002,4.029159519725558
F2A10,1.0697473387811332,3.8507718696397943
F2A11,1.212289927133522,3.2178387650085765
F2A12,1.3197535131259006,3.509433962264151
F2A14,1.2089418134276395,3.906779661016949
F3A1_1,1.5294938704768044,4.173241852487135
F3A2_1,1.3410776345764859,2.6511226252158893
F3A3_1,1.7430420565899611,4.900514579759863
F3A4_1,1.3237644997195106,2.4741379310344827
F3A5_1,1.739280968923711,4.145797598627787
F3A6_1,1.8059864025439234,4.0548885077186965
F3A7_1,1.7003411986084973,4.04802744425386
F3A8_1,1.9034492256353934,4.04802744425386
F3A9_1,1.74253980696816,5.080617495711835
F3A10_1,1.7142236817844763,2.9639794168096056
F3A11_1,1.7643999950789708,4.017152658662092
F3A12_1,1.5760036470937786,3.224699828473413
F3A13_1,1.5871408694878328,3.43448275862069
F3A14_1,1.7904969574099732,4.145328719723183
F3A15_1,1.8250007701051993,4.327615780445969
F3A16_1,1.8777230702340875,4.692967409948542
F3A17_1,1.5980837670179409,2.576329331046312
F3A18_1,1.714543433889278,5.084048027444254
F3A19_1,1.4556089797941663,3.1758241758241756
F3A20_1,1.4504682886161848,2.9208791208791207
F3A21_1,1.547423133326021,4.121412803532009
F3A22_1,1.5670681747859916,4.587392550143266
F3A23_1,2.2712322677482013,5.340782122905028
F3A24_1,2.3747251558078815,3.9664804469273744
F3A25_1,2.230263594614448,4.905027932960894
F3A26_1,1.7629245108507934,5.675977653631285
F3A27_1,2.2444457841047196,3.4804469273743015
F3A28_1,2.172537029069424,4.76536312849162
F3A29_1,2.532941591860596,3.564245810055866
F3A30_1,2.1073893089147893,4.4636871508379885
F3A31_1,1.870602201316033,5.681564245810056
F3A32_1,1.8328734327280969,3.011173184357542
F3A33_1,1.8396418719579841,5.385474860335195
F3A34_1,1.9000675598929182,5.391061452513966
F3A35_1,1.4198835511587902,5.972067039106145
F3A36_1,2.1261159638429863,4.391061452513966
F3B_Hamas,2.9919755421532757,8.05586592178771
F3B_Israel,2.9109672726810327,7.06145251396648
F3B_Deutschland,2.4257345405079094,6.094972067039106
F3B_USA,2.930374437569379,6.217877094972067
F3B_UN,2.5983389429971164,5.916201117318436
F3B_Iran,2.476897206742757,7.720670391061453
F3B_Katar,2.4366688003828916,6.681564245810056
F5A1_1,1.2147743916839135,2.8387650085763294
F5A2_1,1.1212578415861134,2.3825042881646654
F5A3_1,1.2676044263297526,3.0377358490566038
F5A4_1,0.9887879164609971,3.862778730703259
F5A5_1,1.0344829449374218,3.8679245283018866
F5A6_1,1.032138449711661,3.710120068610635
F5A7_1,0.9835610125400275,3.4099485420240137
F5A8_1,1.0984150638705876,3.1646655231560894
F5A9_1,0.9062527534609529,4.003430531732419
F5A10_1,1.0720673182666027,3.6363636363636362
F5A11_1,1.0743027337827988,3.6174957118353346
F5A12_1,0.9962796171913016,3.6020583190394513
F5A13_1,1.0838374692836958,3.51114922813036
F5A14_1,1.1098069896392793,3.7419354838709675
F5A15_1,0.9685993307538345,3.138888888888889
F5A16_1,1.0493810117306615,3.7406542056074765
F5aA1_1,2.170218635743255,4.943396226415095
F5aA2_1,2.256864590937005,3.967409948542024
F5aA3_1,2.3066237333427213,4.723842195540309
F5bA1_1,2.3196299108648555,3.9502572898799313
F5bA2_1,2.475545497179803,3.388888888888889
F5bA3_1,2.4577081556200664,3.6037735849056602
F5bA4_1,2.31774365642529,3.1406518010291595
F5bA5_1,2.2797490157063485,4.540308747855918
F5bA6_1,1.8780903105132083,5.7066895368782165
F5cA1_1,1.5417932278409963,3.2681564245810057
F5cA2_1,1.3844732043655366,2.7541899441340782
F6a_DemPartyA1,3.34698847111525,5.518886679920477
F6a_RepPartyA1,3.203617803291869,5.123015873015873
F6mA1_1,2.5524702466583533,6.356775300171527
F7d,0.2175996094793453,1.0497427101200687
F7e,0.2877266570521087,1.0909090909090908
F7f,0.3128800671930815,1.1097770154373927
einkommen,0.0,3.0
F7g,1.8297037563095242,4.708404802744425
F7h,2.2705608791493055,3.3001715265866207
F7lA1,0.0,2.0
F7mA1,0.10259783520851541,1.0105263157894737
F7n,0.0,8.0
