Variable,Standard_Deviation,Mean
F1A1_1,1.6029646652396485,3.274965800273598
F1A2_1,1.8319970268697303,4.2024623803009575
F1A3_1,1.8519728458718279,4.59781121751026
F1A4_1,1.8694022688231817,4.239398084815321
F1A5_1,1.5391717630256287,3.1203830369357046
F1A6_1,1.910652534498072,3.990424076607387
F1A7_1,1.929283108655765,4.601915184678522
F1A8_1,1.871243840566906,4.741450068399453
F1A9_1,1.83830158979454,3.9616963064295487
F1A10_1,1.2973126339036456,5.023255813953488
F1A11_1,1.6301060263379301,4.699042407660738
F1A12_1,1.272120209054211,2.292749658002736
F1A13_1,1.4988555122610414,4.002735978112175
F1A14_1,1.182379423350517,3.6662106703146375
F1A15_1,1.6119203462775307,3.500683994528044
F1A16_1,1.3510097029112498,2.782489740082079
F1A17_1,1.2921266539488392,5.1121751025991795
F1A19_1,1.486457932070902,4.209302325581396
F2A1,1.3377661510273846,3.478796169630643
F2A2,1.2686862021977485,3.2667578659370724
F2A3,1.7072796782632256,3.105939004815409
F2A4,1.1513796477397849,3.652530779753762
F2A5,1.1384524842103818,3.7879616963064295
F2A6,1.1939967522104546,3.4924760601915183
F2A7,1.2095386373772272,3.064295485636115
F2A8,1.224858857046007,3.1422708618331052
F2A9,1.098247049148933,3.859097127222982
F2A10,1.1136511474644895,3.6935704514363885
F2A11,1.1692805418511791,3.1846785225718195
F2A12,1.2234811383851034,3.503419972640219
F2A14,1.269585927340519,3.6514161220043575
F3A1_1,1.3312339794513874,4.106060606060606
F3A2_1,1.2507679338763518,2.8107734806629834
F3A3_1,1.6975541409470658,4.6726027397260275
F3A4_1,1.2693162231536972,2.62534435261708
F3A5_1,1.5462888688202234,4.137362637362638
F3A6_1,1.6565328271950455,3.9504814305364513
F3A7_1,1.5428357607534844,4.021887824897401
F3A8_1,1.6966884109749643,4.01920438957476
F3A9_1,1.635909699494843,5.038514442916093
F3A10_1,1.4762542124019757,2.9015047879616964
F3A11_1,1.57884346237773,3.910958904109589
F3A12_1,1.4623368726698611,3.112482853223594
F3A13_1,1.467452684076168,3.4429160935350756
F3A14_1,1.635954146869978,4.077241379310345
F3A15_1,1.683091177292854,4.354794520547945
F3A16_1,1.7164719474188752,4.679012345679013
F3A17_1,1.5474098773993812,2.5356164383561643
F3A18_1,1.6599594449304818,5.284931506849315
F3A19_1,1.3559560789784533,3.2079722703639515
F3A20_1,1.4885466840185428,3.2058823529411766
F3A21_1,1.5195733812059111,3.953125
F3A22_1,1.61166766929641,4.588495575221239
F3A23_1,2.268383070159899,5.53784860557769
F3A24_1,2.430759066924211,4.350597609561753
F3A25_1,2.244483276677032,4.952191235059761
F3A26_1,1.765819787495981,5.430278884462151
F3A27_1,2.4691047137878543,4.139442231075697
F3A28_1,2.1518601237143344,4.840637450199203
F3A29_1,2.6476540017810883,3.956175298804781
F3A30_1,2.1172108240103946,4.7370517928286855
F3A31_1,1.6325474435306577,5.836653386454183
F3A32_1,1.9839917105597293,3.2270916334661353
F3A33_1,1.6809407345257739,5.53784860557769
F3A34_1,1.5990136401900843,5.673306772908367
F3A35_1,1.4252699471716777,5.932270916334661
F3A36_1,2.1070248657432966,4.665338645418327
F3B_Hamas,2.959347403025341,7.804780876494024
F3B_Israel,2.932184369933594,6.952191235059761
F3B_Deutschland,2.5319881799539066,5.49402390438247
F3B_USA,3.1478519837428482,6.083665338645418
F3B_UN,2.6628325690581174,5.51792828685259
F3B_Iran,2.6858460351075206,7.645418326693227
F3B_Katar,2.572579897821891,6.629482071713148
F5A1_1,1.1809045429695384,2.926128590971272
F5A2_1,1.1416200293608585,2.414500683994528
F5A3_1,1.1808950216317964,3.002735978112175
F5A4_1,0.9587172310342336,3.8344733242134064
F5A5_1,1.0210112043787996,3.766073871409029
F5A6_1,1.0515203075452555,3.6019151846785227
F5A7_1,0.923360435752225,3.443228454172367
F5A8_1,1.083070286642109,3.1367989056087553
F5A9_1,0.9406083728567417,3.9863201094391245
F5A10_1,0.9946316937491464,3.6593707250342
F5A11_1,0.9814958713013678,3.6456908344733243
F5A12_1,0.9579878687666579,3.5964432284541723
F5A13_1,0.9880457831377542,3.488372093023256
F5A14_1,0.9851237801925021,3.8577981651376145
F5A15_1,0.9135728677097326,3.2
F5A16_1,0.9921030171742045,3.7348927875243665
F5aA1_1,2.1533449508722287,4.990424076607387
F5aA2_1,2.245537272917217,4.218878248974009
F5aA3_1,2.21355161003336,4.924760601915184
F5bA1_1,2.319344784819967,4.009575923392613
F5bA2_1,2.449938326202887,3.4857142857142858
F5bA3_1,2.4764906653173417,3.679890560875513
F5bA4_1,2.2920665243989538,3.2393980848153214
F5bA5_1,2.2539269389618783,4.575923392612859
F5bA6_1,1.8308018848253493,5.800273597811217
F5cA1_1,1.583591158151402,3.1553784860557768
F5cA2_1,1.3882489185160405,2.7888446215139444
F6a_DemPartyA1,2.9252925773800915,5.450877192982456
F6a_RepPartyA1,2.8180524815229555,4.784965034965035
F6mA1_1,0.0,6.0
F7d,0.23545522284747972,1.0588235294117647
F7e,0.3054269305079441,1.103967168262654
F7f,0.33191297058129965,1.1258549931600548
einkommen,1.384222862992164,3.5047879616963065
F7g,1.9012500609636842,4.982216142270862
F7h,2.3672814604591013,3.2913816689466486
F7lA1,0.0,2.0
F7mA1,0.7400128699009548,1.0833333333333333
F7n,0.0,8.0
