Variable,Standard_Deviation,Mean
F1A1_1,1.7734544053298176,3.7341772151898733
F1A2_1,1.7722442278335868,3.5063291139240507
F1A3_1,1.8283252904395133,4.312236286919831
F1A4_1,1.8903088475576386,3.759493670886076
F1A5_1,1.6786240589591817,3.3375527426160336
F1A6_1,1.9272694275021987,3.4472573839662446
F1A7_1,1.9863295940962946,4.0886075949367084
F1A8_1,1.8962298438433716,4.1645569620253164
F1A9_1,1.7713057715853031,3.810126582278481
F1A10_1,1.499946362482327,4.987341772151899
F1A11_1,1.6905955824628054,4.30801687763713
F1A12_1,1.4661671114551447,2.3417721518987342
F1A13_1,1.6207175291531082,4.160337552742616
F1A14_1,1.3512306298772085,3.6877637130801686
F1A15_1,1.7607365196449019,3.5822784810126582
F1A16_1,1.4099720453121847,2.7257383966244726
F1A17_1,1.494333620248415,5.0042194092827
F1A19_1,1.6451880688039784,4.09704641350211
F2A1,1.2245842826185376,3.839662447257384
F2A2,1.1735298379787686,3.5316455696202533
F2A3,1.921734920541803,3.5974025974025974
F2A4,1.0494291688773454,3.839662447257384
F2A5,1.073481990697761,3.9071729957805905
F2A6,1.231572313757274,3.5738396624472575
F2A7,1.2416351022906127,3.147679324894515
F2A8,1.2530160995110895,3.151898734177215
F2A9,1.0998397287882238,3.919831223628692
F2A10,1.0797592310970918,3.7763713080168775
F2A11,1.205232459788691,3.2531645569620253
F2A12,1.2938441768847202,3.4725738396624473
F2A14,1.3136925106021637,3.7261146496815285
F3A1_1,1.3768142158545165,4.042553191489362
F3A2_1,1.3105541454369398,2.832618025751073
F3A3_1,1.81166451051191,4.8354430379746836
F3A4_1,1.2905436136350865,2.5659574468085107
F3A5_1,1.695654157299114,4.017094017094017
F3A6_1,1.6477602591504659,3.9523809523809526
F3A7_1,1.5860250757814192,4.076595744680851
F3A8_1,1.8351007417582283,3.8803418803418803
F3A9_1,1.6723741652391926,4.706896551724138
F3A10_1,1.694683349650246,2.928270042194093
F3A11_1,1.6924030226669087,3.9071729957805905
F3A12_1,1.6249941052349464,3.2203389830508473
F3A13_1,1.667233314039684,3.6709401709401708
F3A14_1,1.752269720270493,4.046808510638298
F3A15_1,1.7338253445474612,4.210970464135021
F3A16_1,1.9250282756996215,4.47457627118644
F3A17_1,1.5891019288530963,2.4261603375527425
F3A18_1,1.7534204576060468,5.042194092827004
F3A19_1,1.5319371299053197,3.1197916666666665
F3A20_1,1.4709223519428298,2.9375
F3A21_1,1.6184675383753822,3.90625
F3A22_1,1.615227887423621,4.751633986928105
F3A23_1,2.2792688601476323,5.417721518987341
F3A24_1,2.562810450158271,4.291139240506329
F3A25_1,2.5287056932272836,4.7974683544303796
F3A26_1,1.686573744735086,5.7215189873417724
F3A27_1,2.4376682608225195,4.443037974683544
F3A28_1,2.400435425176995,4.670886075949367
F3A29_1,2.6004643432259336,4.860759493670886
F3A30_1,2.319847894822412,4.658227848101266
F3A31_1,1.9206931022054152,5.506329113924051
F3A32_1,2.2504642674390096,3.4050632911392404
F3A33_1,1.6475370856389437,5.518987341772152
F3A34_1,1.584675885819052,5.7215189873417724
F3A35_1,1.505372829153944,5.7974683544303796
F3A36_1,2.176338485806754,4.329113924050633
F3B_Hamas,3.1087087523774373,6.949367088607595
F3B_Israel,3.02005629409026,6.734177215189874
F3B_Deutschland,2.5238235213963596,6.3924050632911396
F3B_USA,3.1662780130140504,6.886075949367089
F3B_UN,2.7796964054477136,5.936708860759493
F3B_Iran,2.783138827511755,7.151898734177215
F3B_Katar,2.4627705047180997,6.3164556962025316
F5A1_1,1.2652982893920806,2.8143459915611815
F5A2_1,1.1905609843015421,2.3586497890295357
F5A3_1,1.2676276198447036,3.1561181434599157
F5A4_1,1.119320550743057,3.80168776371308
F5A5_1,1.1258662941902209,3.890295358649789
F5A6_1,1.1698829808761717,3.6624472573839664
F5A7_1,1.018775327603065,3.5358649789029535
F5A8_1,1.1766944732724292,3.0970464135021096
F5A9_1,1.0479459242190166,3.940928270042194
F5A10_1,1.0930890809196279,3.6751054852320677
F5A11_1,1.0656086077577507,3.6751054852320677
F5A12_1,1.0338094931977084,3.6455696202531644
F5A13_1,1.0930400110281235,3.4261603375527425
F5A14_1,1.078169929475589,3.609375
F5A15_1,1.1398068537544184,3.2285714285714286
F5A16_1,1.0574313420506134,3.6300578034682083
F5aA1_1,2.098347173280734,5.143459915611814
F5aA2_1,2.3166051703139896,4.151898734177215
F5aA3_1,2.3052322415801583,4.30379746835443
F5bA1_1,2.268644887271714,3.9240506329113924
F5bA2_1,2.4142434484888695,2.7714285714285714
F5bA3_1,2.247838600464798,3.189873417721519
F5bA4_1,2.1858346533212143,2.957805907172996
F5bA5_1,2.2582894571465304,4.89873417721519
F5bA6_1,1.7339800145854931,6.042194092827004
F5cA1_1,1.7067557689333899,3.5822784810126582
F5cA2_1,1.3629063776439871,3.037974683544304
F6a_DemPartyA1,3.3512633893280475,5.71578947368421
F6a_RepPartyA1,3.205211615416644,5.1436170212765955
F6mA1_1,2.5833526539569527,6.337552742616034
F7d,0.2440011887942734,1.0632911392405062
F7e,0.3078277445777614,1.1054852320675106
F7f,0.3234610442211801,1.1181434599156117
einkommen,1.130525399048861,2.679324894514768
F7g,1.7744219530706766,4.367088607594937
F7h,0.0,7.0
F7lA1,0.0,2.0
F7mA1,0.21821789023599236,1.0476190476190477
F7n,0.0,8.0
