Variable,Standard_Deviation,Mean
F1A1_1,1.6791550137624789,3.3127853881278537
F1A2_1,1.7524047881734162,4.0479452054794525
F1A3_1,1.851910847088963,4.358447488584475
F1A4_1,1.8869161747113028,4.013698630136986
F1A5_1,1.6547887666717969,3.1872146118721463
F1A6_1,1.941520134748342,3.810502283105023
F1A7_1,1.9189669610144606,4.474885844748859
F1A8_1,1.9015067248432485,4.442922374429224
F1A9_1,1.7999151870067496,3.732876712328767
F1A10_1,1.4715394867171543,5.114155251141552
F1A11_1,1.586979888664994,4.545662100456621
F1A12_1,1.2767313520714585,2.26027397260274
F1A13_1,1.5959420160428748,3.865296803652968
F1A14_1,1.3405776627054995,3.8515981735159817
F1A15_1,1.5964575268406664,3.310502283105023
F1A16_1,1.3539330864048573,2.6004566210045663
F1A17_1,1.5052596834178,5.171232876712328
F1A19_1,1.5837767347698861,4.353881278538813
F2A1,1.236005958752286,3.6780821917808217
F2A2,1.196938370622328,3.442922374429224
F2A3,1.7234663355906639,3.18732782369146
F2A4,1.1567641500094847,3.819634703196347
F2A5,1.1111588271556687,3.9680365296803655
F2A6,1.1334223614054368,3.691780821917808
F2A7,1.2319647584342879,3.34703196347032
F2A8,1.2434398876285246,3.335616438356164
F2A9,1.023268263477654,4.057077625570776
F2A10,1.0326174810183275,3.904109589041096
F2A11,1.165302648850984,3.2968036529680367
F2A12,1.3043348518558242,3.490867579908676
F2A14,1.1756615083347681,3.9923076923076923
F3A1_1,1.4626478786194976,4.029816513761468
F3A2_1,1.3377489560249307,2.6635944700460827
F3A3_1,1.7631626903503517,4.684931506849315
F3A4_1,1.3379257618793081,2.4724770642201834
F3A5_1,1.707364912615155,4.157043879907621
F3A6_1,1.8312384513422741,3.838337182448037
F3A7_1,1.6511934027186572,3.8466819221967965
F3A8_1,1.8882437004984443,3.8367816091954023
F3A9_1,1.7921816728235884,4.967667436489608
F3A10_1,1.664668143380338,3.006849315068493
F3A11_1,1.7397060137576896,3.970319634703196
F3A12_1,1.5391598261970494,3.272935779816514
F3A13_1,1.6314516911259676,3.632183908045977
F3A14_1,1.7606420932300786,4.11520737327189
F3A15_1,1.8064675692158645,4.223744292237443
F3A16_1,1.8208199874102817,4.738532110091743
F3A17_1,1.5916346758770652,2.5319634703196345
F3A18_1,1.7063216574660716,5.038812785388128
F3A19_1,1.4969262695420793,3.103244837758112
F3A20_1,1.490598793689965,2.9970501474926254
F3A21_1,1.5816051657592782,4.002958579881657
F3A22_1,1.713435068994601,4.51984126984127
F3A23_1,2.3037254977407957,5.601449275362318
F3A24_1,2.4637861618121826,4.579710144927536
F3A25_1,2.3686034809600085,4.739130434782608
F3A26_1,1.9474884617320039,5.355072463768116
F3A27_1,2.4552700030973367,4.028985507246377
F3A28_1,2.373477786971475,4.572463768115942
F3A29_1,2.6744438585238735,4.434782608695652
F3A30_1,2.217671828313136,4.905797101449275
F3A31_1,2.0675158556057074,5.420289855072464
F3A32_1,2.041215539854591,3.036231884057971
F3A33_1,1.801594319611777,5.333333333333333
F3A34_1,1.7930009558839333,5.521739130434782
F3A35_1,1.6168477205226708,5.884057971014493
F3A36_1,2.2643456421060777,4.478260869565218
F3B_Hamas,2.8862565889431617,7.594202898550725
F3B_Israel,2.8846159542350662,7.282608695652174
F3B_Deutschland,2.4533735088859703,5.739130434782608
F3B_USA,3.177562030060475,6.072463768115942
F3B_UN,2.511288383094561,6.0
F3B_Iran,2.371738909844177,7.615942028985507
F3B_Katar,2.379920587666055,6.681159420289855
F5A1_1,1.2460505719835806,2.8059360730593608
F5A2_1,1.1084189754332843,2.2831050228310503
F5A3_1,1.2227212181051235,2.9383561643835616
F5A4_1,1.0032287509911442,3.7853881278538815
F5A5_1,1.079508983068344,3.787671232876712
F5A6_1,1.078017325745502,3.5913242009132422
F5A7_1,0.9959637675198555,3.493150684931507
F5A8_1,1.1261436560114795,3.0799086757990866
F5A9_1,0.9732641127328993,3.9315068493150687
F5A10_1,1.0986496837258273,3.595890410958904
F5A11_1,1.055300395130541,3.605022831050228
F5A12_1,1.0472495189374327,3.5228310502283104
F5A13_1,1.0986782156347223,3.5
F5A14_1,1.0891622972743418,3.4166666666666665
F5A15_1,0.6941394484790769,3.017543859649123
F5A16_1,1.069718171506126,3.729559748427673
F5aA1_1,2.1942300036515054,5.0
F5aA2_1,2.2394322939660674,4.100456621004566
F5aA3_1,2.2829449543169082,4.723744292237443
F5bA1_1,2.3668981446974398,4.164383561643835
F5bA2_1,2.382580896700741,3.4210526315789473
F5bA3_1,2.407778902969018,3.509132420091324
F5bA4_1,2.243079233817058,3.0251141552511416
F5bA5_1,2.2788907271756393,4.495433789954338
F5bA6_1,1.8199924870435298,5.794520547945205
F5cA1_1,1.6891793824641494,3.1231884057971016
F5cA2_1,1.5374309953217644,2.8260869565217392
F6a_DemPartyA1,3.5145729405806874,5.537837837837838
F6a_RepPartyA1,3.2808661193120354,5.1726027397260275
F6mA1_1,2.6555335346117634,6.593607305936073
F7d,0.20898993215252196,1.0456621004566211
F7e,0.2947775903621125,1.095890410958904
F7f,0.3183633685321905,1.1141552511415524
einkommen,1.2787532883708053,3.1210045662100456
F7g,0.0,4.0
F7h,2.4318512075590704,3.7488584474885847
F7lA1,0.0,2.0
F7mA1,0.0,1.0
F7n,0.0,8.0
