Variable,Standard_Deviation,Mean
F1A1_1,1.4786888841054575,3.001201923076923
F1A2_1,1.7290804755527436,4.617788461538462
F1A3_1,1.7273614718278487,5.100961538461538
F1A4_1,1.7924086625977456,4.8329326923076925
F1A5_1,1.354129772922183,3.1670673076923075
F1A6_1,1.8159748098083224,4.668269230769231
F1A7_1,1.7007915348031077,5.235576923076923
F1A8_1,1.6414439918036405,5.247596153846154
F1A9_1,1.821544300659984,4.3016826923076925
F1A10_1,1.371037055013647,5.227163461538462
F1A11_1,1.537852790791902,5.028846153846154
F1A12_1,1.23094508623734,2.3858173076923075
F1A13_1,1.6531619861462872,3.826923076923077
F1A14_1,1.3162992479221938,3.860576923076923
F1A15_1,1.7623274831651174,3.4639423076923075
F1A16_1,1.3994041185361146,2.657451923076923
F1A17_1,1.5004993923234515,5.439903846153846
F1A19_1,1.5349302174596116,4.193509615384615
F2A1,1.316956169977766,2.858173076923077
F2A2,1.1773824865258933,3.0697115384615383
F2A3,1.9099840266396169,2.6796747967479675
F2A4,1.0762862330474923,3.563701923076923
F2A5,1.010440270348826,3.956730769230769
F2A6,1.1737603531630338,3.262019230769231
F2A7,1.1004408403197325,2.8978365384615383
F2A8,1.2272217628099333,3.359375
F2A9,1.0626464974065601,3.675480769230769
F2A10,1.0701353672544514,3.4795673076923075
F2A11,1.151368245163766,2.691105769230769
F2A12,1.395316132328567,3.012019230769231
F2A14,1.1404387374782534,3.7801047120418847
F3A1_1,1.5495159638736742,4.5576923076923075
F3A2_1,1.2106530590550049,2.3701923076923075
F3A3_1,1.690424144086638,4.771634615384615
F3A4_1,1.1618033810318285,2.3221153846153846
F3A5_1,1.707621436007523,3.953125
F3A6_1,1.8514215281771156,3.7439903846153846
F3A7_1,1.7448284490928792,3.7139423076923075
F3A8_1,1.8467878144002356,3.7680288461538463
F3A9_1,1.5940495947216595,5.445913461538462
F3A10_1,2.028113054032505,3.6382211538461537
F3A11_1,1.8463147162835774,4.3329326923076925
F3A12_1,1.7719674249350665,3.5576923076923075
F3A13_1,1.5305860046901394,2.7484957882069794
F3A14_1,1.812852777148062,3.8233173076923075
F3A15_1,1.9859677662604205,4.217809867629362
F3A16_1,1.8732392454670928,5.0
F3A17_1,1.7102552726861053,2.6358173076923075
F3A18_1,1.587048093598027,5.591346153846154
F3A19_1,1.800715027955155,3.4820415879017013
F3A20_1,1.5171915864202308,2.9659735349716447
F3A21_1,1.4546967112166587,4.228733459357278
F3A22_1,1.8225498836695462,4.711286089238845
F3A23_1,2.1835801193907254,4.690821256038648
F3A24_1,2.1096751711798403,2.7294685990338166
F3A25_1,2.3072777880521205,4.342995169082125
F3A26_1,1.7731166323203025,5.521739130434782
F3A27_1,1.8578789713847566,2.845410628019324
F3A28_1,1.9491687835019549,4.21256038647343
F3A29_1,2.005246156372793,2.3381642512077296
F3A30_1,1.9229567777516183,4.492753623188406
F3A31_1,1.4413799286385427,6.120772946859903
F3A32_1,1.396945349925906,2.3333333333333335
F3A33_1,1.7638209118263186,5.1980676328502415
F3A34_1,1.9288745934169984,5.086956521739131
F3A35_1,1.0425720702853738,6.405797101449275
F3A36_1,1.9904914440243426,3.714975845410628
F3B_Hamas,2.6522404209468258,9.169082125603865
F3B_Israel,3.0159123358110893,6.48792270531401
F3B_Deutschland,2.323826337662741,5.246376811594203
F3B_USA,3.2081605294091204,5.309178743961352
F3B_UN,2.7106960340605895,5.328502415458937
F3B_Iran,2.7527184460808622,8.347826086956522
F3B_Katar,2.465121835698488,6.63768115942029
F5A1_1,1.0461776342101647,2.2259615384615383
F5A2_1,0.8884583727487617,1.9302884615384615
F5A3_1,1.1087737736879333,2.308894230769231
F5A4_1,1.0151408332447913,3.7632211538461537
F5A5_1,1.0685555732597611,3.6935096153846154
F5A6_1,1.0517969871840172,3.3209134615384617
F5A7_1,0.9852886395052047,3.3257211538461537
F5A8_1,1.0535838258484322,2.831730769230769
F5A9_1,0.8840937245992504,3.9579326923076925
F5A10_1,1.1752251916692156,3.621394230769231
F5A11_1,1.1368962286880657,3.5685096153846154
F5A12_1,0.9857707441444528,3.5240384615384617
F5A13_1,1.1441405810327558,3.485576923076923
F5A14_1,1.0215764978495607,3.707920792079208
F5A15_1,0.871464383564415,2.9690721649484537
F5A16_1,0.9309086747413023,4.038095238095238
F5aA1_1,2.134203067757523,5.158653846153846
F5aA2_1,2.176336130321537,3.3798076923076925
F5aA3_1,2.0487268523956805,5.491586538461538
F5bA1_1,2.334138608877017,3.9447115384615383
F5bA2_1,2.648793734404905,3.7628865979381443
F5bA3_1,2.568202111323431,4.252403846153846
F5bA4_1,1.971514711065434,2.496394230769231
F5bA5_1,2.2081180611821587,4.8329326923076925
F5bA6_1,1.9850509886565677,5.372596153846154
F5cA1_1,1.5932765258130666,3.251207729468599
F5cA2_1,1.3985727781786315,2.859903381642512
F6a_DemPartyA1,3.6658677422554637,4.872311827956989
F6a_RepPartyA1,3.2404270130235395,5.51747311827957
F6mA1_1,2.481701989631906,7.25
F7d,0.18352473115691698,1.0348557692307692
F7e,0.26662963734389333,1.0769230769230769
F7f,0.2422070600288064,1.0625
einkommen,0.0,3.0
F7g,1.7664671999789054,5.341346153846154
F7h,1.770254117066013,3.71875
F7lA1,0.0,2.0
F7mA1,0.0,1.0
F7n,0.0,2.0
