Variable,Standard_Deviation,Mean
F1A1_1,1.393242557634158,2.7350993377483444
F1A2_1,1.6453611926613874,5.0879848628193
F1A3_1,1.630844973661075,5.311258278145695
F1A4_1,1.6836041971916198,5.122043519394513
F1A5_1,1.382282650792575,3.0350047303689687
F1A6_1,1.7553380969269405,4.896877956480606
F1A7_1,1.5859856259326486,5.506149479659413
F1A8_1,1.5237822545114559,5.563859981078524
F1A9_1,1.8321500334357932,4.2223273415326394
F1A10_1,1.3496402900730682,5.188268684957427
F1A11_1,1.3790492214760053,5.39356669820246
F1A12_1,1.1601930838198253,2.3292336802270577
F1A13_1,1.6471869854028698,3.9139072847682117
F1A14_1,1.2187023898544056,3.737937559129612
F1A15_1,1.7739355951587805,3.4068117313150426
F1A16_1,1.401897286887155,2.6471144749290443
F1A17_1,1.4890286628411993,5.528855250709555
F1A19_1,1.5114868887590882,4.211920529801325
F2A1,1.254800706461153,2.3954588457899715
F2A2,1.1858507228446065,2.7114474929044468
F2A3,1.8086441150848815,2.495085995085995
F2A4,1.0624788670140264,3.487228003784295
F2A5,0.9836796437187776,3.7653736991485336
F2A6,1.1221963111011655,3.1797540208136237
F2A7,1.0597729017346376,2.80794701986755
F2A8,1.2480166886815953,3.3642384105960264
F2A9,1.057010003297732,3.5477767265846736
F2A10,1.0195316702763493,3.4210028382213813
F2A11,1.1441101605186306,2.543046357615894
F2A12,1.4163095251680253,2.8741721854304636
F2A14,1.1478001230696544,3.577413479052823
F3A1_1,1.5122039216547434,5.070009460737937
F3A2_1,1.161174909098204,2.1381267738883634
F3A3_1,1.6332723888372995,4.902554399243141
F3A4_1,1.0911732010692905,2.161778618732261
F3A5_1,1.6692300246877125,3.630085146641438
F3A6_1,1.8730594250473995,3.9299905392620627
F3A7_1,1.7641319981641042,3.760643330179754
F3A8_1,1.784562070569112,4.045454545454546
F3A9_1,1.5601025542750615,5.480568720379147
F3A10_1,2.0775496679785834,3.76158940397351
F3A11_1,1.8497178609851708,4.466414380321665
F3A12_1,1.8074757002153774,3.5988647114474928
F3A13_1,1.4419683018903258,2.452651515151515
F3A14_1,1.8077329322676445,3.556291390728477
F3A15_1,2.022783306496504,4.267045454545454
F3A16_1,1.766559851489884,5.294228949858089
F3A17_1,1.7046226677082907,2.684011352885525
F3A18_1,1.6346457224559132,5.53030303030303
F3A19_1,1.8157657658375392,3.4869325997248968
F3A20_1,1.6168077796960911,3.4264099037138926
F3A21_1,1.4938826482897034,3.5873452544704265
F3A22_1,1.6940673410996272,5.155109489051095
F3A23_1,2.218873188086227,4.512195121951219
F3A24_1,1.749849485796775,2.106707317073171
F3A25_1,2.235432024518362,4.344512195121951
F3A26_1,1.6202455965816838,5.670731707317073
F3A27_1,1.54137572119705,2.442073170731707
F3A28_1,1.857725739794031,4.432926829268292
F3A29_1,1.6713107520877157,1.9573170731707317
F3A30_1,1.924732348861391,4.0426829268292686
F3A31_1,1.295795335816352,6.286585365853658
F3A32_1,1.4930753118230724,2.2591463414634148
F3A33_1,1.8154561088389765,5.277439024390244
F3A34_1,1.8560788550980827,4.932926829268292
F3A35_1,0.9821066401740579,6.4573170731707314
F3A36_1,1.9999627057013627,3.9878048780487805
F3B_Hamas,2.0266277677211315,9.713414634146341
F3B_Israel,3.0074805420584183,6.530487804878049
F3B_Deutschland,2.0723740237056467,5.152439024390244
F3B_USA,2.997475380370289,5.609756097560975
F3B_UN,2.792486108803421,5.579268292682927
F3B_Iran,2.108527087142443,9.024390243902438
F3B_Katar,2.3578696138958497,6.490853658536586
F5A1_1,1.0460121938602933,2.2894985808893096
F5A2_1,0.8491749892238513,1.9422894985808894
F5A3_1,0.9405415551176807,2.1892147587511825
F5A4_1,0.9528102620302621,3.8306527909176915
F5A5_1,0.9799036414206371,3.7265846736045414
F5A6_1,1.0231719422320422,3.2270577105014193
F5A7_1,0.9867405241003813,3.3491012298959317
F5A8_1,1.02728431527938,2.774834437086093
F5A9_1,0.8524477090708904,4.024597918637654
F5A10_1,1.1614680606722245,3.7530747398297066
F5A11_1,1.133126750844558,3.651844843897824
F5A12_1,0.9685872064877652,3.5383159886471143
F5A13_1,1.159745120280903,3.5865657521286662
F5A14_1,1.0602228402262528,3.9326923076923075
F5A15_1,1.0327451632846136,3.0984848484848486
F5A16_1,0.88664365473635,4.12751677852349
F5aA1_1,2.1123360369873887,5.138126773888363
F5aA2_1,2.082089878623036,3.154210028382214
F5aA3_1,2.00587387490012,5.5364238410596025
F5bA1_1,2.214244502354365,3.551561021759697
F5bA2_1,2.5345176627039727,4.393939393939394
F5bA3_1,2.5339008338859683,4.208136234626301
F5bA4_1,1.9423864810645166,2.5099337748344372
F5bA5_1,2.214266351131593,4.449385052034058
F5bA6_1,2.075516282572795,5.061494796594134
F5cA1_1,1.4814811189013586,2.9695121951219514
F5cA2_1,1.3148909617216458,2.6189024390243905
F6a_DemPartyA1,3.4397521848328854,4.541116751269035
F6a_RepPartyA1,3.0987112952849873,5.413863404689093
F6mA1_1,2.4037252011127186,7.132450331125828
F7d,0.2083035872230411,1.0454115421002839
F7e,0.2834069775467145,1.0879848628192998
F7f,0.267633073333681,1.0775780510879849
einkommen,1.3888423967066335,4.556291390728477
F7g,0.0,7.0
F7h,1.679998853243495,3.205298013245033
F7lA1,0.0,2.0
F7mA1,0.1386750490563073,1.0192307692307692
F7n,0.0,2.0
